Atlas_Number,Dating_Type,Dating_Comments
0388,Artefactual,Hirst and Rahtz (1996)
0389,Artefactual,Middle to late Iron Age 'bead-rim' pottery.
0390,Artefactual,Early and middle Iron Age sherds found. Ceramic evidence suggests earlier occupation of hill - sherd of late Bronze Age Plain Ware
0391,Artefactual,null
0393,Artefactual,null
0394,Artefactual,"Dated to 100 BC, with a small internal enclosure dated to 300 BC."
0396,Artefactual,null
0397,Morphology/Earthwork/Typology,IWB interpretation.
0398,Artefactual,"Pottery of Bronze Age, Iron Age and Romano-British date found"
0398,Other,Bronze age 'hearth's.
0399,Artefactual,Iron Age-Romano-British gold coin.
0400,Morphology/Earthwork/Typology,null
0402,Artefactual,Ditch sectioned on E by C.W. Phillips.
0403,Morphology/Earthwork/Typology,null
0404,Artefactual,Iron Age sherds found in the rampart on S.
0405,Artefactual,Ewart Park late Bronze Age sword and Bronze Age pottery.
0406,Morphology/Earthwork/Typology,Excavations in interior.
0407,Artefactual,Early Iron Age pottery.
0408,Artefactual,null
0409,Artefactual,Late Hallstatt-La Tene sherds.
0410,Artefactual,Chance finds nearby.
0411,Artefactual,Iron Age pottery found in interior enclosure.
0412,Morphology/Earthwork/Typology,Estimated.
0413,Artefactual,Possible Iron Age pottery.
0415,Artefactual,"Finds late Iron Age pottery, siver coin of Verica, bronze swords? and decorated harness mount."
0416,Artefactual,Iron Age sherds.
0420,Artefactual,null
0421,Morphology/Earthwork/Typology,Estimated.
0422,Morphology/Earthwork/Typology,Estimated.
0424,Artefactual,null
0425,Artefactual,null
0426,Artefactual,Haematite pottery.
0426,Morphology/Earthwork/Typology,Quarry hollows.
0427,Artefactual,null
0428,Artefactual,Small assemblage of pottery of Bronze Age to early Iron Age transition recovered from ramparts.
0428,C14,For first two phases of hillfort defences produced too broad dates to enable accurate dating.
0429,Artefactual,Chance finds of Iron Age pottery outside fort could suggest Iron Age use.
0430,Artefactual,Samian and Romano-British potsherds.
0430,Morphology/Earthwork/Typology,Estimated.
0431,Morphology/Earthwork/Typology,Estimated.
0438,Artefactual,Neolithic artefacts found suggest earlier interest in the site.
0439,Artefactual,Finds range from late Iron Age to Romano-British wares.
0439,Morphology/Earthwork/Typology,Earlier middle Bronze Age enclosure.
0440,Artefactual,Neolithic finds and Roman coin hoards suggest some activity outside the main hillfort occupation date.
0441,Artefactual,An occupation layer contained Durotrigian pottery.
0441,Morphology/Earthwork/Typology,Later Iron Age site suggested in scheduling.
0445,Artefactual,Sherds of late Iron Age pottery from water pipe trench passing through NW rampart.
0445,Morphology/Earthwork/Typology,"In SE corner is Dundon Beacon mound, a former Bronze Age barrow later used as a Norman motte and bailey castle site."
0446,Artefactual,Trench 1939-45 revealed medieval remains - no details.
0447,Artefactual,Finds of Romano-British date suggest later occupation.
0448,Artefactual,Numerous dateable finds from Mesolithic to Roman periods.
0448,C14,null
0449,Artefactual,Later Roman reuse of original Iron Age fort.
0449,C14,null
0451,Morphology/Earthwork/Typology,survey
0452,Artefactual,"Neolithic, Bronze Age, Iron Age and Roman pottery finds."
0453,Artefactual,"Iron Age, Romano-British and Roman pottery and other artefacts."
0453,Other,Medieval quarrying and WWII Home Guard activity.
0456,Artefactual,"Finds from trenches included butchered animal bone, early Iron Age pottery and Roman Savernake ware. Most of pottery abraded and local origin."
0462,Artefactual,Early Iron Age potsherds from excavation
0463,Artefactual,Excavations 1927-29 found many artefacts.
0468,Artefactual,"Quernstone, jasper ball of around 7.5cm diameter, charred wood, coarse pottery, unworked flints polished oak rings"
0468,Artefactual,Sherds of Roman Samianware and low denomination late Roman coins. Now lost and the context is unrecorded
0468,Morphology/Earthwork/Typology,null
0469,Morphology/Earthwork/Typology,null
0471,Morphology/Earthwork/Typology,null
0473,Morphology/Earthwork/Typology,null
0475,Artefactual,null
0476,Morphology/Earthwork/Typology,null
0477,Morphology/Earthwork/Typology,null
0478,Morphology/Earthwork/Typology,null
0479,Morphology/Earthwork/Typology,null
0480,Morphology/Earthwork/Typology,null
0481,Morphology/Earthwork/Typology,null
0482,Morphology/Earthwork/Typology,null
0483,Morphology/Earthwork/Typology,null
0485,Artefactual,null
0485,C14,null
0486,C14,null
0487,Artefactual,Stray find
0488,Artefactual,null
0491,Morphology/Earthwork/Typology,null
0492,Morphology/Earthwork/Typology,null
0493,Artefactual,"Charcoal, 1st century AD pottery"
0499,Morphology/Earthwork/Typology,null
0500,Morphology/Earthwork/Typology,null
0505,Morphology/Earthwork/Typology,null
0506,Morphology/Earthwork/Typology,null
0507,Morphology/Earthwork/Typology,null
0508,Morphology/Earthwork/Typology,null
0510,Morphology/Earthwork/Typology,null
0512,Morphology/Earthwork/Typology,null
0515,Artefactual,"Quernstone, not described or closely dated"
0516,Morphology/Earthwork/Typology,null
0517,Morphology/Earthwork/Typology,null
0518,Artefactual,null
0521,Morphology/Earthwork/Typology,null
0522,Morphology/Earthwork/Typology,null
0523,Morphology/Earthwork/Typology,null
0524,C14,2400+/-100 BP
0525,Artefactual,null
0525,C14,7 radiocarbon dates
0525,Morphology/Earthwork/Typology,null
0526,Morphology/Earthwork/Typology,null
0527,Artefactual,null
0529,Morphology/Earthwork/Typology,null
0530,Morphology/Earthwork/Typology,null
0531,Morphology/Earthwork/Typology,null
0537,Morphology/Earthwork/Typology,null
0539,Artefactual,null
0539,C14,null
0539,Morphology/Earthwork/Typology,null
0541,Morphology/Earthwork/Typology,null
0542,Morphology/Earthwork/Typology,null
0543,Morphology/Earthwork/Typology,null
0546,Artefactual,null
0546,Morphology/Earthwork/Typology,null
0547,Morphology/Earthwork/Typology,null
0548,Morphology/Earthwork/Typology,null
0549,Morphology/Earthwork/Typology,null
0551,Morphology/Earthwork/Typology,null
0556,Morphology/Earthwork/Typology,null
0559,Artefactual,null
0559,C14,null
0560,Artefactual,null
0560,C14,null
0561,Morphology/Earthwork/Typology,null
0562,Morphology/Earthwork/Typology,null
0567,Morphology/Earthwork/Typology,null
0568,Morphology/Earthwork/Typology,null
0571,Morphology/Earthwork/Typology,null
0572,Morphology/Earthwork/Typology,null
0573,Morphology/Earthwork/Typology,null
0576,Morphology/Earthwork/Typology,null
0577,Morphology/Earthwork/Typology,null
0578,Morphology/Earthwork/Typology,null
0580,Artefactual,Roman artefacts recovered during ploughing
0586,C14,null
0587,Morphology/Earthwork/Typology,null
0588,Morphology/Earthwork/Typology,null
0589,Morphology/Earthwork/Typology,null
0590,Morphology/Earthwork/Typology,null
0591,Morphology/Earthwork/Typology,null
0592,Morphology/Earthwork/Typology,null
0593,Morphology/Earthwork/Typology,null
0596,Morphology/Earthwork/Typology,null
0601,Morphology/Earthwork/Typology,null
0609,Artefactual,Pottery
0609,C14,Neolithic dates.
0612,Artefactual,"Predominantly pottery, coins, glass, pottery."
0614,Artefactual,Middle and late Iron Age finds.
0615,Artefactual,Sherd.
0615,C14,C14 dates suggest occupation of the hillfort from the 3rd century BC and earlier.
0617,Artefactual,Dating relies on pottery evidence.
0625,Artefactual,General finds dating.
0634,Artefactual,Iron Age pottery.
0642,Artefactual,null
0647,Artefactual,Some early Iron Age pottery.
0647,Other,Various suggestions of dating and origin.
0649,C14,In hut interior.
0654,Artefactual,Lower Iron Age finds. Pottery dating.
0655,Artefactual,"Of two small sherds found in ditches, one resembles the local Iron Age pottery in texture."
0656,Artefactual,null
0656,C14,null
0657,Artefactual,Chance finds.
0662,Artefactual,"Iron Age glass beads (Mallory 1995, 81)"
0662,Artefactual,"Late Bronze Age coarse-ware pottery (Mallory 1995, 82)"
0662,Artefactual,"Late Bronze Age glass beads (Mallory 1995, 81)"
0662,C14,"Eighteen radiocarbon dates have dated the construction and occupation of the hillfort to c. 1381 – 806 BC (Mallory 1995, 85)."
0662,C14,Two radiocarbon dates from an irregular pit returned a date range of 400 – 200 BC.
0666,C14,Late Bronze Age dates from basal ditch deposits and palisade features associated with the banks.
0670,C14,null
0671,C14,null
0677,C14,Late Bronze Age radiocarbon dates from basal ditch deposits.
0678,Artefactual,"Late Bronze Age glass beads, Late Bronze Age coarse-ware pottery"
0678,C14,"810 – 550 BC (Raftery, 1995; Waddell 1998, 270)"
0680,C14,Basal deposits of ditch fill in inner and outer enclosing elements.
0723,Artefactual,Extensive assemblage
0723,C14,55 radiocarbon dates from Rathgall includes 47 of Late Bronze Age date
0725,Artefactual,Diagnostic Late Bronze Age pottery.
0732,C14,null
0733,C14,null
0737,Artefactual,null
0737,C14,null
0742,Artefactual,null
0744,Artefactual,Iron Age 'Duck stamped' pottery.
0748,Artefactual,null
0751,C14,Ditch dated to middle Bronze Age.
0752,Artefactual,Various dateable finds.
0752,C14,"Charcoal from layer 11, thick occupation debris (?redeposited) behind rampart near N entrance - No. HAR 2289."
0753,Artefactual,null
0756,Artefactual,null
0757,Artefactual,Many dateable finds.
0759,Artefactual,Pottery evidence.
0760,Artefactual,Some coin evidence.
0760,Morphology/Earthwork/Typology,null
0761,Artefactual,null
0764,Morphology/Earthwork/Typology,null
0766,Artefactual,Not reliable dating evidence.
0769,Artefactual,null
0770,Artefactual,null
0771,Artefactual,null
0772,Artefactual,Unreliable evidence.
0773,Artefactual,null
0773,Morphology/Earthwork/Typology,null
0774,Morphology/Earthwork/Typology,null
0775,Artefactual,Jackson 1993-4
0775,C14,Jackson 1993-4
0776,Artefactual,null
0777,Artefactual,null
0778,Artefactual,null
0778,C14,null
0778,Other,archaeomagnetic
0779,Morphology/Earthwork/Typology,null
0782,Artefactual,null
0783,Artefactual,null
0784,Morphology/Earthwork/Typology,null
0787,Morphology/Earthwork/Typology,Broch
0800,C14,O'Brien (in prep.)
0801,Artefactual,"Lithics, coarse ware pottery"
0801,C14,null
0805,Artefactual,null
0805,C14,null
0806,Artefactual,Flintwork
0806,C14,null
0810,Artefactual,null
0813,Artefactual,null
0813,C14,null
0826,Artefactual,The artefacts recovered during the excavation are associated with the High Medieval phase of activity on the site.
0877,Artefactual,null
0889,C14,null
0890,Artefactual,null
0890,C14,null
0901,Artefactual,"Wooden object of probable medieval date recovered from the ditch along with midden material including animal bone, shells, post medieval pottery and seventeenth century roof tiles."
0901,C14,shell sample from the ditch 310±30 BP (AD 1482-1653)
0924,Artefactual,null
0928,Artefactual,null
0928,C14,null
0977,Morphology/Earthwork/Typology,null
0999,Artefactual,null
1000,Artefactual,null
1000,C14,null
1001,Artefactual,null
1069,Other,Local informant
1076,Morphology/Earthwork/Typology,null
1103,Artefactual,null
1103,C14,null
1107,Morphology/Earthwork/Typology,null
1109,C14,null
1141,Morphology/Earthwork/Typology,null
1143,Morphology/Earthwork/Typology,Conjecture.
1144,Artefactual,Pottery fragments.
1154,Artefactual,None earlier than 400 BC.
1154,C14,Calibrated to 6th and 5th centuries BC.
1155,Morphology/Earthwork/Typology,Conjecture.
1156,Artefactual,"Possible Roman pottery, but from 1840's digging and unproven."
1157,C14,10th to 3rd centuries BC evidence.
1157,Morphology/Earthwork/Typology,Excavation evidence.
1157,Other,Metallurgical analysis.
1158,Artefactual,Silver denarius of Marcus Aurelius
1165,Artefactual,Neolithic flints and pottery fragments
1165,C14,null
1167,Artefactual,Early and late Roman material found in excavations.
1168,Artefactual,"Many artefacts recovered, including second century AD trumpet brooch and Roman light spear, ballista bolt and Roman coin."
1168,C14,Period I date.
1168,Morphology/Earthwork/Typology,Several pre-rampart palisades dated to c. middle of first century BC.
1171,Artefactual,"Pottery, thought to be 'Roman' found in 1840's diggings, but date uncertain,"
1171,C14,Late Bronze Age/early Iron Age.
1178,Artefactual,Two degraded sherds of late Bronze Age pottery.
1180,Artefactual,null
1201,Artefactual,null
1217,Morphology/Earthwork/Typology,null
1219,Morphology/Earthwork/Typology,Pre-Norman layout.
1233,Other,null
1237,Artefactual,Roman good
1266,Artefactual,null
1276,Artefactual,"Many finds. Four dateable brooches and metalwork of 1,000 BC-700 BC date."
1276,C14,null
1276,Morphology/Earthwork/Typology,Much dating evidence found.
1278,Artefactual,null
1283,C14,All dates are calibrated to 2 sigma and dated from charcoal.
1297,Artefactual,null
1297,Other,Thermoluminescence
1319,Artefactual,null
1323,Artefactual,"Bronze Age metalwork and pottery, 7th and 6th century pottery"
1326,Artefactual,Pottery.
1326,Morphology/Earthwork/Typology,House floors.
1330,Artefactual,null
1365,Artefactual,"E ware, amphorae, glass"
1365,C14,Three radiocarbon dates
1365,Other,Literary identification
1383,Artefactual,Chance Romano-British finds. No details.
1418,Artefactual,LBA moulds from under the second phase wall and a glass ring-bead from above.
1448,Artefactual,Chance finds.
1448,Morphology/Earthwork/Typology,null
1466,Artefactual,null
1471,Artefactual,Rich assemblage of finds including Roman goods
1471,C14,Four dates spanning the Roman Iron Age
1472,Artefactual,Flint scraper and a sherd of possible early medieval pottery were recovered from an investigation of one of the hut-sites in 1949.
1478,C14,null
1485,Artefactual,null
1489,Artefactual,null
1498,Artefactual,Romano-British pottery and Samian sherd of 2nd century AD.
1504,C14,null
1512,C14,Unpublished
1514,Artefactual,Non diagnostic
1514,C14,null
1518,Artefactual,null
1518,Morphology/Earthwork/Typology,null
1536,Artefactual,Romano British material.
1539,Artefactual,Bronze fibula
1544,Artefactual,null
1554,Artefactual,null
1559,Morphology/Earthwork/Typology,null
1568,Morphology/Earthwork/Typology,character of entrane arrangements
1592,C14,null
1594,C14,null
1602,Artefactual,"Excavations showed occupation opened in the Iron Age, continuing into the Romano-British period with second to fourth century AD Roman pottery and several possible granaries and corn-drying kilns."
1603,Artefactual,Iron Age and 1st to 4th century AD pottery and quern-stones.
1603,Other,"Single dry-stone walled rectangular building, located within area of 100m by 75m in interior of hillfort, excavated, with occupation from later 2nd to 4th century AD. Whole complex suggested as farmstead with stockyard enclosures using the hillfort defences as the home field (Arnold and Davies, 2000, 78-9)."
1605,Artefactual,Sherd of Late Iron Age pottery.
1607,Artefactual,Pottery and iron finger ring found in excavations
1608,Artefactual,Traces of Roman period occupation.
1616,Artefactual,Three small pieces of Iron Age pottery
1616,C14,null
1624,Artefactual,null
1638,Artefactual,Iron Age and Romano-British/ Roman wares.
1650,Artefactual,null
1652,Artefactual,Sherd of Samian ware.
1662,C14,GAT excavation.
1681,Artefactual,Single sherd of pottery.
1681,Morphology/Earthwork/Typology,Iron Age or earlier origins.
1685,Artefactual,Iron Age brooch.
1685,Artefactual,Roman pottery.
1686,C14,null
1690,Artefactual,Pottery and coins.
1693,Artefactual,Later Bronze Age pottery found from earliest phase.
1693,C14,Dates from below outer rampart.
1699,Artefactual,Cheshire VCP found.
1723,Morphology/Earthwork/Typology,null
1724,Artefactual,Medieval pottery.
1725,Artefactual,Roman coins.
1726,Morphology/Earthwork/Typology,Rampart dating.
1729,Artefactual,Pottery
1729,C14,"AD date of 650+/- 100yrs, unexpectedly late as the sample of wood from a post hole formerly thought Iron Age."
1731,C14,Extensive dating evidence 370 cal BC to AD 200.
1731,Other,Extensive dating evidence.
1734,C14,Some C14 dating.
1744,Artefactual,Material from excavations.
1756,Artefactual,Iron Age and late Roman chance finds.
1761,Artefactual,Roman pottery.
1794,Other,null
1800,Artefactual,Pottery and other finds.
1800,Morphology/Earthwork/Typology,"Digging of quarry hollows for bank. Site probably originally univallate, then additional defences in 5th to 4th century BC."
1802,Artefactual,null
1802,Morphology/Earthwork/Typology,null
1820,Artefactual,null
1826,Artefactual,null
1826,Morphology/Earthwork/Typology,null
1827,Artefactual,null
1827,Morphology/Earthwork/Typology,null
1828,Artefactual,null
1829,Morphology/Earthwork/Typology,null
1833,Artefactual,null
1833,Morphology/Earthwork/Typology,null
1844,Artefactual,"Samian Ware, sherds of Late Roman Amphorae, and Gaulish/Frankish E ware; three bronze pins"
1853,Morphology/Earthwork/Typology,null
1881,Artefactual,Roman pottery.
1882,Artefactual,null
1888,Artefactual,15 diagnostic La Tène brooches.
1888,C14,"18 C14 dates suggest hillfort began c. 410 BC to 375 BC, ending c. 380 BC to 190 BC."
1888,Morphology/Earthwork/Typology,Romano-Britsh annexe.
1890,Artefactual,Spindle whorl suggests Iron Age date.
1890,C14,Radio-carbon date calibrated to 1610+/-60 BP (calibrated at 2 sigma to AD 260-280 and 320-600).
1895,Artefactual,"Iron Age and Roman pottery, spindle-whorls, fine glass beads and a jet ring."
1906,Morphology/Earthwork/Typology,null
1930,Morphology/Earthwork/Typology,null
1940,Artefactual,"Excavation found spindle whorls, blue glass beads, stone, flints and pottery, all of Romano-British date."
1961,Artefactual,Pottery
1961,C14,"C14 from gate centres on the general period 0 BC/AD, returning calibrated radiocarbon dates of 760-380 BC and 350BC-AD400."
1961,Morphology/Earthwork/Typology,"Evidence of a later later earthen rampart with inner and outer stone revetment plus possible roofed guard chamber and double timber gates has suggested Iron Age interest, but 6th century AD or indeed Neolithic has been put forward."
1965,Artefactual,Pottery indicating continued use to 4th century AD in E part of site.
1965,C14,"Nine C14 dates showing occupation starting during late Bronze Age and extending to fourth to first millennium BC, with total range 824 cal. BC to 53 cal. BC, with one sample from Roundhouse VIII later at 130 cal. AD to 531 cal. AD."
1978,Artefactual,Samian ware.
1981,Morphology/Earthwork/Typology,null
1982,Artefactual,Thomas (1959)
1982,C14,Jobey (1968)
1985,Artefactual,No further details.
1993,Morphology/Earthwork/Typology,"Natural of site disputed and may be medieval or later, if indeed it exists at all."
1998,Artefactual,"Iron Age, Roman and medieval pottery."
1998,Morphology/Earthwork/Typology,At least three phases of construction confirmed.
2002,Artefactual,Beaker pottery.
2002,C14,Four C14 dates varying between 845 cal. BC to 55 cal. AD and one later at 990 cal. AD to 1255 cal. AD.
2005,Artefactual,Chance finds of Roman-British pottery on Sheep Island.
2005,Morphology/Earthwork/Typology,Possibly Iron Age.
2011,Morphology/Earthwork/Typology,Possible reoccupation in medieval period - no date.
2015,Morphology/Earthwork/Typology,null
2017,Morphology/Earthwork/Typology,Possibly Iron Age promontory fort.
2022,Morphology/Earthwork/Typology,null
2024,Morphology/Earthwork/Typology,null
2025,Morphology/Earthwork/Typology,null
2026,Morphology/Earthwork/Typology,null
2029,Artefactual,Querns and fragment from a Romano-British glass bangle
2029,Morphology/Earthwork/Typology,null
2030,Morphology/Earthwork/Typology,null
2039,Morphology/Earthwork/Typology,null
2045,Morphology/Earthwork/Typology,null
2055,Artefactual,Iron rings and model hand.
2063,Morphology/Earthwork/Typology,null
2074,C14,Dates of 4th and 3rd centuries BC.
2100,C14,null
2188,C14,Dates from below rampart.
2188,Morphology/Earthwork/Typology,Investigation of eroding sections.
2205,C14,null
2210,Artefactual,Bronze brooch
2210,C14,null
2220,Artefactual,null
2229,Artefactual,Chance finds.
2253,Artefactual,Pottery and other finds.
2254,C14,null
2297,Morphology/Earthwork/Typology,RCAHMW investigation.
2298,C14,Bronze Age C14 date came from post-hole and Romano-British date from the possible roundhouse.
2302,Artefactual,"Two halves of bronze collar, possibly late 1st century BC or early 1st century AD."
2309,Artefactual,Various deposits.
2309,C14,Two samples of C14 dates of 2360+/-70 BP (CAR-968) and 2580+/-70 BP (CAR-969) at blocked NE gate.
