Main_Atlas_Number,Main_Display_Name,Interior_Summary,Interior_Water_Comments,Interior_Surface_Comments,Interior_Excavation_Comments,Interior_Geophysics_Comments,Interior_Water_None,Interior_Water_Spring,Interior_Water_Stream,Interior_Water_Pool,Interior_Water_Flush,Interior_Water_Well,Interior_Water_Other,Interior_Surface_None,Interior_Surface_Round,Interior_Surface_Rectangular,Interior_Surface_Curvilinear,Interior_Surface_Roundhouse,Interior_Surface_Pit,Interior_Surface_Quarry,Interior_Surface_Other,Interior_Excavation_None,Interior_Excavation_Pit,Interior_Excavation_Posthole,Interior_Excavation_Roundhouse,Interior_Excavation_Rectangular,Interior_Excavation_Road,Interior_Excavation_Quarry,Interior_Excavation_Other,Interior_Excavation_Nothing,Interior_Geophysics_None,Interior_Geophysics_Pit,Interior_Geophysics_Roundhouse,Interior_Geophysics_Rectangular,Interior_Geophysics_Road,Interior_Geophysics_Quarry,Interior_Geophysics_Other,Interior_Geophysics_Nothing
11,"Credenhill Camp, Herefordshire","Quarry hollows on surface. Excavation showed timber granaries, thought by Stanford to be habitation, similar to those found on the Wrekin, Croft Ambrey and Midsummer Hill.",Stream located 0.6km outside fort. Quarry scoops could have acted as ponds in places.,"There are internal quarry scoops around much of the circuit, some used as ponds. Heavy woodland hampers evaluation","Evidence of timber granaries found. Postholes for corner posts of two sizes - 2.5m sq and 2.5m by 3.5m. Most rebuilt to the same plan six times. Probably four-posters, although Stanford postulated dwellings and the site holding 4,000 people and the political capital of the region. Pits thought late by Stanford, one at least, containing Romano-British pottery (Stanford 1970, 116).",Details of 2008 investigation awaited.,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No
12,"Croft Ambrey, Herefordshire","Rows of possibly four-posters for grain storage a feature of the excavations. Pit evidence found by excavation (14 pits) in the main enclosure. Most only to just over 1m deep.At least five periods of modification/reconstruction. Terrace and mound constructed in the annexe in the Roman period. Two medieval pillow mounds in the annexe. Platforms protected by drainage hoods on the N side of the quarry ditch. Iron Age and Roman pottery, metal-ware and bone found with many other finds in the excavations.",Stream located 0.5 km outside the hillfort.,Terrace and mound constructed in the annexe in the Roman period. Two medieval pillow mounds in the annexe. Platforms protected by drainage hoods on the N side of the quarry ditch. terraces cut into the N-facing hillside.,"Rows of four-post structures and pit evidence found by excavation (14 pits) in the main enclosure. Most less than 1m deep. Some contained burnt clay and grain (carbonised wheat), but only four of suitable depth for grain storage. A Roman terrace and squarish mound found in the annexe. Further detail from the fine excavation report.",NA,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No
13,"Dinedor Camp, Herefordshire (Oyster Hill)","Heavy occupation proved behind the ramparts as a result of the trial excavation, but none on the crest of the hill. Iron Age pottery, daub, bone, iron fragments, iron axehead and Roman sherds found. Also coins of Galba (AD 68-69) and Citellius. Watching brief on development to E of hillfort showed pit and shallow ditch with mid Iron Age pottery and Roman Severn Valley ware.",Stream located 0.5 km outside the fort.,NA,"Three successive floors found. Heavy occupation proved behind the ramparts as a result of the trial excavation, but none on the crest of the hill. Watching brief on development to E of hillfort showed pit and shallow ditch with mid Iron Age pottery and Roman Severn Valley ware.",NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No
14,"Dinmore Hill, Herefordshire",Antler fragment dated to 1450 BC. Charcoal. Excavation report forthcoming.,River Lugg located 0.6 km outside the hillfort.,NA,Excavation report forthcoming.,Report on geophysics forthcoming.,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No
15,"Dorstone Hill, Herefordshire","No features known, but chance finds of Neolithic struck flint and Romano-British pottery.",Spring located 0.6 km outside fort,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
16,"Downton Camp, Herefordshire",None,River Teme runs directly below the site.,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
17,"Eaton Camp, Herefordshire","No known excavation in the interior. Fragments of burnt bone, charcoal found (1985) and quantity of midlle Iron Age stamped Malvernian ware found in ditch, Droitwich VCP, fragments of a crucible, bone, flint and part of a shale object (2012).",River Wye/stream located 0.01 km outside the fort.,Survey underway.,NA,Two ditches found.,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No
18,"Gaer Cop, Herefordshire",Univallate site difficult to interpret because of lack of investigation and virtual destruction.,Possible pool on site?,NA,NA,NA,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
19,"Garmsley Camp, Worcestershire (The Wrathes)",None,Stream located 0.1 km outside enclsoure.,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
20,"Haffield Camp, Herefordshire",Lack of investigation and tree growth inhibits comment.,Spring located 0.2 km outside the fort.,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
21,"Ivington Camp, Herefordshire","Limestone briquetage, Iron Age pottery and limestone rubble associated with occupation found in 1996 service trench. Row of postholes found along section between two enclosures. Human burials found during limestone quarrying. Good bone survival.",Marl Brook located 2.5 km outside hillfort,NA,"Recording of narrow service trench 1996 for 400m, SW from the NE corner to Camp Farm. Shallow gullies, postholes and layers of limestone rubble were found associated with occupation.",Row of postholes found along section between two enclosures found.,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No
22,"Little Doward, Herefordshire","30 platforms in 'annexe' and possible hut platforms in main enclosure. Quarry scoops, later barrows and pillow mounds in latter. Several mineshafts in interior, one formally considered a well. The recent excavation details have to be confirmed. Middle Iron Age pottery, Cheshire and Droitwich VCP. Single sherd of possible late Bronze Age/early Iron Age pottery. Bone (incl. die and toggle) and antler objects, charcoal and iron roasting evidence.",River Wye located 0.3 km outside the fort.,"30 hut platforms in 'annexe' and possible hut platforms in main enclosure. Quarry scoops, barrows and pillow mounds in latter. Several mineshafts in interior, one formally considered a well.",Two building terraces excavated after middle Iron Age pottery found as a result of beech wind-throw.,Geophysics unknown,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No
23,"Mere Hill, Herefordshire (Mere Hill Wood)",No archaeology found in interior excavation. Excavation followed geophysical survey - no details.,None recorded in the interior.,NA,No archaeology found in interior excavation.,Excavation followed geophysical survey - no details.,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No
24,"Midsummer Hill, Herefordshire (Midsummer Hill Camp)",A large number of hut platforms recorded during the excavations and as surface features. Pottery and other artefacts from excavations.,Spring/stream at south gate. Spring 0.4km outside the hillfort.,The large number of hut platforms on the hillside are a feature of the site. Internal quarry ditch around most of the site. Pillow mounds.,The large number of hut platforms recorded during the excavations are a feature  of the site.,Stanford undertook geophysics on the site. Details not determined.,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No
25,"Oldbury, Much Marcle, Herefordshire",No evidence for interior features. Stray finds of 'duck stamped' pottery from ploughed-down rampart at NE corner. coarse black pottery similar to that from Sutton Walls (Atlas No 0031). Small fragment of Romano-British globular jar from W side of fort.,Spring located 0.2 km outside hillfort.,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
26,"Pen-Twyn Camp, Brilley, Herefordshire (Pen Twyn Camp)",Little is known about the site because of access problems. Access denied for Herefordshire Council survey of 2012.,Streams located 0.6 km outside hillfort.,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
27,"Penapark, Herefordshire (Pen y Park)",None,To be determined.,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
28,"Poston Camp, Herefordshire (Lower Park Wood Camp)",Some finds of pottery from the 'Roman layers' and 'ash' (Marshall 1934). Occupation layers found. Quarry hollows.,Stream located 0.6 km outside the fort.,Quarry scoops.,Occupation layers found.,NA,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No
29,"Pyon Wood, Herefordshire",None other than possible quarry scoops.,Spring located 0.25 km outside the hillfort.,"Interior steep with no sign of hut platforms, but possible sites in quarry scoops behind rampart",NA,NA,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
30,"Risbury Camp, Herefordshire",Roman pottery.,Located on the edge of Holly Brook.,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
31,"Sutton Walls, Herefordshire","The use of the site as a toxic waste dump until the 1980's has precluded surface investigation and interpretation of any features in the interior. The site was particularly rich in finds, with much human and animal bone, including 24 human skeletons, Iron Age and Roman pottery, loom weights, spindle whorls and weaving combs and cheek-pieces of bridles, glass objects and iron and bronze working in general, all show that here was a thriving farming community.",Spring located 0.65 km outside the hillfort.,The use of the site as a quarry and toxic waste dump until the 1980's has precluded surface investigation and interpretation of any features in the interior.,Possible that quarry hollows were used as dwelling sites.,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No
32,"Timberline, Herefordshire (Timberline Camp)",Nothing was determined concerning the interior in the trial excavations of 1932 and 1952. Some Roman-British pottery was found in occupation layers. Tip of 'spear head' found in ditch.,Spring located 0.5 km outside the hillfort.,NA,Nothing determined in the trial excavations.,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No
33,"Uphampton Camp, Herefordshire",None,Humber Brook located 0.3 km outside hillfort.,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
34,"Wall Hills Camp, Ledbury, Herefordshire (Wall Hills, Ledbury)","No surface features recorded. Chance finds of the following: fragments of dark grey/black ware, similar to that from British Camp Atlas No 0005) and light red ware, similar to that from Sutton Walls (Atlas No 0031). Some Romano-British sherds. Bronze Roman coins. A number of flint flakes.",Spring located 0.4 km outside the hillfort.,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
35,"Wall Hills, Thornbury, Herefordshire",None.,Spring located 0.4 km outside hillfort.,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
36,"Walterstone Camp, Herefordshire (Coed-y-Grafel)",None,Stream 0.3 km outside hillfort,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
37,"Wapley Camp, Herefordshire","Three pillow mounds and modern quarry in the interior, otherwise no features recorded.",Hindwell Brook located 0.7 km outside the hillfort.,Three pillow mounds in the interior. Modern quarry.,NA,NA,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
38,"Westington Camp, Herefordshire",None,Stream located 0.2 km outside the hillfort.,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
39,"Abdon Burf, Shropshire",Interior features possible from excavations probably vestiges of mining activity. No other evidence other than spring on former site. Hillfort destroyed.,Spring on former site.,Site destroyed.,Interior features possible from excavations probably vestiges of mining activity.,NA,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No
40,"Billings Ring, Shropshire",Chance finds of small fragments of Samian ware and black ware found before 1958.,Spring located 0.3 km outside the fort.,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
41,"Blodwell Rock, Shropshire",No known evidence.,No water source on site.,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
42,"Knuck Wood, Shropshire (Birches Bank)",None,Stream located 0.2 km outside the fort.,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
43,"Bodbury Ring, Shropshire",None,Stream located 0.2 km outside the hillfort.,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
44,"Bulthy Hill, Shropshire",None,NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
45,"Burf Castle, Shropshire",None.,NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
46,"Burrow Hill Camp, Shropshire (Burrow Hill)",Aerial spraying has revealed hut platforms. Evidence of c. 20 hut platforms in the SE and NW quadrants. Investigation of hut revealed a rock-cut platform and at least two circular hut gullies and postholes.,Springs found on site near the NE entrance and at a gap in the third rampart at the SE corner.,Aerial spraying has revealed hut platforms. Evidence of c. 20 hut platforms in the SE and NW quadrants.,Investigation of hut revealed a rock-cut platform and at least two circular hut gullies and postholes.,Resistivity surveys of the inner circuit. No details recorded.,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No
47,"Bury Ditches, Shropshire",Pillow mound and possible post-medieval platform (possible warrener's lodge). Stone quarry on the N side of the interior. Possible quarry scoops in the interior of the innermost rampart. Flint axe.,Springs located 0.3 km outside the hillfort.,Pillow mound and possible post-medieval platform (possible warrener's lodge). Possible quarry hollows in the interior of the innermost rampart.,NA,NA,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
48,"Bury Walls, Shropshire","Rubble walled rectangular building (Roman temple?) at the S end of the central ridge excavated in the 1930's with a room 4.5 m by 8.75 m internally and a smaller part-paved, possible annexe to the N. Also possible hearths in interior (Morris, 1932).  Possible quern and iron object found in 1930's excavations. Possible evidence of roundhouses. Quarry ditches evident.",Spring located on site.,Quarry ditches evident. Possible roundhouse evidence.,"Rectangular building (Roman temple?) at the S end of the central ridge excavated in the 1930's with a room 4.5m by 8.75m internally and a smaller part-paved, possible annexe to the N. Rubble walls, 0.8m-1.45m thick. Also possible hearths in interior (Morris, 1932).",Topographical and geophysical surveys found a domed interior with extensive Iron Age terracing and revealed a possible cross-ridge dyke as well as roads and circular structures.,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No
49,"Caer Caradoc, Clun, Shropshire (Caer Caradoc, Chapel Lawn; Gaer Ditches)","Around six hut platforms visible at the E end of the site. Inner quarry ditch in parts and evidence of hut sites sheltering in the lee of the rampart. Neolithic/Bronze Age worked flints and scrapers found. Small conical pit, 5 m in diameter, in the centre of the site, thought to be a grain storage pit, is probably an old mineral shaft.",Stream located 0.4 km outside the fort. Collapsed shaft near centre of enclosure could possibly be a well.,"Around six hut platforms visible at the E end of the site. Inner quarry ditch in parts and evidence of hut sites sheltering in the lee of the rampart. Small conical pit, 5 m in diameter and 1.3 m deep, in the centre of the site, previously thought to be a grain storage pit, is probably an old mineral shaft.",NA,NA,Yes,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
50,"Caer Caradoc, Church Stretton, Shropshire",Small terraces and building platforms visible in the SE. Interior divisions may mark zoning in the interior.,Spring in the NW interior of the site.,Small terraces and building platforms visible in the SE. Interior divisions may mark zoning in the interior.,NA,NA,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
51,"Caerbre, Shropshire (Chirbury)",None,River Camlad located 0.1 km (100m below) outside the fort.,NA,NA,None,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
52,"Caer-Din Ring, Shropshire (Caer Din Ring)","In the interior are level platforms, some partly cut into the slope and spoilheap or midden.",Spring located 0.2 km outside the fort.,"In the interior are level platforms, some partly cut into the slope and spoilheap or midden.",NA,NA,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
53,"Calcot Camp, Shropshire",Possibly a few hut platforms.,River Camlad located 0.1km (100m below) outside the fort.,Possibly a few hut platforms.,NA,NA,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
54,"Callow Hill Camp, Shropshire",None,Spring located 0.7 km outside the fort.,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
55,"Castle Idris, Shropshire (Garn Bank)",Building platforms recorded in the interior.,River Clun located 0.3km outside fort.,Building platforms recorded.,NA,NA,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
56,"Castle Ring, Gorsty Bank, Shropshire (Gorsty Bank)",None,Spring located 0.45 km outside the fort.,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
57,"Castle Ring, Horderley, Shropshire",None,River Onny located 0.4km outside the fort.,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
58,"Castle Hill, Oak Hill, Shropshire (Oak Hill)",None,Stream located 0.65 km outside the fort.,Building platforms.,NA,NA,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
59,"Castle Ring, Stitt Hill, Shropshire",None,Spring located 0.2 km outside the fort.,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
60,"Caus Castle, Shropshire",None,None,NA,NA,No details of 2015 survey.,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No
61,"Caynham Camp, Shropshire","No evidence of occupation is visible in the interior, but many post-holes and unusual semi-circular possible structures found. Paucity of finds, but few sherds of Malvernian and Clee Hills pottery. Some carbonised grain.",Ledwyche Brook located 0.3 km outside the hillfort.,NA,Many post-holes and unusual semi-circular possible structures found in the interior.,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No
62,"Chesterton Walls, Shropshire","Roman coins and a gold ring set with lapius lazuli, of uncertain date, are the only stray finds from the site.",None,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
63,"Clee Burf, Shropshire",Bell-pits in interior.,Spring located 0.3 km outside the fort.,Bell-pits in interior.,NA,NA,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
64,"Coed y Gaer, Oswestry, Shropshire",None,Llyn Rhuddwyn 0.2 km outside the fort.,.,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
65,"Colstey Bank, Shropshire",None,NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
66,"Earl's Hill, Shropshire (Earl's Hill Camp)","Possible hut platforms visible. Small indeterminate excavation on summit 2011 to determine origin of possible gully. Possible evidence of vitrification. Half of an undated bronze ring and flint flakes chance finds, now in Shrewsbury Museum.",Stream located 0.3 km outside the fort.,Possible hut platforms visible.,Small indeterminate excavation on summit 2011 to determine origin of possible gully.,NA,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No
