Main_Atlas_Number,Main_Display_Name,Investigations_Summary,Related_Investigations
79,"Radnor Wood, Shropshire",On 1st Ed OS map (1885-1900). Air Photograph Interpretation RCHME: Marches Uplands NMP 1993-2000. Shropshire Council survey 2012.,Other (2012); 1st Identified Map Depiction (1885-1900); Other (1993-2000)
80,"Ratlinghope Hill Camp, Shropshire (Ratlinghope Hill; Stitt Hill)",On 1st Ed OS map (1885-1900). Air Photograph Interpretation RCHME: Marches Uplands NMP 1993-2000.Shropshire Council survey 2012.,Other (2009); Other (2012); 1st Identified Map Depiction (1885-1900); Other (1993-2000)
81,"Robury Ring, Shropshire",On 1st Ed OS map (1885-1900). Small excavation Hughes and Jones 1990. Air Photograph Interpretation RCHME: Marches Uplands NMP 1993-2000.,Excavation (1990); 1st Identified Map Depiction (1885-1900)
82,"Roveries House, Shropshire (The Roveries (Lower))",On 1st Ed OS map (1885-1900). Air Photograph Interpretation RCHME: Marches Uplands NMP 1993-2000.  Shropshire Council survey 2012.,Other (1968); Other (2012); 1st Identified Map Depiction (1885-1900); Other (1993-2000)
83,"Roveries Hill Camp, Shropshire (The Roveries (Upper))",In Aubrey's Monumenta Britannica (1665-1693). On 1st Ed OS map (1885-1900). Small excavations at the NW and SE entrances by Sykes 1935-39 (no report). Excavations at NW and SE entrances and interior by Thomas 1960-61 (no report). Air Photograph Interpretation RCHME: Marches Uplands NMP 1993-2000. Shropshire Council survey 2012. Investigations Shropshire Council 2013-ongoing,Other (2012); 1st Identified Written Reference (1665-1693); 1st Identified Map Depiction (1885-1900); Excavation (1935-1939); Excavation (1960-1963); Other (1993-2000); Other (2013-None)
84,"The Berth, Shropshire","On 1st Ed OS map (1885-1900). Trial excavations of larger enclosure by P.S. Gelling in 1962-3. Field observation Shropshire CC 1981. Field observations English Heritage 1978, 1982. Geophysical survey GSB Prospection 1994.   Air Photograph Interpretation RCHME: Marches Uplands NMP 1993-2000. Shropshire Council survey 2012.",Other (1977); Other (1981); Other (1994); Other (2012); 1st Identified Map Depiction (1885-1900); Excavation (1962-1963); Other (1978-1982); Other (1993-2000)
85,"The Burgs, Shropshire (The Buries; Bayston Hill)","On 1st Ed OS map (1885-1900). Field observation Ordnance Survey 1962. Watching Brief and excavation  A. Tyler 1979 (no report). Field observation English Heritage 1980, 1981, 1982. Field observation Shropshire CC 1993. Air Photograph Interpretation RCHME: Marches Uplands NMP 1993-2000. Shropshire Council survey 2012.",Other (1962); Other (1979); Other (1993); Other (2012); 1st Identified Map Depiction (1885-1900); Excavation (1978-1979); Other (1980-1982); Other (1993-2000)
86,"The Ditches, Mogg Forest, Shropshire (Larden Ditches; Mogg Ditches; The Rings; Wynbury Castle; Larden Castle)",On 1st Ed OS map (1885-1900). Air Photograph Interpretation RCHME: Marches Uplands NMP 1993-2000. Shropshire Council survey 2012.,Other (2012); 1st Identified Map Depiction (1885-1900); Other (1993-2000)
87,"Upper Knuck Camp, Shropshire (The Knuck)",On 1st Ed OS map (1885-1900). Field observation Ordnance Survey 1973. Field observation Shropshire CC 1981. Shropshire Council survey 2012.  Air Photograph Interpretation RCHME: Marches Uplands NMP 1993-2000.,Other (1973); Other (1981); Other (2012); 1st Identified Map Depiction (1885-1900); Other (1993-1994)
88,"The Lawley (North End), Shropshire (The Lawley (Lower))",On OS map (1937-61). Shropshire Council survey 2012.,Other (2009); Other (2012); 1st Identified Map Depiction (1937-1961)
89,"The Lawley (Summit), Shropshire (The Lawley (Upper))",Field observation Ordnance Survey 1979. Field observation Shropshire CC 1978. Shropshire Council survey 2012.,Other (1978); Other (1979); Other (2009); Other (2012)
90,"The Wrekin, Shropshire","On 1st Ed OS map (1885-1900). Excavations by K.M. Kenyon 1939 and 1973 by S.C. Stanford, 1973, the latter in advance of the construction of a television mast. Field observation Ordnance Survey 1970, 1975. Evaluation Oxford Arch. 1998. Excavation Oxford Arch. Unit 1999-2000. Watching Brief Ironbridge Arch/Nexus Heritage 2010. Shropshire Council survey 2012.",Excavation (1939); Excavation (1973); Other (1977); Other (1998); Other (2009); Other (2010); Other (2012); 1st Identified Map Depiction (1885-1900); Other (1970-1975); Excavation (1999-2000)
91,"Titterstone Clee, Shropshire",In Aubrey's Monumenta Britannica (1665-1693). On 1st Ed OS map (1885-1900). Rescue excavations by B.H.St.J. O'Neil 1932. Field observation Ordnance Survey 1968. Later investigation in advance of development by CAA and Met Office; BUFAU 1991. Shropshire Council survey 2012. Watching Brief SLR Consulting 2013. Watching Brief N. Baker 2015.,Excavation (1932); Other (1968); Other (1968); Other (1991); Other (1991); Other (2009); Other (2012); Other (2013); Other (2015); 1st Identified Written Reference (1665-1693); 1st Identified Map Depiction (1885-1900)
