Main_Atlas_Number,Main_Display_Name,Management_Condition_Comments,Management_Land_Use_Comments,Management_Condition_Extant,Management_Condition_Cropmark,Management_Condition_Destroyed,Management_Land_Use_Woodland,Management_Land_Use_Plantation,Management_Land_Use_Parkland,Management_Land_Use_Pasture,Management_Land_Use_Arable,Management_Land_Use_Scrub,Management_Land_Use_Moorland,Management_Land_Use_Heath,Management_Land_Use_Urban,Management_Land_Use_Coastal,Management_Land_Use_Other
15,"Dorstone Hill, Herefordshire",Forestry clearance has damaged the site which is generally at risk. On Heritage at Risk Register (2015).,"Dense conifers over most of site, with grassed areas of forest track and open wood at the edge if a pasture field. Scrub on ramparts and mature trees in the ditch.Little visible.",Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No
16,"Downton Camp, Herefordshire","Site relatively stable, but scrub and wind-throw problems remain.","Scrub, conifer and broadleaved woodland.",Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No
17,"Eaton Camp, Herefordshire","Badly affected by agriculture and development, the latter especially on the W and S.",Mostly under pasture. Scrub and wood on N and S slopes.,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No
18,"Gaer Cop, Herefordshire",Badly damaged by road and agriculture. Intensive ploughing for many years has eroded the ramparts and nearly obliterated the site. Archaeological deposits probably truncated.,A4137 main Hereford road bisects the site.,Yes,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,Yes
19,"Garmsley Camp, Worcestershire (The Wrathes)",The site is almost destroyed with only vestigal remains extant.,"Generally grazed pasture, but near destruction.",Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No
20,"Haffield Camp, Herefordshire","Wooded overgrown site within an area of managed woodland of Haffield Park, but generally improving in condition. There have been issues relating to harvesting and management in the past. There are public footpaths nearby.",Within managed broadleaved woodland.,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No
21,"Ivington Camp, Herefordshire","Despite modern buildings of Camp Farm in the interior, wooded ramparts and former quarrying, it is still an impressive site. Permissive path.",Interior devoted to Camp Farm and agriculture. Quarrying.,Yes,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes
22,"Little Doward, Herefordshire",Conifer plantation in interior now clear felled. Grazing by deer has improved the site. Site ploughed during WWII.,Woodland is now actively managed by owners.,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No
23,"Mere Hill, Herefordshire (Mere Hill Wood)","Forestry Commission plantation cleared in 2011, the site now managed with scrub clearance once a year. Generally improving situation.",Sited within a Forestry Commission plantation with free public access. Now pasture.,Yes,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No
24,"Midsummer Hill, Herefordshire (Midsummer Hill Camp)",General deterioration until management since 2010. Erosion especially on the N rampart. S part of Hollybush Hill to S quarried away.,"Heavily overgrown and wooded in part; open, very rough grazing and bare rock to N. SSSI.",Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No
25,"Oldbury, Much Marcle, Herefordshire",In poor condition and badly affected by ploughing over centuries.,"Part wooded, but most under arable.",Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No
26,"Pen-Twyn Camp, Brilley, Herefordshire (Pen Twyn Camp)","Defences much damaged, especially on S where absent and now a hedge line. Thought to be little change since the 1980's and that the site is stable in condition.",Part conifer plantation and pasture. Access problems.,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No
27,"Penapark, Herefordshire (Pen y Park)","Continuous ploughing has mostly destroyed the site to a cropmark, but part still visible.","Formerly arable, now part of Higher Level Stewardship Scheme under pasture and stable as a result.",Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No
28,"Poston Camp, Herefordshire (Lower Park Wood Camp)","Management in 1980's has halted deterioration. W end of main rampart, scarp slope and berm lie in woodland. Rest of rampart has scattered beech trees capable of windthrow. Some animal erosion.","W end of main rampart, scarp slope and berm lie in woodland. Otherwise pasture.",Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No
29,"Pyon Wood, Herefordshire","Timber operations have damaged the site and generally in poor condition, with loss of ramparts in part around the circuit.","Wooded with mixed oak, ash and beech.",Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No
30,"Risbury Camp, Herefordshire",In fairly good condition despite the trees. Now part of management agreements which should assist in the preservation of the site and alleviate problems.,Wooded ramparts. The interior is part orchard and has been so for many years.,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes
31,"Sutton Walls, Herefordshire","A quarter of the W part of the interior destroyed by quarrying, beginning in 1935 to a depth of 6m and then used as a toxic waste dump, finishing in the 1980's. The ramparts are eroded and the site is continuing to deteriorate. On Heritage at Risk Register (2015).",About 25% of the W part of the site has been used as a quarry and toxic waste dump. The remaining 75% is down to pasture.,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes
32,"Timberline, Herefordshire (Timberline Camp)","Despite the wooded and damaged nature of the site, much can be ascertained. A private track runs through the site from N to S. No management at present.","Deciduous woodland (oak, ask with some sweet chestnut planting in the interior) with dense bramble.",Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No
33,"Uphampton Camp, Herefordshire",The site is virtually destroyed.,"Banks wooded, interior ploughed.",Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No
34,"Wall Hills Camp, Ledbury, Herefordshire (Wall Hills, Ledbury)","Affected by development and trees on ramparts. Conservation issues continue with access problems. Management agreements in the 1980's and 1990's resulted in tree thinning and coppicing of rampart trees. Damage to the site, including dumping, trackwork and grading resulted in repairs completed in 2011. The outer bank is fragmentary and ditch filled in. Deep ploughed during WWII, but it appears that ploughing ceased in the 1970's.",General arable and pasture. Some wood on ramparts.,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No
35,"Wall Hills, Thornbury, Herefordshire","General decline in condition due to animal erosion, scrub (on nearly three-quarters of the rampart) and cultivation. Area divided into three fields and in multiple (3) ownership. On Heritage at Risk Register (2015).",General cultivation of interior. Some pasture.,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No
36,"Walterstone Camp, Herefordshire (Coed-y-Grafel)","Part of outer bank on NE destroyed by farmyard works. This area and N part of three ramparts in different ownership to rest where fencing affects site. Affected by open woodland, garden and shrubs also on parts of fort. Access problems. Outside the fort quarrying.","Woodland, rough grass, farmyard and developments on site.",Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,No,Yes
37,"Wapley Camp, Herefordshire","Most of site, apart from the outer N rampart,under Forestry Commission ownership. Scrub clearance and bracken and bramble control in Forestry Commission area undertaken through management agreement since 2004, including removal of conifers. Possible harvesting problems in N part of site.",Part of N rampart under commercial conifer plantation.,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No
38,"Westington Camp, Herefordshire",Interior severely affected by ploughing and much of the earthworks lost. A management agreement is now in force to revert the cultivated interior to pasture.,Reversion to pasture from arable.,Yes,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No
39,"Abdon Burf, Shropshire",Destroyed by quarrying and mining.,Destroyed by quarrying and mining. Now moorland and heath vegetation. SSSI.,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,Yes
40,"Billings Ring, Shropshire","Since the 1980's the cultivated interior and fields to the S and N have been managed under permanent pasture and management agreements, with scrub and tree growth clearance.",The rampart edge to the N and E and outside the fort under long term woodland. History of ploughing but interior and elsewhere now under permanent pasture.,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No
41,"Blodwell Rock, Shropshire","Generally upstanding, but fencing located on the W rampart.",Woodland and scrub with dense planting of mixed wood to S.,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No
42,"Knuck Wood, Shropshire (Birches Bank)",Ramparts and interior wooded with gradual scrub control by owner during the past decade. A road impinges on the W rampart and ditch.,Late 20th C site part planted with conifers and colonised by secondary wood. Road impinges on the W side.,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes
43,"Bodbury Ring, Shropshire","Repairs were undertaken 1986-7, 1992 by National Trust and stock reduced over the past decade. To a degree latter resulted in increased bracken encroachment.","Good pasture, but best seen in winter as badly affected by bracken.",Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No
44,"Bulthy Hill, Shropshire","Open access with some erosion from quad bikes and animals, but defences difficult to interpret.",Managed rough grassland and heath.,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No
45,"Burf Castle, Shropshire","Indefinite defences, with scarp and traces of ditch. The site is the subject of National Trust management.","The site was planted with conifers in the first half of the last century but these have now been cleared with subsequent heath, scrub and bracken regeneration. Plantation surrounds the site.",Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No
46,"Burrow Hill Camp, Shropshire (Burrow Hill)",Bracken management and aerial spraying have revealed hut platforms.,"Pasture and mature oaks, fine and well preserved, but slopes below tree-covered.",Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No
47,"Bury Ditches, Shropshire","Tree cover removed by storm and clearance by 1981, now pasture and well preserved, Some visitor erosion. FC management of regenerating scrub, saplings and bracken.",Managed grassland. Slopes below tree covered. Possible warrener's lodge platform.,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes
48,"Bury Walls, Shropshire",Interior taken out of cultivation in the 1990's. Site now in good private management. 15-20 m buffer strip to ramparts in field to the N side. Area of site to the W in separate ownership.,"Tree-covered slopes and part-wooded defences especially on the N, S and W ramparts. Holly scrub and bracken. Grazed areas within wooded areas. Past history of ploughing.",Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No
49,"Caer Caradoc, Clun, Shropshire (Caer Caradoc, Chapel Lawn; Gaer Ditches)","Well preserved hillfort with some stock erosion, but gorse in interior which has increased in the past 20 years poses management problems. Successful 1995 erosion repairs at W entrance.",Pasture with gorse scrub in the interior.,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No
50,"Caer Caradoc, Church Stretton, Shropshire","Popular site for recreation with path erosion on N and S ramparts and deep erosion scar below rock outcrops N of the entrance, but generally on good condition.",Hill top heath and rough grazing with bare rocky outcrops. SSSI.,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No
51,"Caerbre, Shropshire (Chirbury)",Good banks in evidence.,Wooded slopes above the River Camlad.,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No
52,"Caer-Din Ring, Shropshire (Caer Din Ring)",Successful earthwork repairs c. 2006. Good management.,Pasture.,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
53,"Calcot Camp, Shropshire","Much affected by Calcot Farm, which has destroyed areas to the SW in particular, but also on the E side. Modern field road cuts through the bank where the S and E circuits join. Water tank occupies the highest point.",Calcot Farm and pasture.,Yes,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,Yes
54,"Callow Hill Camp, Shropshire","Affected by development, mountain bikes and general vandalism since 1981. On Heritage at Risk Register (2015).",The fort is covered by scrub and bracken and regenerative oak coppice.,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No
55,"Castle Idris, Shropshire (Garn Bank)","Vehicle erosion in the past, but under good management for decades.",Pasture.,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
56,"Castle Ring, Gorsty Bank, Shropshire (Gorsty Bank)",The site has nearly been levelled. Former management of bracken and gorse scrub ceased and now deterioration in condition.,Pasture and gorse scrub now covers over nearly three-quarters of the site. Bracken is a problem.,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No
57,"Castle Ring, Horderley, Shropshire",The S rampart has been ploughed-down and dispersed.,In arable cultivation.,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No
58,"Castle Hill, Oak Hill, Shropshire (Oak Hill)",In good management and preservation.,Heather moor and heath with bracken.,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No
59,"Castle Ring, Stitt Hill, Shropshire",Good with reductions in stock numbers improving condition.,Good upland pasture.,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
60,"Caus Castle, Shropshire","Pasture and woodland, but some ash tree colonisation and scrub causing problems to be addressed. Motte and bailey castle.","Pasture, wood and scrub. Motte and bailey castle.",Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,Yes
61,"Caynham Camp, Shropshire",Fine example of a univallate fort in good condition. Management plan for trees in operation with public access footpath and interpretation. Post-medieval quarry in W just beyond the inner rampart. Some erosion on N rampart top exposing dry-stone walling. Pasture and part tree-clad on inner ramparts to the N. Windthrow has occurred in the past. Some fencing on ramparts.,General pasture interior with part tree-clad on inner ramparts to the N. Quarrying.,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes
62,"Chesterton Walls, Shropshire",Intensive arable in interior with mature woodland on ramparts has damaged the site. Site unlikely to return to pasture in the foreseeable future.,"Intensive arable in the interior, with mature woodland with scrub understorey on the ramparts. Scrub and woodland in annexe.",Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No
63,"Clee Burf, Shropshire","Nearly lost to quarrying with poor rampart survival as ragged scarp only on the SE. Bell-pits and spoil heaps over existing rampart, in relict interior and surrounds. Quarry taken rest of site to NW.","Moorland and heath on Brown Clee Hill summit. Quarry, spoil heaps.",Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,Yes
64,"Coed y Gaer, Oswestry, Shropshire","Part-destroyed and heavily disturbed MOD site with buildings remains, including a roofless 19th century hunting lodge/summerhouse at the highest point, with possibly  one to three others. Rampart tumbled and gone apart from on the N and SE.",Heavily wooded for many years.,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No
65,"Colstey Bank, Shropshire",Heavily overgrown with commercial forestry problems and defences truncated on the N by a forestry road and bank concealed by upcast. Quarry pits outside the E rampart undated.,Commercial forestry on a former ancient woodland site and heavily overgrown with young saplings. Forestry road.,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes
66,"Earl's Hill, Shropshire (Earl's Hill Camp)",Good management by Shropshire Wildlife Trust as a nature reserve and well preserved. Some rabbit and visitor erosion.,Upland pasture with bare rock outcrops. Possible WWII emplacement.,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes
67,"Ebury Hill, Shropshire (Ebury)",Badly affected by caravan site and part wooded with WWII station. Permissive paths throughout site for campers,Camping and caravan site and part wooded.,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes
68,"Fron Camp, Shropshire (The Vron)","The site of a possible later signal station of indeterminate recorded date, the site is now under management agreement and pasture. Selected deciduous tree removal occurred in the 1990's and conifers were removed from the SW corner. Scrub and bracken have been controlled over the past decade.",Pasture with scrub and bracken management. Possible later signal station.,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes
69,"Haughmond Hill Camp, Shropshire (Haughmond Castle; Castle Earthwork)","Affected by scrub and trees and Forestry Commission public access site problems. 18th century folly of Haughmond Castle in interior as are remnants of a WWII spigot mortar emplacement, possibly used by the Home Guard. Toposcope and managed tracks with erosion.",Recreation site with scrub and bracken. Folly and WWII works. Toposcope.,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes
70,"Knowle, Shropshire","Pasture and surviving ramparts generally stable, but E line missing. Affected by development.","Affected by domestic properties and playing field, but down to permanent pasture.",Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes
71,"Llanymynech Hill, Powys","Site much damaged by houses, gardens and quarrying. Golf course in interior and public footpaths over site. Past mineral extraction from prehistoric times on part of site, but golf course has obscured many features.","Golf course and buildings, scrub and bare rock.",Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes
73,"Nordy Bank, Shropshire","Ramparts and entrances mostly well-preserved, but some sheep scrapes on the NE and S. Management prescriptions sought.",Good pasture. Small ditched enclosure to its SW. The latter is certainly a WWII Home Guard site.,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes
74,"Norton Camp, Shropshire","Interior under intensive arable cultivation and ramparts tree covered with major scrub, including laurel, problems. This has encouraged burrowing animals which are causing major erosion problems. The site is deteriorating in condition. Small stone quarries in the NW sector. On Heritage at Risk Register (2015).","Ramparts tree covered with dense scrub, including laurel, and interior cultivated.",Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No
75,"Old Oswestry, Shropshire",Good condition but has suffered from scrub and bracken encroachment in the past which poses management problems. Very popular recreation site results in some visitor erosion.,"Interior grazed, as were the banks in the past. SSSI.",Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No
76,"Nesscliffe Hill Camp, Shropshire (Oliver's Point)",Wooded Country Park owned by Shropshire Council.,"Very dense woodland, scrub and bracken. Former coniferous plantation. Dense undergrowth with understorey of rododendron.",Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No
77,"Pave Lane, Shropshire","Intensive arable cultivation and ploughing have reduced much of the site to a cropmark. The detritus associated with domestic properties litters part of the site, but site boundaries are generally defined by fences with concrete posts.","Most of the site is down to intensive arable, but some of the earthwork is within the curtilage of domestic properties.",Yes,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,No
78,"Pontesford Hill Camp, Shropshire (Pontesbury)",Part-wooded. Forestry Commission access road cuts along main ditch slicing off the front edge of the counterscarp of the outer rampart. Paths and boundary bank confuse matters. Some visitor erosion as open access.,"Young trees, scrub and bracken dominate the site. Substantial forestry road. SSSI.",Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,Yes
79,"Radnor Wood, Shropshire","Formerly an ancient woodland site, planted with conifers in 20th century, but vegetation clearance in  2010 as part of a butterfly conservation project has now exposed the hillfort. Some saplings and mature conifers remain.",Upland pasture with some saplings and mature conifers.,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No
80,"Ratlinghope Hill Camp, Shropshire (Ratlinghope Hill; Stitt Hill)","Bracken problem and minor disturbance, but generally improving in stability.",Grazed upland pasture. Bracken.,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No
81,"Robury Ring, Shropshire",Paert-destroyed and very badly affected by development as a farmhouse and ancillary farm buildings and yards are located within the enclosure. Banks ploughed-down and dispersed.,Farm located in the interior and site cultivated.,Yes,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No
82,"Roveries House, Shropshire (The Roveries (Lower))",Well-managed and stable site.,Coniferous woodland and scrub.,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No
83,"Roveries Hill Camp, Shropshire (The Roveries (Upper))",Excavation trenches of 1930's and 1960's still open and causing problems.,"Interior under pasture with ramparts generally under deciduous trees and scrub, especially at NE end with conifers. Open trenches.",Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,Yes
84,"The Berth, Shropshire","The site is farmed and generally in good condition, although a tractor track crosses the ramparts in the large enclosure, early quarrying has taken place in the smaller and the entrances have been mutilated.","Unimproved, poorly drained, pasture with scrub on the NW and NE slopes. Early quarrying.",Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes
85,"The Burgs, Shropshire (The Buries; Bayston Hill)",Much affected by housing development up to the 1970' and as a result the complex banks of the S/SW corner have either been destroyed or are situated within domestic curtilages. Section 17 agreement has put in place a scrub clearance programme.  On Heritage at Risk Register (2015).,"Pasture, wood and scrub with housing encroachment.",Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No
86,"The Ditches, Mogg Forest, Shropshire (Larden Ditches; Mogg Ditches; The Rings; Wynbury Castle; Larden Castle)","Hillwash has reduced the inner bank to a scarp on the NW and the middle and inner ramparts have been damaged near the SW entrance, itself damaged by a forestry track, but generally ramparts well-preserved. Some windblow problems.",Conifers and old coppice; W part in deciduous woodland. Part-ploughed in the interior.,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No
87,"Upper Knuck Camp, Shropshire (The Knuck)",Some stock erosion at E end and NW corner of N rampart.,Pasture.,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
88,"The Lawley (North End), Shropshire (The Lawley (Lower))",The site is in general good condition.,Upland unimproved acid grassland.,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
89,"The Lawley (Summit), Shropshire (The Lawley (Upper))",Vestiges remain of the site with some recreation erosion effects.,Upland acid grassland pasture.,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
90,"The Wrekin, Shropshire","Although damaged by WWII searchlight battery and warning beacon construction and the 1973 television transmitter between the two enclosures to the NW, the site is large enough to show its salient features well. Bracken, scrub and tree growth.",Essentially moorland with rock outcrops and modern built features. SSSI.,Yes,No,No,Yes,No,No,No,No,Yes,Yes,No,Yes,No,Yes
91,"Titterstone Clee, Shropshire","Apart from two small sections between the two large quarries that bite into the fort, the S side has been lost to quarrying for dolorite. The excavated main SE entrance still has the remains of O'Neil's trench exposed. A CAA and Met Office radar station, constructed in the latter 20th century occupies part of the interior.","A CAA and Met Office radar station, constructed in the latter 20th century occupies part of the interior. Trenches. Quarries.",Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes
92,"Wall Camp, Kynnersley, Shropshire (The Wall; Kinnersley Wall)","Damaged in the past with Wall Farm located in centre of the fort, with associated buildings, fences, roads etc. Now in good management.","Under permanent pasture, with some scrub and trees dotted about the site. Wall farm.",Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,Yes,No,No
93,"Walton Camp, Shropshire",Stock erosion on inner W rampart and open scrub on ramparts.,Long managed under unimproved pasture,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No
94,"Wart Hill, Shropshire",Mutilated and few visible remains.,Woodland with some clearance.,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No
95,"Grimsbury Castle, West Berkshire (Grimsbury Camp)","Some quarrying has occurred across the bank in the SW and within the interior, but otherwise a well-preserved bank and ditch.",NA,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No
96,"Bussock Camp, West Berkshire (Bussock Wood Camp)",The ramparts are now denuded and damage has occurred probably through gravel quarrying.  The banks were said to have stood at 3.6m in the N and 6.1m high in the W Cotton (1962: 45),Lies within the grounds of a 20th century country house,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No
97,"Walbury Camp, West Berkshire",NA,Grassland with semi-improved grassland in the northern sector,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes
98,"Ramsbury, West Berkshire (Ramsbury Corner)",Survives as a bank lying in Ramsbury Wood in the N and E but ploughed out in the S-W and only visible on aerial photographs,Plateau gravel and sands,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No
99,"Membury Camp, Wiltshire (Membury Fort)",E side of fort part destroyed by WWII airfield and interior ploughed with overgrown wooded ramparts. On Heritage at Risk Register (2015).,Cultivated interior with wooded and overgrown ramparts. WWII airfield.,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes
100,"Eston Nab, North Yorkshire",Suffers damage from unauthorised vehicles and heathland fires. On Heritage at Risk Register (2015).,Aerial imagery suggests the land is under scrub.,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No
101,"Perborough Castle, West Berkshire (Compton Castle)",Upstanding but almost destroyed. Best preserved in the N where it lies in unploughed grassland.,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes
