Main_Atlas_Number,Main_Display_Name,Landscape_Altitude,Landscape_Type_Comments,Landscape_Topography_Comments,Landscape_Topography_Dominant,Landscape_Type_Contour,Landscape_Type_Partial,Landscape_Type_Promontory,Landscape_Type_Hillslope,Landscape_Type_Level,Landscape_Type_Marsh,Landscape_Type_Multiple,Landscape_Topography_Hilltop,Landscape_Topography_Coastal,Landscape_Topography_Inland,Landscape_Topography_Valley,Landscape_Topography_Knoll,Landscape_Topography_Ridge,Landscape_Topography_Scarp,Landscape_Topography_Hillslope,Landscape_Topography_Lowland,Landscape_Topography_Spur,Landscape_Aspect_N,Landscape_Aspect_NE,Landscape_Aspect_E,Landscape_Aspect_SE,Landscape_Aspect_S,Landscape_Aspect_SW,Landscape_Aspect_W,Landscape_Aspect_NW,Landscape_Aspect_Level
11,"Credenhill Camp, Herefordshire",210.0,Large contour hillfort. Located on steep and prominent hill within Credenhill Park Wood dominating a major bend in the River Wye.,,Prominent hill.,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
12,"Croft Ambrey, Herefordshire",295.0,The fort partly follows the contours. Sited on a spur above a significant bend of the River Lugg dominating the Leintwardine Fishery.,,Spur above the River Lugg.,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
13,"Dinedor Camp, Herefordshire (Oyster Hill)",182.0,Important contour hillfort located on the summit of Dinedor Hill overlooking the River Wye and Hereford and its confluence with the River Lugg and the confluence of the Lugg and Frome.,,Dinedor Hill.,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
14,"Dinmore Hill, Herefordshire",160.0,The location of the site is not exact. Located on NE spur slopes on a bend of the River Lugg.,,Spur above the River Lugg.,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No
15,"Dorstone Hill, Herefordshire",257.0,Sloping spur promontory.Located on steep slopes of a spur just below the summit of Dorstone Hill overlooking the River Dore.,,Spur,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No
16,"Downton Camp, Herefordshire",137.0,"Univallate, cliff-edge, inland promontory fort. Located on wooded NE-facing slope at the edge of S-facing limestone cliffs above the River Teme.",,Cliff edge,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No
17,"Eaton Camp, Herefordshire",80.0,Unusual inland promontory hillfort located directly adjacent to the River Wye at stream confluence.,,River terrace.,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
18,"Gaer Cop, Herefordshire",128.0,Unusual location on flat plateau top suggests level terrain fort. Located at the top plateau edge of a gentle rise above a stream valley which eventually meets the River Wye to the S.,,Plateau edge.,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes
19,"Garmsley Camp, Worcestershire (The Wrathes)",196.0,A (former) hillslope enclosure. Located on steep slopes overlooking the Kyre Brook and the headwaters of the River Frome to the S and W.,,Hillslope.,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No
20,"Haffield Camp, Herefordshire",90.0,Site generally follows the contours on ridge top. Isolated wooded site located on a hill above the River Leadon.,,Ridge top knoll.,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes
21,"Ivington Camp, Herefordshire",167.0,Ramparts closely follow the contours apart from N half of east side. Located on a hill overlooking the W bank of the River Arrow and near the confluence of the Rivers Lugg and Arrow.,,Hilltop,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes
22,"Little Doward, Herefordshire",221.0,"The site generally follows the contours of the spur. Large, very prominent and now wooded multivallate hillfort located on a spur promontory on major bends of the River Wye at Symonds Yat.",,Spur above the River Wye,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes
23,"Mere Hill, Herefordshire (Mere Hill Wood)",238.6,"The three hillforts of Mere Hill, Pyon Wood (Atlas No 0029) and Croft Ambrey (Atlas No 0012)  are located in a line along the River Lugg. Mere Hill located at the edge of steep escarpment overlooking valley of River Lugg in vicinity of Pyon Wood and Croft Ambrey.",,Cliff edge location.,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes
24,"Midsummer Hill, Herefordshire (Midsummer Hill Camp)",286.0,"Partial contour hillfort. Steep slopes are a feature of the site. Because of the topographic nature of the site on two hills, the aspect is very variable. Located on two hills, Midsummer Hill and Hollybush Hill on the ridge of the Malvern Hills. Aspect variable about the large site, predominately NW.",,The two hilltops of Midsummer Hill to the north and Hollybush Hill to the south with intervening valley.,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No
25,"Oldbury, Much Marcle, Herefordshire",180.0,Site generally follows the contours. Located on the plateau top of Ridge Hill on the interfluve of the Rivers Severn and Wye.,,Plateau top of ridge.,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes
26,"Pen-Twyn Camp, Brilley, Herefordshire (Pen Twyn Camp)",328.0,Hill top site follows the contours. Isolated and prominent site overlooking the River Wye above Hay-on-Wye.,,Hill Top,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
27,"Penapark, Herefordshire (Pen y Park)",99.0,"Large, level terrain, triple banked and ditched enclosure, showing mostly as cropmark in arable field and located on an elevated level plateau at E end of a ridge overlooking the Monnow Valley to S.",,Level plateau,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
28,"Poston Camp, Herefordshire (Lower Park Wood Camp)",221.0,"Inland promontory fort, the single massive rampart cutting off the promontory spur and sited above the River Dore in the Golden Valley.",,Inland promontory spur.,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes
29,"Pyon Wood, Herefordshire",201.0,"Site roughly follows the contours. Located on a prominent spur below Croft Ambrey, above a very significant bend of the River Lugg.",,Spur above the River Lugg,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes
30,"Risbury Camp, Herefordshire",120.0,Site follows the contours. Located at the confluence of Holly and Humber Brooks.,,"Interesting location on the edge of Holly Brook on small flat-topped knoll, possibly artificially levelled.",Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
31,"Sutton Walls, Herefordshire",100.0,"The elongated E to W, site follows the 100m contour to the E dipping to the W at the W end. Located on a low, but prominent, hill overlooking the River Lugg.",,"Low, but prominent, hill.",No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes
32,"Timberline, Herefordshire (Timberline Camp)",196.0,The site roughly follows the contours of the spur. Located in Timberline Wood on a significant SE spur above the River Dore and Golden Valley on the SW and the River Wye on the NW.,,Prominent SE- facing spur.,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes
33,"Uphampton Camp, Herefordshire",230.0,Hillslope fort sited on slopes above the Humber Brook and River Lugg on a prominent E-W ridge.,,Prominent E-Wridge,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No
34,"Wall Hills Camp, Ledbury, Herefordshire (Wall Hills, Ledbury)",120.0,"Isolated, large, partial contour fort, with two enclosures, that to the S c. 6m higher than that to the N and located on a knoll overlooking the upper reaches of the River Leadon and the valley of Preston Brook to the W.",,Isolated knoll.,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
35,"Wall Hills, Thornbury, Herefordshire",230.0,Site follows the contours on hill summit. Large site on hill summit overlooking the Kyre Brook to the N and W and the headwaters of the River Frome to the S and W.,,Plateau-like summit of hill.,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
36,"Walterstone Camp, Herefordshire (Coed-y-Grafel)",230.0,Site roughly follows the contours in a circle. Prominent site at the confluence of the Rivers Honddu and Monnow,.,Prominent spur.,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes
37,"Wapley Camp, Herefordshire",320.0,Site roughly follows the contours. Large isolated hillfort located on the wooded summit of Wapley Hill.,,Hill top,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
38,"Westington Camp, Herefordshire",210.0,"Hillslope fort located on spur end overlooking a stream above Holly Brook, a tributary of the River Lugg.",,Spur,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No
39,"Abdon Burf, Shropshire",530.0,"Fort destroyed by quarrying and mining. Formerly the site probably followed the contours. Formerly on one of the three summits of the Clees (Abdon, Brown and Titterstone) that dominate SE Shropshire. High, steep and prominent Abdon Burf overlooked the valleys of the River Corve to the W and the River Rea/Rea Brooks to the E.",,The prominent Abdon Burf hill.,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
40,"Billings Ring, Shropshire",277.0,Located on hill top above the River Onny and valleys to the N where the Onny valley opens out into the lower lying valley of the Camlad/Onny headwaters. Also at the confluence of the East and West Onny's in an area of prominent hillforts.,,Hill top.,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
41,"Blodwell Rock, Shropshire",210.0,Steeply sloping hillside site between 210-225 m O.D. Sited on a cliff edge to the N of Llanymynech Hill.,,Cliff edge of Llanymynech Hill.,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No
42,"Knuck Wood, Shropshire (Birches Bank)",300.0,"Classified as a promontory fort by the VCH (1908). However, it does not just cut off the promontory but has earthworks around all sides of the circuit, roughly following the contours. Sited on the SE end of a steep-sided spur summit  above the River Unk at a stream confluence.",,Steep-sided spur.,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes
43,"Bodbury Ring, Shropshire",373.0,"Good example of an inland promontory fort. Located on the promontory summit of Bodbury Hill, with precipitous slopes above the Cardingmill Valley and access into the Long Mynd.",,Promontory above the Cardingmill Valley.,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
44,"Bulthy Hill, Shropshire",273.0,Possible hillslope fort located on the NE slopes of Bulthy Hill to the NW of Middletown Hill and one of the five hillforts of the Breidden Hills sited above the River Severn.,,NE slopes of Bulthy Hill,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No
45,"Burf Castle, Shropshire",125.0,"Site follows the contours. Occupying one of the highest points in the former medieval Mogg Forest, but on a low hill.",,Low hill in Mogg Forest.,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
46,"Burrow Hill Camp, Shropshire (Burrow Hill)",340.0,"Undulating site generally following the contours. Located on the summit of Burrow Hill near to the confluence of the Rivers Clun and Kemp, in an area of clusters of prominent hillforts.",,Summit of Burrow Hill.,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
47,"Bury Ditches, Shropshire",392.0,"Interior slopes gently to the SW corner. Sited on Sunnyhill above the valley of the River Clun to the S, the valley of the River Kemp to the N and  the confluence of the Rivers Clun and Unk to the SW.",,Hill summit,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
48,"Bury Walls, Shropshire",152.0,"Situated on a sandstone ridge, with wooded slopes overlooking the plain of the River Roden.",,Sandstone ridge.,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes
49,"Caer Caradoc, Clun, Shropshire (Caer Caradoc, Chapel Lawn; Gaer Ditches)",399.0,"Very good example of a partial contour fort, being tilted towards the valley of the River Redlake to the NE. Superbly sited on a spur overlooking the River Redlake with the Rivers Clun to the N and Teme to the S.",,Spur,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No
50,"Caer Caradoc, Church Stretton, Shropshire",459.0,"High, prominent and craggy partial contour fort, some 380m long, and falling 30m from N to S and located on the steep ridge of Caer Caradoc Hill.",,Steep craggy hill.,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes
51,"Caerbre, Shropshire (Chirbury)",150.0,Probably the best defined promontory fort in Shropshire. Located on E-facing slopes of a N to S ridge of a very steep promontory above a sharp bend of the River Camlad.,,Spur above the River Camlad.,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
52,"Caer-Din Ring, Shropshire (Caer Din Ring)",430.0,Contour hillfort located on prominent hill above Folly Brook and above its confluence with the River Clun.,,Prominent hill,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
53,"Calcot Camp, Shropshire",160.0,Partial contour fort sited on a very steep wooded spur some 100m above a bend of the River Camlad and opposite to Caerbre.,,A very steep wooded spur some 100m above a bend of the River Camlad.,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No
54,"Callow Hill Camp, Shropshire",180.0,"The ramparts follow the contours. A small multivallate fort, roughly triangular in plan, located on the isolated Callow Hill overlooking the Rea Brook to the north and one of several sites below the dominent Earl's Hill fort surmounting Pontesford Hill.",,The summit of Callow Hill.,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
55,"Castle Idris, Shropshire (Garn Bank)",300.0,Hillslope fort sited on SE slopes of Castle Idris. Located on a shelf of steep E-facing slopes of Castle Idris hill at the confluence of Folly Brook and the River Clun.,,Slopes below Castle Idris hill.,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No
56,"Castle Ring, Gorsty Bank, Shropshire (Gorsty Bank)",359.0,Site follows the contours. Sited on a knoll on the interfluve overlooking the confluence of the River Camlad and Aylesford Brook and valley of the Rea Brook to the NE and Hope Valley to the E,,Knoll,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
57,"Castle Ring, Horderley, Shropshire",230.0,"Inland promontory fort, Castle Ring often referred to as defended Iron Age farmstead, but, despite it small size, occupies strong defensive position, with substantial defences on marked Ridgeway Hill above, and SW of, bend of River Onny at the edge of Plowden Woods and in an area of prominent hillforts.",,Marked promontory above the River Onny.,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
58,"Castle Hill, Oak Hill, Shropshire (Oak Hill)",396.0,"Although the S side has the promontory cut off by a rampart, steep natural defences on W and N have artificial strengthening, therefore site classified as contour hillfort. Located on high steep site spur at N end of Stiperstones looking across the valley of Rea Brook towards Severn valley.",,Spur top.,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes
59,"Castle Ring, Stitt Hill, Shropshire",400.0,"Site generally follows the contours. Situated at the junction of a W and S spur, at the SW end of Stitt Hill,",,Spur.,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes
60,"Caus Castle, Shropshire",200.0,"Fort follows the contours tof hill to its defensive advantage. Set on a prominent hill at the SE end of Long Mountain, overlooking the Rea Brook to the S and E and undulating lowlands to N.",,Prominent hill.,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
61,"Caynham Camp, Shropshire",174.0,"The rampart follows the contours. Located on a small, domed land ow hill summit above and overlooking the narrow valley of Ledwyche Brook to the W and Caynham Brook to the N, and near to the confluence of the Rivers Teme and Corve at Ludlow.",,Small domed low hill.,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
62,"Chesterton Walls, Shropshire",70.0,"Contour hillfort sited within a steep-sided bend at the confluence of Stratford Brook and another stream, tributaries of the River Worfe.",,"Steep-sided spur on bend at the confluence of Stratford Brook and another stream,",Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes
63,"Clee Burf, Shropshire",490.0,"Possible contour fort but as most of site destroyed this cannot be certain. High and prominent on the rounded summit of Brown Clee Hill, Clee Burf occupies a very prominent location and overlooks the valleys of the River Corve to the W and the River Rea/Rea Brooks to the E.",,Rounded summit of Brown Clee Hill.,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
64,"Coed y Gaer, Oswestry, Shropshire",362.0,Contour fort following the contours of a steep isolated hill. Located on steep wooded slopes of an isolated rocky ridge/hill above the Afon Cynllaith watercourse.,,Isolated hill.,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
65,"Colstey Bank, Shropshire",260.0,A hillslope enclosure on moderate slopes. Sited at the end of a N-S spur above Cwm Colstey with moderate slopes on the E and W and gradual on the N and S.,,Spur,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No
66,"Earl's Hill, Shropshire (Earl's Hill Camp)",320.0,"Partial contour hillfort occupies prominent hill top and associated ridge, crowning the steep summit and S slopes of Pontesford Hill with far-reaching views commanding the valleys of the Rea and Cound Brooks.",,Pontesford Hill summit.,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No
67,"Ebury Hill, Shropshire (Ebury)",92.0,A lowland hillfort which follows the contours on a small knoll. Low-lying site on a slight knoll with the River Severn to the SW and the River Roden to the NE.,,Small lowland knoll.,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes
68,"Fron Camp, Shropshire (The Vron)",310.0,"Site generally follows the contours. Located on steep slopes, in a situation of great strength, on a knoll at the end of an elevated spur opposite to Castle Idris fort at Newcastle on Clun, and at the confluence of Folly Brook and the River Clun, in an area of small hillforts at the extreme point of the Clun Forest hills.",,Knoll at the end of an elevated spur.,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes
69,"Haughmond Hill Camp, Shropshire (Haughmond Castle; Castle Earthwork)",132.0,Site generally follows the contours. Sited near to the top of Haughmond Hill at the W end of the escarpment and overlooking a sharp bend of the River Severn. Extensive views of the Severn Valley and North Shropshire Plain.,,Haughmond Hill ridge.,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
70,"Knowle, Shropshire",260.0,"Possible, partial contour site located on a slight rise or knoll above Corn Brook, a stream tributary of the River Teme, and to the S of Clee Hill.",,Slight rise or knoll.,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
71,"Llanymynech Hill, Powys",200.0,"Very large contour hillfort, at c. 57ha one of the largest in Britain. Straddles the England /Wales border where the Afon Vyrnwy, Tanat and Cain reach the Severn plain. Sides steep so little defence needed.",,Hill top,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
73,"Nordy Bank, Shropshire",330.0,Partial contour fort sloping slightly from E to W. Sited on a spur top on the lower W slopes of Brown Clee Hill overlooking the valley of the River Corve.,,Spur top on lower W slopes.,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No
74,"Norton Camp, Shropshire",294.0,Partial contour fort with gentle E-facing slopes and summit of hill located above the River Onny.,,Hill top.,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes
75,"Old Oswestry, Shropshire",165.0,Fine contour fort located on a glacial knoll overlooking the North Shropshire Plain to the N and E.,,Glacial knoll,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
76,"Nesscliffe Hill Camp, Shropshire (Oliver's Point)",139.0,Site covers N summit of the hill on ground rising to the NW and and isolated knoll to the E. Located on the N summit of the prominent Nesscliffe Hill rising above the Shropshire Plain and River Severn to the SW and River Perry to the NE.,,Summit of hill.,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
77,"Pave Lane, Shropshire",100.0,"Generally undulating ground conditions. Located on undulating ground near Pave Lane village and next to a pronounced glacial gully and adjacent bank, also of glacial origin.",,Undulating ground and glacial features.,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes
78,"Pontesford Hill Camp, Shropshire (Pontesbury)",185.0,"Site slightly slopes to the NE, partially following the contours. Located on a col on the lower NE facing spur slopes of Pontesford Hill below Earl's Hill hillfort.",,NE-facing spur.,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No
79,"Radnor Wood, Shropshire",320.0,Site appears to follow the contours. Small steep wooded site above the River Clun.,,E to W ridge.,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
80,"Ratlinghope Hill Camp, Shropshire (Ratlinghope Hill; Stitt Hill)",350.0,"Site generally follows the contours. A cross bank and ditch with scarping elsewhere, encloses a spur on Ratinghope Hill.",,Undulating Ratlinghope Hill.,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
81,"Robury Ring, Shropshire",265.0,Hillslope fort on Wentnor Prolley Moor overlooking Criftin Brook and above the River East Onny on the edge of a plateau at the foot of the Long Mynd. Slopes gently to the S and SW.,,Plateau edge.,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No
82,"Roveries House, Shropshire (The Roveries (Lower))",247.0,"Site makes full use of the natural topography. Located on the lower of the two summits of the wooded Roveries and commanding the headwaters of the Camlad-Onny valley and the Lydham Pass, to the SW of the Long Mynd.",,Rocky summit of the W Roveries hill.,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
