Main_Atlas_Number,Main_Display_Name,Dating_Date_Comments,Dating_Pre_Comments,Dating_Post_Comments,Dating_Date_Pre_1200BC,Dating_Date_1200BC_800BC,Dating_Date_800BC_400BC,Dating_Date_400BC_AD50,Dating_Date_AD50_AD400,Dating_Date_AD400_AD800,Dating_Date_Post_AD800,Dating_Date_Unknown,Dating_Date_Reliability,Dating_Pre,Dating_Post,Related_Dating_Artefactual,Related_Dating_NA,Related_Dating_Morph_Earth_Typo,Related_Dating_C14,Related_Dating_Other
12,"Croft Ambrey, Herefordshire","Stanford suggested seven periods of occupation, as a result of the renewal of the gates, between 450 BC to AD 49. Firstly a rampart (later removed) and ditch (still visible) enclosing 2.2ha. Rows of possibly four-posters for grain storage. At least five periods of modification/reconstruction. C. 390 BC bank levelled and new enclosure built of 4ha visible as the inner rampart and two external banks and ditches. Later an annexe was added to the S, defined by two weak banks and ditches. The mound, which was fully excavated, was of late Roman date, built over an initial early Roman terrace. Here coarse ware predominated, but also included some Samian ware. Iron Age metal-ware found. C14 dating from the excavation appears problematical as vast range between 1700-750 cal BC.",NA,Mound in the annexe proved to be Roman. Two medieval pillow mounds could indicate activity.,No,No,No,Yes,Yes,Yes,No,No,B,No,Yes,Yes,No,Yes,Yes,No
13,"Dinedor Camp, Herefordshire (Oyster Hill)",Iron Age stamped Malverian and vesicular mudstone tempered wares c. 2nd century BC. Romano-British pottery and Roman coins found of Galba AD 68-69 and Citellius could indicate some form of occupation/activity.,Neolithic polished axe indicates some activity. Bronze Age arrowhead.,Romano-British pottery and Roman coins found of Galba AD 68-69 and Citellius. Site may have been occupied in 1645 by Scottish troops as part of the Siege of Hereford with possible hornwork and bastion.,Yes,No,No,Yes,Yes,No,No,No,B,Yes,Yes,Yes,No,No,No,No
14,"Dinmore Hill, Herefordshire",None,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
15,"Dorstone Hill, Herefordshire","Thought of by some part of the nearby Neolithic complex, but probably a small Iron Age fort of indeterminate date to Romano-British period (finds evidence).",Neolithic finds of struck flints indicate activity,NA,No,No,No,Yes,Yes,No,No,No,C,Yes,No,Yes,No,No,No,No
16,"Downton Camp, Herefordshire",None,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
17,"Eaton Camp, Herefordshire","Rampart c. 6th century BC. Tertiary deposits in ditch contained stamped Malvernian ware of middle Iron Age. Droitwich briquetage, crucible fragment, bone and part of shale object, flint. C14 dates (no details)",NA,NA,No,No,Yes,Yes,No,No,No,No,B,No,No,Yes,No,No,Yes,No
18,"Gaer Cop, Herefordshire",None,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
19,"Garmsley Camp, Worcestershire (The Wrathes)",Roman bricks found.,NA,Possible Roman use.,No,No,No,No,No,No,No,Yes,C,No,Yes,Yes,No,No,No,No
20,"Haffield Camp, Herefordshire",None,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
21,"Ivington Camp, Herefordshire",Iron Age pottery (eg Malvernian ware) and briquetage found suggest late Iron Age date of occupation.,NA,NA,No,No,No,Yes,No,No,No,No,B,No,No,Yes,No,No,No,No
22,"Little Doward, Herefordshire","C14 dates from bone and charcoal show early Iron Age to middle Iron Age dates (varying 760-170 cal BC). Early/middle Iron Age pottery, Cheshire and Droitwich VCP. Single sherd of possible late Bronze Age/early Iron Age pottery.",NA,NA,No,No,Yes,Yes,No,No,No,No,B,No,No,Yes,No,No,Yes,No
23,"Mere Hill, Herefordshire (Mere Hill Wood)",None,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
24,"Midsummer Hill, Herefordshire (Midsummer Hill Camp)",Dating from two C14 dates taken during Stanford's excavations.,NA,Pillow mounds in interior.,No,No,No,Yes,No,No,No,No,B,No,Yes,No,No,No,Yes,No
25,"Oldbury, Much Marcle, Herefordshire",Chance finds indicate a late iron Age to Romano-British date for occupation of the fort. Fragments of 'duck stamped' pottery from ploughed-down rampart at NE corner. Coarse black pottery similar to that from Sutton Walls (Atlas No 0031). Small fragment of Romano-British globular jar from W side of fort.,Chance finds of: bronze looped palstave. Bronze Age barbed and tanged grey flint arrowhead. Broken microlith. Worked flint implements.,None,No,No,No,Yes,Yes,No,No,No,C,Yes,No,Yes,No,No,No,No
26,"Pen-Twyn Camp, Brilley, Herefordshire (Pen Twyn Camp)",None,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
27,"Penapark, Herefordshire (Pen y Park)",None,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
28,"Poston Camp, Herefordshire (Lower Park Wood Camp)","Evidence of Roman occupation. Iron Age pottery, but that in Roman level greater than earlier layers. Thus evidence of Roman occupation. Site evacuated sometime during the 2nd century AD (Marshall, 1934).",NA,NA,No,No,No,Yes,Yes,No,No,No,B,No,No,Yes,No,No,No,No
29,"Pyon Wood, Herefordshire",None,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
30,"Risbury Camp, Herefordshire",None,None,Roman pottery found.,No,No,No,No,No,No,No,Yes,D,No,Yes,No,Yes,No,No,No
31,"Sutton Walls, Herefordshire","The first occupation was early in the 1st century BC, and lasted until the 4th century AD. Evidence comes from excavation and artefacts, particularly pottery.",Possible. Kenyon suggested pre-rampart timber palisade.,Used as quarry and toxic waste dump.,No,No,No,Yes,Yes,No,No,No,B,Yes,Yes,Yes,No,No,No,No
32,"Timberline, Herefordshire (Timberline Camp)","The only dating evidence is that of some Romano-British pottery in occupation layers. However, the site could be earlier.",NA,NA,No,No,No,Yes,No,No,No,No,B,No,No,Yes,No,No,No,No
33,"Uphampton Camp, Herefordshire",None,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
34,"Wall Hills Camp, Ledbury, Herefordshire (Wall Hills, Ledbury)","Possible Iron Age to Romano-British occupation, as following chance finds recorded: fragments of dark grey/black ware, similar to that from British Camp (Atlas No 0005) and light red ware, similar to that from Sutton Walls (Atlas No 0031). Some Romano-British sherds. Some Romano-British sherds. A number of flint flakes.","Possible, although the finding of flint flakes does not necessarily indicate pre-hillfort activity.",Possible. Bronze Roman coins.,No,No,No,Yes,Yes,No,No,No,C,Yes,Yes,Yes,No,No,No,No
35,"Wall Hills, Thornbury, Herefordshire",None,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
36,"Walterstone Camp, Herefordshire (Coed-y-Grafel)",None,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
37,"Wapley Camp, Herefordshire",None.,NA,Conjecture of reuse by Owain Glyndwr. Pillow mounds in interior and outside. Ridge and furrow in interior.,No,No,No,No,No,No,No,Yes,D,No,Yes,No,Yes,No,No,No
38,"Westington Camp, Herefordshire",None,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
39,"Abdon Burf, Shropshire","Probably an Iron Age site, but this is conjecture. No dating evidence from excavations.",NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
40,"Billings Ring, Shropshire","Chance finds of small fragments of Samian ware and black ware found before 1958 suggest some Romano-British or Roman activity. Otherwise the site is probably of late Iron Age date, but this is conjecture.",NA,NA,No,No,No,Yes,Yes,No,No,No,C,No,No,Yes,No,Yes,No,No
41,"Blodwell Rock, Shropshire",None,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
42,"Knuck Wood, Shropshire (Birches Bank)",None,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
43,"Bodbury Ring, Shropshire","The site could have had late Bronze Age origins, the N bank possibly originally a late Bronze Age cross-dyke later incorporated into the hillfort in the Iron Age.",NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
44,"Bulthy Hill, Shropshire",None,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
45,"Burf Castle, Shropshire",None,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
46,"Burrow Hill Camp, Shropshire (Burrow Hill)",Excavation found 'duck-stamped' pottery of c. 100 BC. A mortarium rim was found outside the rampart could also indicate Romano-British or Roman interest.,NA,Possible. A mortarium rim was found outside the rampart could also indicate Romano-British or Roman interest.,No,No,No,Yes,Yes,No,No,No,B,No,Yes,Yes,No,No,No,No
47,"Bury Ditches, Shropshire",None,Possible. Flint axe found.,Pillow mound and possible post-medieval platform (possible warrener's lodge).,No,No,No,No,No,No,No,Yes,D,Yes,Yes,No,Yes,No,No,No
48,"Bury Walls, Shropshire","Probable late Iron Age site based on morphology, but possible evidence of Roman activity as rectangular building (Roman temple?) excavated in the 1930's.",NA,Possible evidence of Roman activity as rectangular building (Roman temple?) excavated in the 1930's.,No,No,No,Yes,Yes,No,No,No,C,No,Yes,No,No,Yes,No,Yes
49,"Caer Caradoc, Clun, Shropshire (Caer Caradoc, Chapel Lawn; Gaer Ditches)","Probably an Iron Age site, but evidence of earlier activity as Neolithic/Bronze Age worked flints and scrapers found.",Neolithic/Bronze Age worked flints and scrapers.,NA,No,No,No,No,No,No,No,Yes,D,Yes,No,Yes,No,No,No,No
50,"Caer Caradoc, Church Stretton, Shropshire",None,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
51,"Caerbre, Shropshire (Chirbury)",None,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
52,"Caer-Din Ring, Shropshire (Caer Din Ring)",None,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
53,"Calcot Camp, Shropshire",None,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
54,"Callow Hill Camp, Shropshire",None,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
55,"Castle Idris, Shropshire (Garn Bank)",None,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
56,"Castle Ring, Gorsty Bank, Shropshire (Gorsty Bank)",None,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
57,"Castle Ring, Horderley, Shropshire",None,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
58,"Castle Hill, Oak Hill, Shropshire (Oak Hill)",None,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
59,"Castle Ring, Stitt Hill, Shropshire",None,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
60,"Caus Castle, Shropshire","The medieval remains are dated to the 11th and 12th centuries. The hillfort is assumed to be of Iron Age date, but its exact date is unknown.",NA,"Within the enclosure the motte (15m high) and bailey castle is defended by double banks and date from about the 11th or 12th centuries, the borough having streets, two gates and two chapels of the same date.",No,No,No,No,No,No,No,Yes,D,No,Yes,No,Yes,No,No,No
61,"Caynham Camp, Shropshire",Excavation by P. Gelling 1957-61 found original timber-laced rampart dated to c. 390 BC of the Phase I hillfort replaced by a smaller stone revetted bank and then in Phase III by the massive earth and stone bank of today. Charcoal from ditch associated with timber-laced rampart. C14 from Gelling excavation.,NA,It is possible that Cromwell used the hill in his attack on Ludlow Castle.,No,No,No,Yes,No,No,No,No,B,No,Yes,No,No,Yes,Yes,No
62,"Chesterton Walls, Shropshire",Roman coins found. Site possibly Iron Age by morphology.,NA,Possibly Roman re-use,No,No,No,No,No,No,No,Yes,D,No,Yes,Yes,No,No,No,No
63,"Clee Burf, Shropshire",None,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
64,"Coed y Gaer, Oswestry, Shropshire",None,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
65,"Colstey Bank, Shropshire",None,NA,NA,No,No,No,No,No,No,Yes,Yes,D,No,No,No,Yes,No,No,No
66,"Earl's Hill, Shropshire (Earl's Hill Camp)",Probably of Iron Age date with evidence of WWII activity.,None,Evidence of WWII emplacement.,No,No,No,No,No,No,No,Yes,D,No,Yes,No,No,No,No,Yes
67,"Ebury Hill, Shropshire (Ebury)","VCP (briquetage) found in Stanford's excavations suggests date of between the late Bronze Age to the Iron Age for occupation, with no evidence of Roman activity.",NA,NA,No,No,Yes,Yes,No,No,No,No,C,No,No,Yes,No,Yes,No,No
68,"Fron Camp, Shropshire (The Vron)",None,NA,Possible later signal station.,No,No,No,No,No,No,No,Yes,D,No,Yes,No,Yes,No,No,No
69,"Haughmond Hill Camp, Shropshire (Haughmond Castle; Castle Earthwork)",None,NA,"18th century folly of Haughmond Castle in interior as are remnants of a WWII spigot mortar emplacement, possibly used by the Home Guard. Toposcope.",No,No,No,No,No,No,No,Yes,D,No,Yes,No,Yes,No,No,No
70,"Knowle, Shropshire",None,NA,Possible. To the E nothing is visible and it has been suggested that this could either indicate that the site was unfinished or that the E ramparts were removed by post-medieval common edge settlement present on the site.,No,No,No,No,No,No,No,Yes,D,No,Yes,No,Yes,No,No,No
71,"Llanymynech Hill, Powys",Charcoal from pit gave C14 dates of 2020 BP (162 BC-AD 53) and 2170 BP (363 BC-119 BC). Copper alloy from layers showed hillfort in existence before late 2nd century BC. Evidence that ores mined and used for manufacture of bronze weapons and implements from later Bronze Age onwards and cave known as the 'Ogof' inside the hillfort probably a Roman mine. Hoard of 33 coins dating between 30 BC and AD 161 from the Ogof.,Evidence to suggest that ores mined and used for manufacture of bronze weapons and implements from later Bronze Age onwards.,Cave known as the Ogof inside the hillfort probably Roman mine. Hoard of 33 coins dating between 30 BC and AD 161 from the Ogof.,No,No,No,Yes,Yes,No,No,No,B,Yes,Yes,No,No,No,No,Yes
73,"Nordy Bank, Shropshire",None,NA,Small ditched enclosure to its SW is a WWII Home Guard site.,No,No,No,No,No,No,No,Yes,D,No,Yes,No,Yes,No,No,No
74,"Norton Camp, Shropshire",None,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
75,"Old Oswestry, Shropshire","Probable late Bronze Age origins, with occupation to the late Iron Age based on excavation finds and morphology of earthworks.",NA,Site used by Canadian troops from Nearby Park Hall Camp to build trenches and fire shell in the interior during WWI. There have been indications of activity in the immediate area surrounding the hillfort.,No,No,Yes,Yes,No,No,No,No,C,No,Yes,Yes,No,Yes,No,No
76,"Nesscliffe Hill Camp, Shropshire (Oliver's Point)","Roman pottery and coins found of c. 2nd-4th century AD. However, worked flint could indicate earlier occupation or activity.",Worked flint found.,Possible. Roman pottery and coins found of c. 2nd-4th century AD.,No,No,No,No,Yes,No,No,No,B,Yes,No,Yes,No,No,No,No
77,"Pave Lane, Shropshire",Probable Iron Age date.,NA,NA,No,No,Yes,Yes,No,No,No,No,B,No,No,No,No,No,No,Yes
78,"Pontesford Hill Camp, Shropshire (Pontesbury)",Possible Neolithic occupation of the col as flints found. Rampart possibly late Iron Age.,Neolithic occupation found in form of flints and possible hut floors.,In post-medieval period hillfort and surrounds subdivided by a network of woodland banks. A low bank cuts across the S part of the outer defences and may originally have been connected with a prominent boundary bank which cuts across the hillfort.,No,No,No,Yes,No,No,No,No,C,Yes,Yes,Yes,No,Yes,No,No
79,"Radnor Wood, Shropshire",None,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
80,"Ratlinghope Hill Camp, Shropshire (Ratlinghope Hill; Stitt Hill)",None,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
81,"Robury Ring, Shropshire","Probably Iron Age, but earlier pottery sherds and a Bronze Age cremation urn with flint flakes indicating a possible early origin to the site or early activity.",Of significance were earlier pottery sherds and a Bronze Age cremation urn with flint flakes indicating a possible early origin to the site or early activity.,NA,No,No,Yes,Yes,No,No,No,No,B,Yes,No,Yes,No,No,No,No
82,"Roveries House, Shropshire (The Roveries (Lower))",None,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
83,"Roveries Hill Camp, Shropshire (The Roveries (Upper))",It is possible that the site had Neolithic origins.,Possible. Evidence of Mesolithic macehead  and Neolithic hearth and Windmill Hill ware. The excavations of 1960-63 found evidence of an earlier phase and unfinished causewayed ditch partly under the rampart.,NA,No,No,No,No,No,No,No,Yes,D,Yes,No,Yes,No,No,No,No
84,"The Berth, Shropshire","Middle to late Iron Age to Roman pottery found. Bronze, sub-Roman to Roman cauldron found in 1906 with evidence of Roman timber building of c. 4th century AD.",NA,Possible activity only.,No,No,No,Yes,Yes,Yes,No,No,B,No,Yes,Yes,No,No,No,No
85,"The Burgs, Shropshire (The Buries; Bayston Hill)",No dating.,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
86,"The Ditches, Mogg Forest, Shropshire (Larden Ditches; Mogg Ditches; The Rings; Wynbury Castle; Larden Castle)",None,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
87,"Upper Knuck Camp, Shropshire (The Knuck)",None,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
88,"The Lawley (North End), Shropshire (The Lawley (Lower))",None,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
89,"The Lawley (Summit), Shropshire (The Lawley (Upper))",Use of cross-dykes suggest a mid to late Bronze Age origin of the site.,NA,NA,No,No,No,No,No,No,No,Yes,D,Yes,No,No,No,Yes,No,No
90,"The Wrekin, Shropshire","7th century BC to c. AD 49.  Late Bronze Age pottery of 9th-8th centuries  BC suggest an early origin to the fort, in keeping with other major Marches sites such as Y Breiddin. C14 dating of charcoal from a post-built structure found dates of 7th-5th and 5th-4th centuries BC, whilst two javelin heads were found of mid 1st century AD date.",Bronze Age cairn located at the summit of the hill within the enclosure.,Yes. WWII searchlight battery formerly near south-west inner entrance and aircraft warning beacon.,No,Yes,Yes,Yes,Yes,No,No,No,A,Yes,Yes,Yes,No,No,Yes,No
91,"Titterstone Clee, Shropshire","Late Bronze Age activity on the site in the presence of two ring cairns, a type of monument unusual for Shropshire and early phase of hillfort with timber revetted rampart.  Probable Iron Age date to site Phase I and Phase II construction with post-Conquest Roman period dismantling of the gate.","Late Bronze Age activity on the site in the presence of two ring cairns, a type of monument unusual for Shropshire.",Possible WWI unrecorded activity and 20th C radar installations.,No,No,Yes,Yes,Yes,No,No,No,B,Yes,Yes,No,No,Yes,No,No
92,"Wall Camp, Kynnersley, Shropshire (The Wall; Kinnersley Wall)","C14 and Iron Age and VCP pottery dating indicated occupation from the 3rd century BC to the 1st century AD, just before the Roman Conquest; dating of 377 cal BC - 52 cal AD.  Limited excavation of interior 1983 by D. Bond and E.L. Morris close to Wall Farm, which stands in the centre of fort, found circular and rectangular post-built structures with Iron Age pottery and VCP from brine springs of Cheshire.",NA,NA,No,No,No,Yes,No,No,No,No,B,No,No,Yes,No,No,Yes,No
93,"Walton Camp, Shropshire",None,NA,NA,No,No,No,No,No,No,No,No,D,No,No,No,Yes,No,No,No
94,"Wart Hill, Shropshire",None,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
95,"Grimsbury Castle, West Berkshire (Grimsbury Camp)","Three very small pottery sherds identified by Sheppard Frere as deriving from the latter part of the early Iron Age.  Flint blade identified by Wymer as possibly Mesolithic (Wood 1959). Although possibly residual, the site lies less than 4km from several Mesolithic sites of national importance at Thatcham. Pillow mounds; quarrying; 18th century folly known as Grimsbury CastleTower.  WWII slit trenches",NA,NA,No,No,Yes,Yes,No,No,No,No,B,No,Yes,Yes,No,Yes,No,No
96,"Bussock Camp, West Berkshire (Bussock Wood Camp)","Unexcavated, presumed Iron Age",NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
97,"Walbury Camp, West Berkshire",Undated. The site has been classified by Cunliffe (2002: 380) as an early hilltop enclosure owing to the size of enclosed area and slightness of the defences.,"Neolithic flint implements (scraper, cores, flakes, arrowheads and a spearhead) discovered on ground surface in 1871 (Stevens 1888). A Late Bronze Age globular urn has also been found.",Triangulation pillar; concrete posts possibly for communications or air defence. Two sceattas were found in 1972 and 1974  (Metcalf 1974),No,Yes,Yes,Yes,No,No,No,No,C,Yes,Yes,No,No,Yes,No,No
98,"Ramsbury, West Berkshire (Ramsbury Corner)","Undated, presumed Iron Age.  A medieval drain, formed from a horseshoe-shaped pipe resting on flat tiles, ran across the bottom, post-dating the construction of the enclosure ditch.",NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
99,"Membury Camp, Wiltshire (Membury Fort)",Chance finds of possible Iron Age pottery.,Neolithic axe and Neolithic or later adze or chisel suggest some earlier activity on site.,WWII airfield.,No,No,No,Yes,No,No,No,No,C,Yes,Yes,Yes,No,No,No,No
100,"Eston Nab, North Yorkshire","Excavation suggests two successive late Bronze Age palisaded enclosures, probably with associated settlement preceded the construction of the hillfort proper.  In the early 5th century a ditch and rampart comprising a boulder wall and banked earth was constructed on a larger circuit than the palisade enclosure.",Evidence for limited Mesolithic and Neolithic activity on the hilltop although possibly not continuous or permanent. An early Bronze Age bowl barrow lies near the scarp edge,The modern Eston Beacon monument occupies the position of a beacon tower constructed in 1808 during the Napoleonic wars;  An enclosure of unknown date lies against the southern sector of the defences and post-dates the rampart wall but could potentially be contemporary with the use of the hillfort.  A trig point lies within the enclosure,No,Yes,Yes,Yes,No,No,No,No,B,Yes,Yes,Yes,No,No,No,No
101,"Perborough Castle, West Berkshire (Compton Castle)","Surface finds of pottery suggests an early Iron Age 6th-5th century date, falling out of use by the middle Iron Age.","Evidence uncertain.  Coaxial field systems appear to run under the ramparts, although this is unconfirmed.","Roman coins, oyster shells found within the interior; probable marl pits",No,No,Yes,Yes,No,No,No,No,C,Yes,Yes,Yes,No,No,No,No
102,"Caesar's Camp, Bracknell Forest","Artefacts recovered suggest late Neolithic/early Bronze Age, middle to late Iron Age and post-medieval activity.",Late Neolithic-early Bronze Age,"Redoubt, probably constructed in 1792; 19th century gamekeepers cottage; former gravel pits; 1950's conifer plantation",No,No,Yes,Yes,No,No,No,No,C,Yes,Yes,Yes,No,No,No,No
103,"Allen Knott, Cumbria","Undated, presumed Iron Age",NA,Quarrying,No,No,No,No,No,No,No,Yes,D,No,Yes,No,Yes,No,No,No
104,"Barrock Fell, Cumbria (Barrock Tell)","Undated, presumed Iron Age",NA,Surface finds of Roman pottery,No,No,No,No,No,No,No,Yes,D,No,Yes,Yes,No,No,No,No
105,"Humbledon Hill, Tyne and Wear (Homeldon; Hamdon; Hamylden; Hamildon; Humbledon Bank)","Discoveries of a barrow, several cinerary urns with associated cremation burials, and at least two inhumations with grave goods were made in 1873 during the construction of the reservoir.  Investigations in 2006-7 produced prehistoric pottery from the ditches and a possible Iron Age loom weight fragment",Round barrow,Remains of ridge and furrow cultivation detected during geophysical survey,No,No,Yes,Yes,No,No,No,No,B,Yes,Yes,Yes,No,No,No,No
106,"Carrock Fell, Cumbria","The lack of settlement evidence, the proximity of the site to an important source of Neolithic stone axes, and its form, offers parallels with Neolithic causewayed enclosures and it could be earlier than Iron Age. Within the interior on the eastern knoll, an undated round cairn with a cist at its centre is presumed Bronze Age. Immediately E of the western knoll at the hillfort's highest point is the remains of a round cairn 11m in diameter. A medieval shieling impinges on the SE side of the hillfort.  There are also traces of quarrying.",NA,Medieval shieling,No,No,No,No,No,No,No,Yes,D,Yes,Yes,No,Yes,No,No,No
107,"Castle Crag, Bampton, Cumbria","Undated, presumed Iron Age.",NA,Perriam & Robinson (1998) suggest it is a possible medieval ringwork,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
108,"Castle Crag, Borrowdale, Cumbria","Finds include a lead pan with an iron bow, two masses of smelted iron, Roman pottery including plain samian, and  red sandstone.",NA,NA,No,No,No,No,No,No,No,Yes,C,No,Yes,Yes,No,No,No,No
109,"Castle How, Peel Wyke, Cumbria","Amongst the stones used for the revetment, Collingwood (1924) found pot boilers and pieces of red sandstone, one of which had parallel chisel tooling which he interpreted as being of Roman origin and another which he considered to be part of a Roman roofing tile.",NA,Possibly Roman or later,No,No,No,No,No,No,No,Yes,C,No,Yes,Yes,No,No,No,No
110,"Castle Howe, Little Langdale, Cumbria","Undated, presumed Iron Age",NA,Triangulation point,No,No,No,No,No,No,No,Yes,D,No,Yes,No,Yes,No,No,No
