Main_Atlas_Number,Main_Display_Name,Annex_Summary,Annex
32,"Timberline, Herefordshire (Timberline Camp)",NA,No
33,"Uphampton Camp, Herefordshire",NA,No
34,"Wall Hills Camp, Ledbury, Herefordshire (Wall Hills, Ledbury)",NA,No
35,"Wall Hills, Thornbury, Herefordshire",NA,No
36,"Walterstone Camp, Herefordshire (Coed-y-Grafel)",NA,No
37,"Wapley Camp, Herefordshire",NA,No
38,"Westington Camp, Herefordshire",NA,No
39,"Abdon Burf, Shropshire",NA,No
40,"Billings Ring, Shropshire",NA,No
41,"Blodwell Rock, Shropshire",NA,No
42,"Knuck Wood, Shropshire (Birches Bank)",NA,No
43,"Bodbury Ring, Shropshire",NA,No
44,"Bulthy Hill, Shropshire",NA,No
45,"Burf Castle, Shropshire",NA,No
46,"Burrow Hill Camp, Shropshire (Burrow Hill)",NA,No
47,"Bury Ditches, Shropshire",NA,No
48,"Bury Walls, Shropshire",NA,No
49,"Caer Caradoc, Clun, Shropshire (Caer Caradoc, Chapel Lawn; Gaer Ditches)",NA,No
50,"Caer Caradoc, Church Stretton, Shropshire",NA,No
51,"Caerbre, Shropshire (Chirbury)",NA,No
52,"Caer-Din Ring, Shropshire (Caer Din Ring)",NA,No
53,"Calcot Camp, Shropshire",NA,No
54,"Callow Hill Camp, Shropshire",NA,No
55,"Castle Idris, Shropshire (Garn Bank)",NA,No
56,"Castle Ring, Gorsty Bank, Shropshire (Gorsty Bank)",NA,No
57,"Castle Ring, Horderley, Shropshire",NA,No
58,"Castle Hill, Oak Hill, Shropshire (Oak Hill)",NA,No
59,"Castle Ring, Stitt Hill, Shropshire",NA,No
60,"Caus Castle, Shropshire",NA,No
61,"Caynham Camp, Shropshire","There are two, possibly phased, annexes located next to each other at the W end of the hillfort. A bank at the W end of the interior crosses the fort from N to S. Probably originally the W extremity of the fort, an extension of the S rampart to the W and N was constructed to form an annexe. Although entrance gaps to this enclosure exist from the main E part of the site, there appearing to be no obvious entrance into it from the perimeter suggests that the whole hillfort was used as a complete entity. However, this enclosure was later extended itself to the W to form another annexe, with a bank averaging now 2.1m high. There was a possible original entrance to this from outside the perimeter near the NW corner.",Yes
62,"Chesterton Walls, Shropshire","A tongue of land at the streams junction to the SE, and separated from the main enclosure by a bank c. 4 m+ high, forms an annexe.",Yes
63,"Clee Burf, Shropshire",NA,No
64,"Coed y Gaer, Oswestry, Shropshire",NA,No
65,"Colstey Bank, Shropshire",NA,No
66,"Earl's Hill, Shropshire (Earl's Hill Camp)","Simple gap in the rampart on S, over a causeway/ ditch, reaches a 1.7 ha elongated annexe or addition to site, defended on S and W by a bank up to 6m high, with intermittent counterscarp and ditch to S. However, it is possible that this may not be an annexe at all, but involve the requirements of the topography when constructing the whole site.",Yes
67,"Ebury Hill, Shropshire (Ebury)",NA,No
68,"Fron Camp, Shropshire (The Vron)",NA,No
69,"Haughmond Hill Camp, Shropshire (Haughmond Castle; Castle Earthwork)",NA,No
70,"Knowle, Shropshire",NA,No
71,"Llanymynech Hill, Powys",NA,No
73,"Nordy Bank, Shropshire",NA,No
74,"Norton Camp, Shropshire",NA,No
75,"Old Oswestry, Shropshire",NA,No
76,"Nesscliffe Hill Camp, Shropshire (Oliver's Point)","The E part of the site has been called an annexe in the past, but a phased construction is more likely.",No
77,"Pave Lane, Shropshire",NA,No
78,"Pontesford Hill Camp, Shropshire (Pontesbury)",NA,No
79,"Radnor Wood, Shropshire",NA,No
80,"Ratlinghope Hill Camp, Shropshire (Ratlinghope Hill; Stitt Hill)",NA,No
81,"Robury Ring, Shropshire",NA,No
82,"Roveries House, Shropshire (The Roveries (Lower))",NA,No
83,"Roveries Hill Camp, Shropshire (The Roveries (Upper))",NA,No
84,"The Berth, Shropshire",NA,No
85,"The Burgs, Shropshire (The Buries; Bayston Hill)",NA,No
86,"The Ditches, Mogg Forest, Shropshire (Larden Ditches; Mogg Ditches; The Rings; Wynbury Castle; Larden Castle)",NA,No
87,"Upper Knuck Camp, Shropshire (The Knuck)",NA,No
88,"The Lawley (North End), Shropshire (The Lawley (Lower))",NA,No
89,"The Lawley (Summit), Shropshire (The Lawley (Upper))",NA,No
90,"The Wrekin, Shropshire",NA,No
91,"Titterstone Clee, Shropshire",NA,No
92,"Wall Camp, Kynnersley, Shropshire (The Wall; Kinnersley Wall)",NA,No
93,"Walton Camp, Shropshire",NA,No
94,"Wart Hill, Shropshire",NA,No
95,"Grimsbury Castle, West Berkshire (Grimsbury Camp)",NA,No
96,"Bussock Camp, West Berkshire (Bussock Wood Camp)",NA,No
97,"Walbury Camp, West Berkshire",NA,No
98,"Ramsbury, West Berkshire (Ramsbury Corner)",NA,No
99,"Membury Camp, Wiltshire (Membury Fort)",NA,No
100,"Eston Nab, North Yorkshire",NA,No
101,"Perborough Castle, West Berkshire (Compton Castle)",NA,No
102,"Caesar's Camp, Bracknell Forest",NA,No
103,"Allen Knott, Cumbria",NA,No
104,"Barrock Fell, Cumbria (Barrock Tell)",NA,No
105,"Humbledon Hill, Tyne and Wear (Homeldon; Hamdon; Hamylden; Hamildon; Humbledon Bank)",NA,No
106,"Carrock Fell, Cumbria",NA,No
107,"Castle Crag, Bampton, Cumbria",NA,No
108,"Castle Crag, Borrowdale, Cumbria",NA,No
109,"Castle How, Peel Wyke, Cumbria",NA,No
110,"Castle Howe, Little Langdale, Cumbria",NA,No
111,"Castlesteads, The Helm, Cumbria (Castle Steeds)",NA,No
112,"Castlesteads, Lowther Park, Cumbria",NA,No
113,"Shoulthwaite Gill, Cumbria (Castle Crag, Shoulthwaite)",NA,No
114,"Castle Head, Cumbria (Atterpile Castle)",NA,No
115,"Maiden Castle, County Durham",NA,No
116,"Skelmore Heads, Cumbria (Great Urswick Fort)",NA,No
117,"Swarthy Hill, Cumbria",NA,No
118,"Shackleton Beacon Hill, County Durham","The small, semi-circular extension on the NE side is possibly an annex.",Yes
119,"Tilberthwaite, Cumbria",NA,No
120,"Dunmallard, Cumbria (Dunmallet, Dunmalloght,  Dunmallock)",NA,No
121,"Scarside Plantation, Cumbria",NA,No
122,"Kemp's Walk, Meikle Larbrax, Dumfries & Galloway (Kemp's Wark)",NA,No
123,"Dunskey Golf Course, Dumfries & Galloway (Portpatrick Post Office Radio Station; Fort Cottage)",NA,No
124,"Dounan Nose, Dally, Dumfries & Galloway",NA,No
125,"Croglam Castle, Cumbria",NA,No
127,"High Auchneel, Dumfries & Galloway",NA,No
128,"Portobello, Dumfries & Galloway (Mains of Cairnbrock)",NA,No
129,"Mare Rock, Dumfries & Galloway (High Auchneel)",NA,No
130,"Juniper Face, Dumfries & Galloway (High Auchneel)",NA,No
131,"Mare Rock, Dumfries & Galloway (High Auchneel)",NA,No
132,"Fort Point, Larbrax Moor, Dumfries & Galloway (Salt Pans Bay, Galdenoch)",NA,No
133,"Dunskirloch, Dumfries & Galloway",NA,No
134,"Cassington Ring, Oxfordshire (Cassington Mill Big Ring)",NA,No
135,"Tadmarton Camp, Oxfordshire (Tadmarton Heath Camp)",NA,No
136,"Madmarston Hill Camp, Oxfordshire (Madmarston Camp)",NA,No
137,"Alfred's Castle, Oxfordshire","The annex is attached to the N, single bank and ditch (now completely ploughed away but visible on aerial photographs), no obvious entrances but the NW entrance of the small enclosure joins the two. Limited excavation revealed very few features internally, perhaps for livestock?",Yes
138,"Castle Grove Camp, Oxfordshire (Wyfold Castle)",NA,No
139,"Bozedown Camp, Oxfordshire (Binditch)",NA,No
140,"Blewburton Hill, Oxfordshire",NA,No
141,"Little Coxwell Camp, Oxfordshire (Lower Coxwell Camp; Onetree Hill)",NA,No
142,"Sinodun Hill Camp, Oxfordshire (Castle Hill)",NA,No
143,"Cherbury Camp, Oxfordshire",NA,No
144,"Badbury Camp, Oxfordshire","Shown by geophysics, ditch running N form NE corner.",Yes
145,"Burroway, Oxfordshire","Small rectangular annex into which the NE entrance leads from the main enclosure, measures approx. 70m by 40m, simple gap entrance on the E to the outside.",Yes
146,"Uffington Castle, Oxfordshire (Woolstone Castle)",NA,No
148,"Chastleton Camp, Oxfordshire (Chastleton Barrow)",NA,No
149,"Bladon Camp, Oxfordshire (Round Castle)",NA,No
151,"Ilbury Camp, Oxfordshire",NA,No
152,"The Roundabout, Oxfordshire (Lyneham Camp; Merriscourt)",NA,No
153,"Knollbury Camp, Oxfordshire (Knoll Bury Roman Camp; Knollberry, Banks)",NA,No
154,"Hardwell Camp, Oxfordshire",NA,No
155,"Segsbury Camp, Oxfordshire (Letcombe Castle)",NA,No
156,"Little Tew, Oxfordshire",NA,No
157,"Hill Farm, Bruern, Oxfordshire",NA,No
158,"Eynsham Park Camp, Oxfordshire","An annex of c.4.0ha adjoins the southern side of the main enclosure, univallate with the bank reaching c.1m high on the E with traces of a ditch outside it (possibly identified in the SW excavation trench as a 'square cut ditch'). A gap, probably not original where it joins the W side of the main enclosure and a larger break at the S, gap (now a pond) where it joins at the E. The earthwork is much smaller than the main enclosure, indicating a possible stock enclosure.",Yes
159,"Harborough Bank, Oxfordshire (Herborowe Bank)",NA,No
161,"Wigginton Heath, Oxfordshire",NA,No
162,"Castle Bank, Oxfordshire",NA,No
164,"Horspath, Oxfordshire",NA,No
165,"Silsbury Hill, Oxfordshire",NA,No
166,"Cholsey Hill, Oxfordshire",NA,No
167,"Rams Hill, Oxfordshire",NA,No
168,"Bury Hill, Oxfordshire",NA,No
169,"Tilbury Farm, Oxfordshire",NA,No
170,"Hill Wood, Oxfordshire",NA,No
171,"Idbury Camp, Oxfordshire",NA,No
172,"Dyke Hills, Oxfordshire (Dike Hills)",NA,No
173,"Abingdon, The Vineyard, Oxfordshire",NA,No
174,"Cookham Dean, Berkshire",NA,No
175,"Muldaddie, Dumfries & Galloway",NA,No
176,"Crammag Head, Dumfries & Galloway (Crammag Fort, Crammock, Crummag Head, Crammog (Fort, Slock Mill))",NA,No
177,"Dunman, Dumfries & Galloway",NA,No
178,"Kenmuir Graves, Island Buoy, Dumfries & Galloway (Float Bay)",NA,No
179,"Dove Cave Head, Dumfries & Galloway (Little Float)",NA,No
180,"Grennan, Grennan Point, Dumfries & Galloway",NA,No
181,"Duniehinnie, Mull of Logan, Dumfries & Galloway (Duniehinnie; Mullhill)",NA,No
182,"Clanghie Bay, Dumfries & Galloway (Clanghie Point)",NA,No
183,"Clanghie Point, Dumfries & Galloway (Mullhill)",NA,No
184,"Kildrochet House, Dumfries & Galloway (Camp's Graves; Kildrochat House)",NA,No
185,"Dunbae Glen, Dumfries & Galloway",NA,No
186,"Cairn Pat, Dumfries & Galloway (Cairn Piot)",NA,No
187,"Kirklauchline, Dumfries & Galloway",NA,No
188,"The Dounan, Dumfries & Galloway",NA,No
189,"Tor of Craigoch, Dumfries & Galloway",NA,No
190,"Kemp's Graves, Glenhead of Aldouran, Dumfries & Galloway",NA,No
191,"Mid Dinduff, Dumfries & Galloway",NA,No
192,"Craigview, South Ayrshire",NA,No
193,"Caspin, Dumfries & Galloway (West Balscalloch)",NA,No
194,"Corseclays, South Ayrshire",NA,No
195,"Core Hill, Kirkmaiden, Dumfries & Galloway",NA,No
196,"Clanyard Bay, Dumfries & Galloway",NA,No
197,"The Dunnan, Portankill, Dumfries & Galloway (Mull of Galloway Farm; The Dounnan)",NA,No
198,"Carrickcamrie, West Cairngaan, Dumfries & Galloway",NA,No
199,"Dunorroch, West Cairngaan, Dumfries & Galloway",NA,No
200,"Mull Glen, West Tarbet, Dumfries & Galloway",NA,No
201,"Mull of Galloway, Dumfries & Galloway",NA,No
202,"Cardryne, Dumfries & Galloway",NA,No
203,"Mote Hill, Glenluce, Dumfries & Galloway (Glenluce)",NA,No
204,"Round Dounan, Dumfries & Galloway (Dunragit House)",NA,No
205,"East Galdenoch, Dumfries & Galloway",NA,No
206,"Barsolus, Dumfries & Galloway",NA,No
207,"Cruise Back Fell, Dumfries & Galloway","In spite of the views of earlier commentators, see 'Enclosing works'.",No
208,"Bargain Hill, South Ayrshire",NA,No
209,"Duniewick, South Ayrshire",NA,No
210,"Doon of May, Dumfries & Galloway",NA,No
211,"Garliachen, Laigh Sinniness, Dumfries & Galloway",NA,No
212,"Bennan of Garvilland, Dumfries & Galloway",NA,No
213,"Maxwellston Hill, South Ayrshire",NA,No
214,"Enoch, South Ayrshire",NA,No
215,"Back Bay, Dumfries & Galloway",NA,No
216,"Laggan Camp, Dumfries & Galloway",NA,No
217,"Killantrae Bridge, Dumfries & Galloway (Killentrae Bridge)",NA,No
218,"Fell of Barhullion, Dumfries & Galloway",NA,No
219,"Barsalloch Point, Dumfries & Galloway (Barsalloch Fort)",NA,No
220,"Doon Hill, Boreland, Dumfries & Galloway",NA,No
221,"Doon Hill, Capenoch Croft, Dumfries & Galloway (Doon Fort)",NA,No
222,"Barnkirk Hill, Dumfries & Galloway",NA,No
223,"Drummoral, Dumfries & Galloway",NA,No
224,"Cairnhead Mote, Dumfries & Galloway",NA,No
225,"Steinhead Mote, Dumfries & Galloway",NA,No
226,"Isle Head, Dumfries & Galloway (Isle of Whithorn)","The outlying rampart exploiting the outcrops on the seaward side of the isthmus can be seen as a subsidiary annex to the inner fort, forming an outer ward of about 0.6ha below a citadel, but alternatively it can be viewed as a freestanding promontory fort in its own right, enclosing an overall area of some 1.6ha.",Yes
227,"Court Hill, High Skeog, Dumfries & Galloway",NA,No
228,"Glasserton Hill, Dumfries & Galloway",NA,No
229,"Carghidown Castle, Dumfries & Galloway",NA,No
230,"Burrow Head, Dumfries & Galloway",NA,No
231,"Burrow Head, Dumfries & Galloway",NA,No
232,"Castle Feather, Dumfries & Galloway (Burrow Head)",NA,No
233,"Eggerness Castle, Dumfries & Galloway",NA,No
234,"Dinnans, Dumfries & Galloway",NA,No
235,"Dinnans, Dumfries & Galloway ('Old Fort')",NA,No
236,"Doon of Carsluith, Dumfries & Galloway",NA,No
237,"North Balfern, Dumfries & Galloway (Ring Hill)",NA,No
238,"Baldoon Hill, Dumfries & Galloway",NA,No
239,"Parliament Knowe, Dumfries & Galloway",NA,No
240,"Barn Heugh, Dumfries & Galloway",NA,No
241,"Trusty's Hill, Anwoth, Dumfries & Galloway",NA,No
242,"Boreland Wood, Dumfries & Galloway (Boreland of Girthon)",NA,No
243,"Court Knowe, High Auchenlarie, Dumfries & Galloway",NA,No
244,"Drummore Castle, Dumfries & Galloway (Castle Hill)",NA,No
245,"Doon Wood, Dumfries & Galloway",NA,No
246,"Muncraig Heugh, Dumfries & Galloway (Doo Cave)",NA,No
247,"Borness Batteries, Dumfries & Galloway",NA,No
248,"Manxman's Rock, Dumfries & Galloway (Fort)",NA,No
249,"Doon Hill, Dumfries & Galloway",NA,No
250,"Arden, Dumfries & Galloway (Campbelltown Mote)",NA,No
251,"The Doon, Twynholm, Dumfries & Galloway",NA,No
252,"Castle Hill, Dumfries & Galloway",NA,No
253,"Carse Mote, Dumfries & Galloway",NA,No
254,"Castle Hill, Dumfries & Galloway (Cumstounend, Compstonend)",NA,No
255,"Kirkchrist Mote, Dumfries & Galloway",NA,No
256,"Kirkland Fort, Dumfries & Galloway",NA,No
257,"Hell's Hole, Dumfries & Galloway",NA,No
258,"Conchieton Doon, Dumfries & Galloway (Conchieton, The Doon; Doon Hill)","While the outer enclosure might be construed as an annexe, it is perhaps more likely that it is a separate construction and a fortified enclosure of 1.37ha in its own right.",Yes
259,"Auchenhay, Dumfries & Galloway",NA,No
260,"Craig Hill, Dumfries & Galloway (Lochangower)",NA,No
261,"Edgarton Mote, Dumfries & Galloway","The outwork on the S seems to form a small subsidiary annexe to the summit enclosure, though there is no evidence of any access between them.",Yes
262,"Giant's Dike, Dumfries & Galloway (Barstobrick Hill)",NA,No
263,"Stroanfreggan Craig, Dumfries & Galloway",NA,No
264,"Carminnows, Dumfries & Galloway (Deugh Bridge; Carminnow; Water of Deugh)",NA,No
265,"East Kirkcarswell, Dumfries & Galloway",NA,No
266,"Barend Mote, Dumfries & Galloway",NA,No
267,"Castleyards, Dumfries & Galloway",NA,No
268,"Nether Hazelfield, Dumfries & Galloway",NA,No
269,"Castle Muir, Dumfries & Galloway (Rueberry Castle)",NA,No
270,"Spouty Dennans, Dumfries & Galloway",NA,No
271,"Spouty Dennans, Dumfries & Galloway",NA,No
272,"Castlecreavie, Dumfries & Galloway",NA,No
273,"High Fort, North Milton, Dumfries & Galloway (High Fort of North Milton)",NA,No
274,"Doon Hill, Balig, Dumfries & Galloway",NA,No
275,"Glennap Fort, Dumfries & Galloway",NA,No
276,"Craigraploch, Dumfries & Galloway (Wall Hill)",NA,No
277,"Castle Hill, Dumfries & Galloway (Castlegower)",NA,No
278,"Ingleston, Dumfries & Galloway",NA,No
279,"Dunguile Hill, Dumfries & Galloway",The outermost enclosure is possibly the remains of a free-standing fort of some 8ha.,Yes
280,"Kerbers, Dumfries & Galloway",NA,No
281,"Netherthird, Dumfries & Galloway",NA,No
282,"Kennan's Isle, Tongland Loch, Dumfries & Galloway (River Dee; Tongland Reservoir)",NA,No
283,"Corra Hill, Dumfries & Galloway",NA,No
284,"March Cleugh, Dumfries & Galloway",NA,No
285,"Wraith Plantation, Dumfries & Galloway (Collin Mill Bridge)",NA,No
286,"Suie Hill, Dumfries & Galloway","The outer wall of this fort takes in a terrace below the summit on the W side of the fort to enclose an additional 0.11ha. It has an independent entrance, probably through a gap in the outcrops at its S end. The interior is featureless.",Yes
287,"Dungarry, Dumfries & Galloway",An annex extends down to a cliff-edge on the NE to enclose an area of about 0.13ha. No entrances into the annex have been noted and its interior is featureless. The OS suggest that the supposed hornwork around the entrance to the fort may be part of a second annex on this side,Yes
288,"Meikle Sypland, Dumfries & Galloway (Sypland Mote)",NA,No
289,"Mote Hill, Dumfries & Galloway (Clarebrand Mote, The Round)",NA,No
290,"Crofts Mote, Dumfries & Galloway",NA,No
291,"Auld Kirk of Lochroan, Dumfries & Galloway",NA,No
292,"Dunmuir Hill, Dumfries & Galloway (Dunmore)",NA,No
293,"Torrs Hill, Dumfries & Galloway (Doonend Hill)",NA,No
294,"Camphill, Dumfries & Galloway (Meikle Knox)",NA,No
295,"Meikle Wood Hill, Dumfries & Galloway (Kelton Mains)",NA,No
296,"Moat Hill, Margley, Dumfries & Galloway",NA,No
297,"Crofts, Dumfries & Galloway",NA,No
298,"Glengappock Mote, Dumfries & Galloway (Glenroan Mote; Goenroan Mote)",NA,No
299,"Minnydow Mote, Dumfries & Galloway",NA,No
300,"Mochrum Fell, Dumfries & Galloway (Nick of Mochrum)",NA,No
301,"Glenlair Burn, Dumfries & Galloway",NA,No
302,"White Isle, Dumfries & Galloway",NA,No
303,"Loch Knowe, Dumfries & Galloway",NA,No
304,"Castle Hill, Dumfries & Galloway (Dalwhat)",NA,No
305,"Big Airds Hill, Dumfries & Galloway (Airds)",NA,No
306,"Airds, Dumfries & Galloway",NA,No
307,"Little Airds Hill, Dumfries & Galloway",NA,No
308,"Court Hill, Dumfries & Galloway (Ramshaw Wood)",NA,No
309,"Moyle Hill, Dumfries & Galloway (Barnbarroch; The Moyle)",NA,No
310,"Castlehill Point, West Barcloy, Dumfries & Galloway (Castle Point)",NA,No
311,"Port o' Warren, Dumfries & Galloway",NA,No
312,"Mote of Mark, Dumfries & Galloway (Rockcliffe)",NA,No
313,"Nethertown of Almorness, Dumfries & Galloway (Nethertown Cottages; Almorness Point; Cocklehaen)",NA,No
314,"Camp Hill, Dumfries & Galloway",NA,No
315,"Waterside, Dumfries & Galloway",NA,No
316,"Barr Hill, Dumfries & Galloway (Springholm)",NA,No
317,"Torkirra, Dumfries & Galloway (Tarkirra)",NA,No
318,"The Doons, Dumfries & Galloway",NA,No
319,"Green Island, Milton Loch, Dumfries & Galloway",NA,No
320,"Dinning, Dumfries & Galloway",NA,No
321,"Sundaywell, Dumfries & Galloway",NA,No
322,"Virginhall Plantation, Gallows Dike, Dumfries & Galloway (Virginhill Plantation)",NA,No
323,"Carronbridge, Bell Craig, Dumfries & Galloway",NA,No
324,"Grennan Hill, Dumfries & Galloway",NA,No
325,"Rosehill, Dumfries & Galloway",NA,No
326,"Tynron Doon, Dumfries & Galloway",NA,No
327,"Borron Hill, Dumfries & Galloway (Arbigland)",NA,No
328,"Kirkland Moat, Dumfries & Galloway",NA,No
329,"Ingleston Mote, Dumfries & Galloway",NA,No
330,"Hall Hill Mote, Dumfries & Galloway (Hallhill)",NA,No
331,"Beacon Hill, Dumfries & Galloway (Colstrand Fort)",NA,No
332,"Camp Hill, Trohoughton, Dumfries & Galloway",NA,No
333,"Castlehill, Dumfries & Galloway (Castle Hill)",NA,No
334,"Goldielea Wood, Dumfries & Galloway",NA,No
335,"Temple Wood, Dumfries & Galloway",NA,No
336,"Mullach, Dumfries & Galloway (Beacon Hill)",NA,No
337,"The Belt, Dumfries & Galloway",NA,No
338,"Longbank, Dumfries & Galloway",NA,No
339,"Castle Hill, Dumfries & Galloway",NA,No
340,"Burnhead, Dumfries & Galloway",NA,No
341,"Sour Hill, Dumfries & Galloway",NA,No
342,"Leffnoll, Dumfries & Galloway",NA,No
343,"Cults Loch, Dumfries & Galloway (Castle Kennedy House)",NA,No
344,"Kirkland Hill, Dumfries & Galloway",NA,No
345,"Springfield Hill, Dumfries & Galloway",NA,No
346,"Mcculloch's Castle, Dumfries & Galloway",NA,No
347,"Evening Bank Wood, Cumbria (Dacre)",NA,No
349,"Castle Frome, Herefordshire",NA,No
350,"Bomere Heath, Shropshire",NA,No
351,"Bomere Wood, Shropshire",NA,No
352,"Bwlch y Gwynt, Shropshire",NA,No
354,"Gelli Lwyd, Shropshire",NA,No
355,"Preston Springs, Shropshire",NA,No
356,"Ritton Castle, Shropshire",NA,No
357,"Stevenshill, Shropshire",NA,No
358,"Stockton Wood, Shropshire (Stocktonwood)","To the SW, the ditch splits, one arm running off to the S to form an annexe at that end of the site. There is a possible simple entrance into this annexe,",Yes
359,"Woodhouse Farm, Shropshire",NA,No
361,"Grinsdale Camp, Cumbria (Skew Hill)",NA,No
362,"The Mount, Beoley, Worcestershire",NA,No
363,"Elmley Castle Earthworks, Worcestershire (Elmley Castle)",NA,No
364,"Wychbury Ring, Worcestershire (Wychbury Camp; Wychbury Hill Camp)",A possible annexe of 5.5ha to the S within the main body of the hillfort is now questioned.,No
365,"Harborough Hill, Churchill, Worcestershire",NA,No
366,"Church Coppice, Hanbury, Worcestershire",NA,No
367,"Woodbury, Great Witley, Worcestershire (Woodbury Hill)",NA,No
368,"Berrow Hill Camp, Martley, Worcestershire",NA,No
369,"Kempsey Promontory Fort, Worcestershire",NA,No
370,"Arley Wood Camp, Worcestershire",NA,No
371,"Castle Hill Camp, Bow Wood, Worcestershire",Possible annexe on the NE.,Yes
373,"Berry Mound Camp, Worcestershire (Dane's Camp)",NA,No
374,"Tunnel Hill, Chadbury, Worcestershire",NA,No
375,"Conderton Camp, Worcestershire (Danes Camp)",NA,No
376,"Gadbury Bank, Worcestershire (Gadbury Camp)",NA,No
378,"Kemerton Camp, Bredon Hill, Worcestershire (Bredon Hill Camp)",NA,No
381,"Island Covert, Worcestershire",NA,No
383,"Drakelow, Worcestershire (Solcum Farm Promontory Fort, Wolverley)",NA,No
384,"Whitley Crag, Asby, Cumbria",NA,No
386,"Battlesbury Camp, Wiltshire",NA,No
387,"Barbury Castle, Wiltshire",NA,No
388,"Liddington Castle, Wiltshire (Badbury Camp)",NA,No
389,"Casterley Camp, Wiltshire (Catterley Banks)","Site boundary follows contours, except on NE side where semi-circular annexe includes upper end of a coombe.",Yes
390,"Sidbury Camp, Wiltshire (Chidbury; Sidbury Hillfort)",NW angle entrance enclosed within a later rectilinear 1ha annexe.,Yes
391,"Bilbury Rings, Wiltshire (Wylye Camp)",NA,No
392,"Grovely Castle, Wiltshire",NA,No
393,"Wick Ball Camp, Wiltshire",NA,No
394,"Yarnbury Castle, Wiltshire (Yarnbury Camp)",NA,No
395,"Broadbury Banks, Wiltshire",NA,No
396,"Oldbury Castle, Wiltshire (Oldbury Hill; Oldbury Camp)",NA,No
397,"Rybury Camp, Wiltshire",NA,No
398,"Oliver's Castle, Wiltshire (Oliver's Camp)",NA,No
399,"Ringsbury Camp, Wiltshire",NA,No
400,"Bury Hill Camp, Purton, Wiltshire",NA,No
401,"Odstock Copse, Wiltshire",Possible annexe to SE and ditches E of annexe fade on flat ground.,Yes
402,"Great Woodbury, Wiltshire",NA,No
403,"Clearbury Ring, Wiltshire",NA,No
404,"Ogbury Camp, Wiltshire",NA,No
405,"Figsbury Ring, Wiltshire (Chlorus' Camp)",NA,No
406,"Old Sarum, Wiltshire",NA,No
407,"Vespasian's Camp, Wiltshire",NA,No
408,"Chisenbury Camp, Wiltshire (Cissanbyrig; Chisenbury Trendle)",NA,No
409,"Giant's Grave, Wiltshire",NA,No
410,"Martinsell Hill Camp, Wiltshire (Martin's Hill; Martinsell)",NA,No
411,"Scratchbury Camp, Wiltshire (Scratchbury Hill)",NA,No
412,"Bratton Castle, Wiltshire (Bratton Camp)","Short NE side straddles narrow steep-sided ridge up which runs the Port Way, passing through possible original entrance. Here two ramparts separated to form small annexe, with outer ditch all but removed by quarrying.",Yes
413,"Castle Hill, Blunsdon St Andrew, Wiltshire (Castle Hill, Swindon; Bury Blunsdon)",NA,No
415,"Chisbury Camp, Wiltshire (Chisbury)",NA,No
416,"Fosbury Camp, Wiltshire (Haydon Hill Castle; Knoll Ditches; Knolls Down)",NA,No
417,"Park Hill Camp, Wiltshire (Park Hill)",NA,No
418,"Kenwalch's Castle, Wiltshire (Castle Wood)",NA,No
419,"Castle Rings, Donhead St Mary, Wiltshire",NA,No
