Main_Atlas_Number,Main_Display_Name,Enclosing_Area_1,Enclosing_Area_2,Enclosing_Area_3,Enclosing_Area_4,Enclosing_Enclosed_Area,Enclosing_Area,Enclosing_Max_Ramparts,Enclosing_NE_Quadrant,Enclosing_SE_Quadrant,Enclosing_SW_Quadrant,Enclosing_NW_Quadrant,Enclosing_Ditches_Number,Enclosing_Summary,Enclosing_Multiperiod_Comments,Enclosing_Circuit_Comments,Enclosing_Quadrant_Comments,Enclosing_Surface_Comments,Enclosing_Excavation_Comments,Enclosing_Gang_Working_Comments,Enclosing_Ditches_Comments,Enclosing_Multiperiod,Enclosing_Circuit,Enclosing_Current_Part_Uni,Enclosing_Current_Uni,Enclosing_Current_Part_Bi,Enclosing_Current_Bi,Enclosing_Current_Part_Multi,Enclosing_Current_Multi,Enclosing_Current_Unknown,Enclosing_Period_Part_Uni,Enclosing_Period_Uni,Enclosing_Period_Part_Bi,Enclosing_Period_Bi,Enclosing_Period_Part_Multi,Enclosing_Period_Multi,Enclosing_Surface_None,Enclosing_Surface_Bank,Enclosing_Surface_Wall,Enclosing_Surface_Rubble,Enclosing_Surface_Walk,Enclosing_Surface_Timber,Enclosing_Surface_Vitrification,Enclosing_Surface_Burning,Enclosing_Surface_Palisade,Enclosing_Surface_Counter_Scarp,Enclosing_Surface_Berm,Enclosing_Surface_Unfinished,Enclosing_Surface_Other,Enclosing_Excavation_Nothing,Enclosing_Excavation_Bank,Enclosing_Excavation_Wall,Enclosing_Excavation_Murus,Enclosing_Excavation_Timber_Framed,Enclosing_Excavation_Timber_Laced,Enclosing_Excavation_Vitrification,Enclosing_Excavation_Burning,Enclosing_Excavation_Palisade,Enclosing_Excavation_Counter_Scarp,Enclosing_Excavation_Berm,Enclosing_Excavation_Unfinished,Enclosing_Excavation_No_Known,Enclosing_Excavation_Other,Enclosing_Gang_Working,Enclosing_Ditches
17,"Eaton Camp, Herefordshire",7.0,-1.0,-1.0,-1.0,7.0,-1.0,2.0,1.0,1.0,1.0,2.0,2.0,"Steep natural slope only defence on the N and SE sides, and on the W defended by a rampart, but denuded to the N. Inner rampart found to be simple dump of clay, stone and river boulders. Two ditches found by geophysics examined.","The site has been extensively damaged through agriculture and development, which makes interpretation difficult on the west and south sides especially.",The ramparts do not form a complete circuit because of development; prior to this they would have done so.,NA,Evidence of the ramparts and ditches determined by excavation.,"Inner rampart found to be simple dump of clay, stone and river boulders. Two ditches found by geophysics examined.",NA,Two ditches found by geophysics.,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes
18,"Gaer Cop, Herefordshire",7.8,-1.0,-1.0,-1.0,7.8,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,The line of the former ramparts now visible only as a slight rise with scarp around most of the circuit. It is possible that there might be greater survival where hedge lines cross the ramparts to the E and W and to the S where a lane runs along the line of the ditch. Ramparts quadrants estimated but likely.,Difficulty of interpretation of exact area of fort.,Rampart destruction restricts positive analysis without further site investigation.,NA,"None recorded, but possibly earthen bank.",NA,NA,Possibly one outer ditch surrounding the site.,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
19,"Garmsley Camp, Worcestershire (The Wrathes)",3.6,-1.0,-1.0,-1.0,3.6,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,"Strong bank and ditch across W end of narrow ridge, naturally steep slopes and bank protection elsewhere.","The site is nearly destroyed and is thus seen as a scarp above natural slopes, best to the W and E  ends. Identification therefore difficult.",The rampart is nearly destroyed and can only be seen in small sections at the W and E ends of the site.,The southern single rampart is destroyed making interpretation difficult.,NA,NA,NA,"The ditch is nearly gone, with vestigial remains on the N side",No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
20,"Haffield Camp, Herefordshire",1.6,-1.0,-1.0,-1.0,1.6,-1.0,1.0,1.0,1.0,1.0,1.0,0.0,"Defences show only as a scarp on the slope of the hill, except on the E and SE sides where the ground falls sharply away. Thus, scarping and artificial strengthening of the natural hillside, with possible palisade, define the site.","Defences seen only as a scarp enclosing the hill. Poor nature of the defences makes interpretation difficult, but not impossible.","Although only seen as a scarp, defences enclose the hill.",NA,Possible palisade.,NA,NA,"None recorded, but could be a buried feature.",No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
21,"Ivington Camp, Herefordshire",10.8,-1.0,-1.0,-1.0,10.8,-1.0,2.0,2.0,2.0,2.0,1.0,2.0,"The defences closely follow the contours apart from the N part of the E side, and include a massive inner rampart and ditch and traces of a second bank, beyond which on the E side there is a ditch. The ramparts are complex in construction with possible stone faces and palisade, that to the S with a continuation in an arc to the W around Camp Wood.",The two enclosures and curious shape of the hillfort make a very interesting and complex hillfort. Possibly phased.,Impressive circuit with massive inner rampart and ditch.,NA,Parapets possible on the W and N sides. Dumps over which small limestone rubble deposited recorded.,Postholes may indicate a palisade.,NA,Ditches in evidence but complex. Separated by berm.,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes
22,"Little Doward, Herefordshire",7.8,-1.0,-1.0,-1.0,7.8,-1.0,2.0,2.0,2.0,1.0,2.0,1.0,"Double rampart and medial ditch, apart from the SW where there is a single bank to 1.5m high on steep slopes. To NW and NE inner bank strong and up to 2.5m high. There was a possible former enclosure on the NW side. To the SE there is a 1m high outward-facing slope, possibly a ploughed down bank. Counterscarp visible in places.","Possible two phases of construction. Proposed by Bowden (2009) as an earlier promontory fort with rampart and ditch, partly confirmed by excavation","Whilst the main enclosure is enclosed by banks, to the NE, SW and NW, the 'annexe' has steep rocky slopes for the most part over the entire three sides.",NA,Counterscarp bank visible in places.,Excavation across rampart and ditch of SE 'annexe' showed it to be early phase of total enclosure and defended by bank and ditch across the promontory neck. Possible palisade slot.,NA,Medial ditch to 2m in depth.,Yes,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes
23,"Mere Hill, Herefordshire (Mere Hill Wood)",0.9,-1.0,-1.0,-1.0,0.9,-1.0,1.0,0.0,1.0,1.0,0.0,1.0,"The single rampart is discontinuous to the W, but intact to the E. The precipitous slope to the N is definition enough, one ditch.",Area determined from dimensions.,N line defended by steep slopes with no defence.,NA,Detailed survey of bank and ditch suggested enclosure possibly unfinished.,Detailed investigation of bank and ditch suggested enclosure possibly unfinished.,Possible gang working found at 17m intervals as result of topographical survey.,NA,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes
24,"Midsummer Hill, Herefordshire (Midsummer Hill Camp)",7.0,-1.0,-1.0,-1.0,7.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,"A single bank with stone faces, with ditch, the former only c. 1m internally, and a small counterscarp bank. The earthworks are made the more imposing by the ditch being up to 11m below the rampart. There are severe gradients on the circuit.",The location on two hills makes the site more complex. Ramparts readily seen. Phased construction.,The single bank and ditch is a complete circuit apart from where quarried away at the extreme SW part of Hollybush Hill.,NA,Features readily seen.,NA,NA,Ditch up to 11m below the rampart,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes
25,"Oldbury, Much Marcle, Herefordshire",5.7,-1.0,-1.0,-1.0,5.7,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,The N rampart rises to 2m-3m above level of field; possibly scarped from ridge. E side is similar. W has steep scarp and berm. At S end of W defences berm becomes a ditch with external counterscarp bank. Although ploughed-down the structure of the site is visible.,NA,"Ramparts much eroded and ploughed-down except to the N. Large site in poor condition, but area definition possible.",NA,The detail of the site is visible. At S end of W defences a berm becomes a ditch (faint traces) with external counterscarp bank.,NA,NA,Faint traces of a ditch to the W.,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
26,"Pen-Twyn Camp, Brilley, Herefordshire (Pen Twyn Camp)",0.82,-1.0,-1.0,-1.0,0.82,-1.0,2.0,1.0,0.0,2.0,2.0,0.0,"Double ramparts on W, the inner bank weaker. To S there are no ramparts in evidence, but a hedgeline possibly preserves their location. No ditches.",Problem of probably missing southern bank in regard to any area definition. 0.82ha probably an underestimate.,The whole of the S line is missing and now a hedgeline.,NA,None determined as result of access problems.,NA,NA,No remains of ditches,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
27,"Penapark, Herefordshire (Pen y Park)",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,3.0,3.0,3.0,3.0,3.0,"Large, triple-banked, part cropmark. Outer rampart and 40m of inner rampart survive as visible feature partly to E in pasture field.",Area not defined.,Cropmark,NA,NA,NA,NA,Possibly three ditches as cropmark only.,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
28,"Poston Camp, Herefordshire (Lower Park Wood Camp)",1.7,-1.0,-1.0,-1.0,1.7,-1.0,1.0,0.0,0.0,1.0,1.0,1.0,Single massive rampart curving from NW-NE with outer ditch; scarping with a berm to the W and S. Precipitous with no defences from NE. Possible of at least a further inner rampart suggested by excavations of 1932-37. Part of the NE and SW sectors have no ramparts.,Massive rampart cuts off the promontory.,Whole of the E side is protected by precipitous slopes.,NA,"Possibly an earthen bank, with a berm to the W and S.","Possibility of at least a further inner rampart suggested by excavations of 1932-37, but removed by agriculture operations in the 19th century.",NA,Outer ditch to massive N rampart.,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes
29,"Pyon Wood, Herefordshire",2.4,-1.0,-1.0,-1.0,2.4,-1.0,2.0,2.0,2.0,2.0,2.0,2.0,"Double ramparts visible with medial ditch. Outer ditch and counterscarp impressive on W but damaged or gone on the SE. Replaced by berm on steep slope to the N. Outer rampart smaller and mostly destroyed, as is the Inner bank of the inner rampart. The ramparts are variable around the circuit and above an assessment only.",Problems of rampart destruction in area definition.,"Outer rampart mostly destroyed, but there is a complete circuit.",NA,NA,NA,NA,"Outer ditch and counterscarp impressive on W, but damaged or gone on SE.",No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
30,"Risbury Camp, Herefordshire",3.4,-1.0,-1.0,-1.0,3.4,11.3,3.0,3.0,3.0,2.0,2.0,0.0,Widely-spaced ramparts on the E side may be later cultivation terraces or lynchets. On the W the rampart is a dry-built stone wall faced externally - could be conjecture here.,Widely spaced ramparts.,Widely-spaced ramparts on E side may be problematical.,NA,On W the rampart is a dry-built stone wall faced externally.,NA,NA,There appears to be no ditches visible.,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
31,"Sutton Walls, Herefordshire",11.5,-1.0,-1.0,-1.0,11.5,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,The single bank and ditch has been eroded to a steep scarp with a terrace at its foot emphasising the monumentality of the site. This surrounds the site as a degenerate steep scarp. Kenyon suggested that the first rampart was built up from a v-shaped ditch of 32m width and 15m high. Possible pre-rampart palisade.,The rampart and ditch surrounds the site as a degenerate steep scarp.,"The rampart and ditch surrounds the site as a degenerate steep scarp, but badly affected by the toxic waste dump to the W.",NA,Initial occupation was probably under the existing bank and protected by a palisade. Possible counterscarp to be determined.,Pre-rampart timber palisade suggested by Kenyon as a result of posthole evidence.,NA,Ditch surrounds the site. Excavation suggested that the first rampart was built up from a v-shaped ditch of 32m width and 15m in height.,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes
