Main_Atlas_Number,Main_Display_Name,References,URL_Atlas,URL_Wiki,URL_NMR_Resource,NMR_URL,Record_URL
11,"Credenhill Camp, Herefordshire","Boucher, A. and Eisel, J. 2004. Park Wood Credenhill Archaeological Survey, Herefordshire: Archaeological Landscape Survey and Site Assessment, Archaeological Investigations Ltd. 595.  Dorling, P. and Wigley, A. 2012: Assessment of the archaeological and conservation status of major later prehistoric enclosures in Herefordshire and Shropshire, EH PNUM, Version 3.2, Hereford and Shrewsbury: Herefordshire Council/Shropshire Council.   Page, W. ed. 1908. The Victoria County History of the County of Herefordshire, 1, 206-7, London: St Catherine Press.  RCHME 1931-34. An Inventory of the Historical Monuments in Herefordshire, 2 (E), 65, 6, London: HMSO.   Stanford, S.C. 1970. Credenhill Camp, Herefordshire, an Iron-Age hillfort capital, Archaeol J,  CXXVII, 82-129.",https://hillforts.arch.ox.ac.uk/?query=Atlas_of_Hillforts_4166_0%2CMain_Atlas_Number%2C0011,http://www.wikidata.org/entity/Q31114115,NA,NA,http://hillforts.arch.ox.ac.uk/records/EN0011.html
12,"Croft Ambrey, Herefordshire","Darvill, T. Stamper, P. and Timby, J. 2000. England an archaeological guide, 202-3, Oxford: OUP.  Dorling, P. and Wigley, A. 2012: Assessment of the archaeological and conservation status of major later prehistoric enclosures in Herefordshire and Shropshire, EH PNUM, Version 3.2, Hereford and Shrewsbury: Herefordshire Council/Shropshire Council.  Field, D, Smith, N. 2008. Croft Ambrey, Aymestrey, Herefordshire. Analysis of earthworks, Archaeological Survey Report, Swindon: English Heritage.   Stanford, S. 1974. Croft Ambrey, Leominster: Privately published.",https://hillforts.arch.ox.ac.uk/?query=Atlas_of_Hillforts_4166_0%2CMain_Atlas_Number%2C0012,http://www.wikidata.org/entity/Q31114125,NA,NA,http://hillforts.arch.ox.ac.uk/records/EN0012.html
13,"Dinedor Camp, Herefordshire (Oyster Hill)","Dorling, P. and Wigley, A. 2012. Assessment of the archaeological and conservation status of major later prehistoric enclosures in Herefordshire and Shropshire, EH PNUM, Version 3.2, Hereford and Shrewsbury: Herefordshire Council/Shropshire Council.  Dorling, P. and Widdicombe, R. 2008. A conservation management plan for Dinedor Camp, Herefordshire. Hereford: Herefordshire Archaeology.  Page, W. ed. 1908. The Victoria County History of the County of Herefordshire, 1, 208-9, London: St Catherine Press.  RCHME 1931-34. An Inventory of the Historical Monuments in Herefordshire, 1(SW), 55,  6, London: HMSO.",https://hillforts.arch.ox.ac.uk/?query=Atlas_of_Hillforts_4166_0%2CMain_Atlas_Number%2C0013,http://www.wikidata.org/entity/Q5278027,NA,NA,http://hillforts.arch.ox.ac.uk/records/EN0013.html
14,"Dinmore Hill, Herefordshire","Dorling, P. and Wigley, A. 2012. Assessment of the archaeological and conservation status of major later prehistoric enclosures in Herefordshire and Shropshire, EH PNUM, Version 3.2, Hereford and Shrewsbury: Herefordshire Council/Shropshire Council.  Pryor, F., Dorling, P. and Ray, K. forthcoming. Surveys and excavation on Dinmore Hill, Herefordshire, Herefordshire Archaeology Report.",https://hillforts.arch.ox.ac.uk/?query=Atlas_of_Hillforts_4166_0%2CMain_Atlas_Number%2C0014,http://www.wikidata.org/entity/Q31113972,NA,NA,http://hillforts.arch.ox.ac.uk/records/EN0014.html
15,"Dorstone Hill, Herefordshire","Dorling, P. and Wigley, A. 2012: Assessment of the archaeological and conservation status of major later prehistoric enclosures in Herefordshire and Shropshire, EH PNUM, Version 3.2, Hereford and Shrewsbury: Herefordshire Council/Shropshire Council.",https://hillforts.arch.ox.ac.uk/?query=Atlas_of_Hillforts_4166_0%2CMain_Atlas_Number%2C0015,http://www.wikidata.org/entity/Q31114139,NA,NA,http://hillforts.arch.ox.ac.uk/records/EN0015.html
16,"Downton Camp, Herefordshire","Dorling, P. and Wigley, A. 2012: Assessment of the archaeological and conservation status of major later prehistoric enclosures in Herefordshire and Shropshire, EH PNUM, Version 3.2, Hereford and Shrewsbury: Herefordshire Council/Shropshire Council.   RCHME 1934. An Inventory of the Historical Monuments in Herefordshire, 3 (NW), London: HMSO.",https://hillforts.arch.ox.ac.uk/?query=Atlas_of_Hillforts_4166_0%2CMain_Atlas_Number%2C0016,http://www.wikidata.org/entity/Q31114153,NA,NA,http://hillforts.arch.ox.ac.uk/records/EN0016.html
17,"Eaton Camp, Herefordshire","Atkinson, C. 2011. Eaton Camp, Ruckhall, Eaton Bishop CP, Stage 1: Field Investigation and LiDAR. Herefordshire Archaeology Report 296.  Dorling, P. 2012: Eaton Camp, Ruckhall, Eaton Bishop, Herefordshire. A summary report on excavations in May 2012. Hereford: Herefordshire Archaeology Report 313.  Dorling, P. and Wigley, A. 2012: Assessment of the archaeological and conservation status of major later prehistoric enclosures in Herefordshire and Shropshire, EH PNUM, Version 3.2, Hereford and Shrewsbury: Herefordshire Council/Shropshire Council.   RCHME 1931-34. An Inventory of the Historical Monuments in Herefordshire, 1, 61-2, London: HMSO.",https://hillforts.arch.ox.ac.uk/?query=Atlas_of_Hillforts_4166_0%2CMain_Atlas_Number%2C0017,http://www.wikidata.org/entity/Q31114162,NA,NA,http://hillforts.arch.ox.ac.uk/records/EN0017.html
18,"Gaer Cop, Herefordshire","Dorling, P. and Wigley, A. 2012. Assessment of the archaeological and conservation status of major later prehistoric enclosures in Herefordshire and Shropshire, EH PNUM, Version 3.2, Hereford and Shrewsbury: Herefordshire Council/Shropshire Council. Includes photo.  RCHME 1931-34. An Inventory of the Historical Monuments in Herefordshire, 1 (SW), 90, 11, London: HMSO.",https://hillforts.arch.ox.ac.uk/?query=Atlas_of_Hillforts_4166_0%2CMain_Atlas_Number%2C0018,http://www.wikidata.org/entity/Q31113979,NA,NA,http://hillforts.arch.ox.ac.uk/records/EN0018.html
19,"Garmsley Camp, Worcestershire (The Wrathes)","Bowen, A.R. 1952. The hill-forts of Worcestershire and its borders, Trans Worcs Archaeol Soc, 29, 33-37.  Montgomerie, D.H. 1924. Ancient earthworks, Victoria County History, Worcestershire.   Pevsner, N. 1968. The Buildings of England: Worcestershire, 265.   Phillips, W. 1893. Garmsley Camp (near Tenbury), Trans Woolhope Natur Fld Club, 1893, 142-43.",https://hillforts.arch.ox.ac.uk/?query=Atlas_of_Hillforts_4166_0%2CMain_Atlas_Number%2C0019,http://www.wikidata.org/entity/Q31120133,NA,NA,http://hillforts.arch.ox.ac.uk/records/EN0019.html
20,"Haffield Camp, Herefordshire","Dorling, P. and Wigley, A. 2012. Assessment of the archaeological and conservation status of major later prehistoric enclosures in Herefordshire and Shropshire, EH PNUM, Version 3.2, Hereford and Shrewsbury: Herefordshire Council/Shropshire Council.  Page, W. ed. 1908. The Victoria County History of the County of Herefordshire, 1, 209, London: St Catherine Press.  RCHME 1932. An Inventory of the Historical Monuments in Herefordshire, 2 (E), 69, 10, London: HMSO.",https://hillforts.arch.ox.ac.uk/?query=Atlas_of_Hillforts_4166_0%2CMain_Atlas_Number%2C0020,http://www.wikidata.org/entity/Q31113981,NA,NA,http://hillforts.arch.ox.ac.uk/records/EN0020.html
21,"Ivington Camp, Herefordshire","Dalwood, H., Hurst, D. and Pearson, E. 1997. Salvage Recording at Ivington Camp, Leominster: Archive Report. Worcester. Unpublished archive report 570, County Archaeology Service, Hereford and Worcester County Council.  Dorling, P. and Wigley, A. 2012: Assessment of the archaeological and conservation status of major later prehistoric enclosures in Herefordshire and Shropshire, EH PNUM, Version 3.2, Hereford and Shrewsbury: Herefordshire Council/Shropshire CouncilMayes, S 2003. Camp Farm, Ivington, Herefordshire. Archaeological monitoring. Contractor Report.  Page, W. ed. 1908. The Victoria County History of the County of Herefordshire, 1, 217, London: St Catherine Press.  RCHME 1931-34. An Inventory of the Historical Monuments in Herefordshire, 3 (NW), 131-32, 52, London: HMSO.",https://hillforts.arch.ox.ac.uk/?query=Atlas_of_Hillforts_4166_0%2CMain_Atlas_Number%2C0021,http://www.wikidata.org/entity/Q31114174,NA,NA,http://hillforts.arch.ox.ac.uk/records/EN0021.html
22,"Little Doward, Herefordshire","Bowden, M. 2009. Little Doward, Ganarew, Herefordshire. Analytical Earthwork Survey of the Hillfort and Rapid Landscape Investigation. English Heritage Research Department Report Series. 72-2009.  Clarke, S. and Bray, J. 2009. Little Doward Camp, Ganarew. A Programme of Archaeological Work for the Woodland Trust, Unpublished report Monmouth Archaeolaeology, MA09.09.  Dorling, P. and Wigley, A. 2012: Assessment of the archaeological and conservation status of major later prehistoric enclosures in Herefordshire and Shropshire, EH PNUM, Version 3.2, Hereford and Shrewsbury: Herefordshire Council/Shropshire Council.  Dorling, P., Cotton, J. and Rimmington, N. 2012: Little Doward hillfort, Ganarew, Herefordshire. A report on excavations in 2009 and 2011, Hereford: Herefordshire Archaeology Report 295.  Page, W. ed.1908. The Victoria County History of the County of Herefordshire, 1, 210-11, London: St Catherine Press.  RCHME 1931-34. An Inventory of the Historical Monuments in Herefordshire, 1 (SW), 68-9, 2, London: HMSO.   Rimmington, N. 2008. Little Doward Camp, Ganarew Parish, Unpublished report  Herefordshire Archaeology Report 229.      .",https://hillforts.arch.ox.ac.uk/?query=Atlas_of_Hillforts_4166_0%2CMain_Atlas_Number%2C0022,http://www.wikidata.org/entity/Q31114183,NA,NA,http://hillforts.arch.ox.ac.uk/records/EN0022.html
23,"Mere Hill, Herefordshire (Mere Hill Wood)","Dorling, P. and Wigley, A. 2012. Assessment of the archaeological and conservation status of major later prehistoric enclosures in Herefordshire and Shropshire, EH PNUM, Version 3.2, Hereford and Shrewsbury: Herefordshire Council/Shropshire Council.   Ray, K. and Hoverd , T. 2000: Investigations at Mere Hill, Aymestrey, Herefordshire, Hereford: Archaeology Reports No 2.",https://hillforts.arch.ox.ac.uk/?query=Atlas_of_Hillforts_4166_0%2CMain_Atlas_Number%2C0023,http://www.wikidata.org/entity/Q31114008,NA,NA,http://hillforts.arch.ox.ac.uk/records/EN0023.html
24,"Midsummer Hill, Herefordshire (Midsummer Hill Camp)","Bowden, M. 2005. The Malvern Hills an ancient landscape, London: English Heritage.  Brown, I. 2009. Beacons in the landscape. the hillforts of England and Wales, Oxford: Windgather Press/Oxbow Books.   Dorling, P. and Wigley, A. 2012. Assessment of the archaeological and conservation status of major later prehistoric enclosures in Herefordshire and Shropshire, EH PNUM, Version 3.2, Hereford and Shrewsbury: Herefordshire Council/Shropshire Council.   Hilton Price, F.G. 1887. Camps on the Malvern Hills, Trans Woolhope Natur Fld Club, 9 (1877-80), 217-28.  Hughes, I.T 1924: Report on the excavations conducted on Midsummer Hill, Trans Woolhope Natur Fld Club, 1924, 18-27.  Stanford, S.C. 1981. Midsummer Hill, Leominster: Privately published.",https://hillforts.arch.ox.ac.uk/?query=Atlas_of_Hillforts_4166_0%2CMain_Atlas_Number%2C0024,http://www.wikidata.org/entity/Q31114196,NA,NA,http://hillforts.arch.ox.ac.uk/records/EN0024.html
25,"Oldbury, Much Marcle, Herefordshire","Dorling, P. and Wigley, A. 2012. Assessment of the archaeological and conservation status of major later prehistoric enclosures in Herefordshire and Shropshire, EH PNUM, Version 3.2, Hereford and Shrewsbury: Herefordshire Council/Shropshire Council.    Page, W. ed.1908. The Victoria County History of the County of Herefordshire, 1, 218, London: St Catherine Press.  RCHME 1931-34. An Inventory of the Historical Monuments in Herefordshire, 2 (E), 134, 41, London: HMSO.  Stanford, S.C. ed. 1976. Guide to Prehistoric and Roman Sites in Herefordshire, Woolhope Naturalists' Field Club Archaeological Research Section, 24.",https://hillforts.arch.ox.ac.uk/?query=Atlas_of_Hillforts_4166_0%2CMain_Atlas_Number%2C0025,http://www.wikidata.org/entity/Q31114027,NA,NA,http://hillforts.arch.ox.ac.uk/records/EN0025.html
26,"Pen-Twyn Camp, Brilley, Herefordshire (Pen Twyn Camp)","Dorling, P. and Wigley, A. 2012. Assessment of the archaeological and conservation status of major later prehistoric enclosures in Herefordshire and Shropshire, EH PNUM, Version 3.2, Hereford and Shrewsbury: Herefordshire Council/Shropshire Council.    Page, W. ed. 1908. The Victoria County History of the County of Herefordshire, 1, 203, London: St Catherine Press.  RCHME 1931-34. An Inventory of the Historical Monuments in Herefordshire, 3 (NW), 25, 30, London: HMSO.",https://hillforts.arch.ox.ac.uk/?query=Atlas_of_Hillforts_4166_0%2CMain_Atlas_Number%2C0026,http://www.wikidata.org/entity/Q31114205,NA,NA,http://hillforts.arch.ox.ac.uk/records/EN0026.html
27,"Penapark, Herefordshire (Pen y Park)","Dorling, P. and Wigley, A. 2012. Assessment of the archaeological and conservation status of major later prehistoric enclosures in Herefordshire and Shropshire, EH PNUM, Version 3.2, Hereford and Shrewsbury: Herefordshire Council/Shropshire Council.",https://hillforts.arch.ox.ac.uk/?query=Atlas_of_Hillforts_4166_0%2CMain_Atlas_Number%2C0027,http://www.wikidata.org/entity/Q31114049,NA,NA,http://hillforts.arch.ox.ac.uk/records/EN0027.html
28,"Poston Camp, Herefordshire (Lower Park Wood Camp)","Anthony, I.E. 1958. The Iron Age camp at Poston, Herefordshire, Hereford: The Woolhope Club.  Dorling, P. and Wigley, A. 2012. Assessment of the archaeological and conservation status of major later prehistoric enclosures in Herefordshire and Shropshire, EH PNUM, Version 3.2, Hereford and Shrewsbury: Herefordshire Council/Shropshire Council.   Marshall, G. 1933. Lower Park Wood Camp, Poston, in the Parish of Vowchurch, and some remarks on the Iron Age in Herefordshire. TWNFC 1933, pp 21-29.  Marshall, G. 1934. Interim report on the excavation of the Iron Age camp at Poston, Vowchurch, Trans Woolhope Natur Fld Club, 89-99.  RCHME 1931-34. An Inventory of the Historical Monuments in Herefordshire, 31(SW), 245, 6, London: HMSO.",https://hillforts.arch.ox.ac.uk/?query=Atlas_of_Hillforts_4166_0%2CMain_Atlas_Number%2C0028,http://www.wikidata.org/entity/Q31114215,NA,NA,http://hillforts.arch.ox.ac.uk/records/EN0028.html
29,"Pyon Wood, Herefordshire","Dorling, P. and Wigley, A. 2012. Assessment of the archaeological and conservation status of major later prehistoric enclosures in Herefordshire and Shropshire, EH PNUM, Version 3.2, Hereford and Shrewsbury: Herefordshire Council/Shropshire Council.    Page, W. ed. 1908. The Victoria County History of the County of Herefordshire, 1, 202, London: St Catherine Press.  RCHME 1931-34. An Inventory of the Historical Monuments in Herefordshire, 3, (NW), 14-15, London: HMSO.",https://hillforts.arch.ox.ac.uk/?query=Atlas_of_Hillforts_4166_0%2CMain_Atlas_Number%2C0029,http://www.wikidata.org/entity/Q31114227,NA,NA,http://hillforts.arch.ox.ac.uk/records/EN0029.html
30,"Risbury Camp, Herefordshire","Dorling, P. and Wigley, A. 2012. Assessment of the archaeological and conservation status of major later prehistoric enclosures in Herefordshire and Shropshire, EH PNUM, Version 3.2, Hereford and Shrewsbury: Herefordshire Council/Shropshire Council.   Page, W. ed. 1908. The Victoria County History of the County of Herefordshire, 1, 213-14, London: St Catherine Press.  RCHME 1931-34. An Inventory of the Historical Monuments in Herefordshire, 3, (NW), 73-4, 8,  London: HMSO.",https://hillforts.arch.ox.ac.uk/?query=Atlas_of_Hillforts_4166_0%2CMain_Atlas_Number%2C0030,http://www.wikidata.org/entity/Q31114230,NA,NA,http://hillforts.arch.ox.ac.uk/records/EN0030.html
31,"Sutton Walls, Herefordshire","Dorling, P. and Wigley, A. 2012. Assessment of the archaeological and conservation status of major later prehistoric enclosures in Herefordshire and Shropshire, EH PNUM, Version 3.2, Hereford and Shrewsbury: Herefordshire Council/Shropshire Council.   Kenyon, K.M. 1954. The excavations at Sutton Walls, Herefordshire, 1948-51, Archaeol J, 110, 1-87.   Page, W. ed. 1908. The Victoria County History of the County of Herefordshire, 1, 220, London: St Catherine Press.  RCHME 1931-34. An Inventory of the Historical Monuments in Herefordshire, 2, (E), 181-82, 33, London: HMSO.",https://hillforts.arch.ox.ac.uk/?query=Atlas_of_Hillforts_4166_0%2CMain_Atlas_Number%2C0031,http://www.wikidata.org/entity/Q31114231,NA,NA,http://hillforts.arch.ox.ac.uk/records/EN0031.html
32,"Timberline, Herefordshire (Timberline Camp)","Anthony, I.E. 1958. The Iron Age camp at Poston, Herefordshire, Hereford: The Woolhope Club.  Dorling, P. and Wigley, A. 2012. Assessment of the archaeological and conservation status of major later prehistoric enclosures in Herefordshire and Shropshire, EH PNUM, Version 3.2, Hereford and Shrewsbury: Herefordshire Council/Shropshire Council.",https://hillforts.arch.ox.ac.uk/?query=Atlas_of_Hillforts_4166_0%2CMain_Atlas_Number%2C0032,http://www.wikidata.org/entity/Q31114099,NA,NA,http://hillforts.arch.ox.ac.uk/records/EN0032.html
33,"Uphampton Camp, Herefordshire","Dorling, P. and Wigley, A. 2012. Assessment of the archaeological and conservation status of major later prehistoric enclosures in Herefordshire and Shropshire, EH PNUM, Version 3.2, Hereford and Shrewsbury: Herefordshire Council/Shropshire Council.   RCHME 1931-34. An Inventory of the Historical Monuments in Herefordshire, 3, 44, London: HMSO.",https://hillforts.arch.ox.ac.uk/?query=Atlas_of_Hillforts_4166_0%2CMain_Atlas_Number%2C0033,http://www.wikidata.org/entity/Q31114107,NA,NA,http://hillforts.arch.ox.ac.uk/records/EN0033.html
34,"Wall Hills Camp, Ledbury, Herefordshire (Wall Hills, Ledbury)","Dorling, P. and Wigley, A. 2012: Assessment of the archaeological and conservation status of major later prehistoric enclosures in Herefordshire and Shropshire, EH PNUM, Version 3.2, Hereford and Shrewsbury: Herefordshire Council/Shropshire Council.   Page, W. ed. 1908. The Victoria County History of the County of Herefordshire, 1, 193, 215, London: St Catherine Press.  RCHME 1931-34. An Inventory of the Historical Monuments in Herefordshire, 2, (E), 117-18, 44, London: HMSO.",https://hillforts.arch.ox.ac.uk/?query=Atlas_of_Hillforts_4166_0%2CMain_Atlas_Number%2C0034,http://www.wikidata.org/entity/Q31114234,NA,NA,http://hillforts.arch.ox.ac.uk/records/EN0034.html
35,"Wall Hills, Thornbury, Herefordshire","Dorling, P. and Wigley, A. 2012: Assessment of the archaeological and conservation status of major later prehistoric enclosures in Herefordshire and Shropshire, EH PNUM, Version 3.2, Hereford and Shrewsbury: Herefordshire Council/Shropshire Council.   Page, W. ed. 1908. The Victoria County History of the County of Herefordshire, 1, 221, London: St Catherine Press.  RCHME 1931-34. An Inventory of the Historical Monuments in Herefordshire, 2, (E), 189-90, 13, London: HMSO.",https://hillforts.arch.ox.ac.uk/?query=Atlas_of_Hillforts_4166_0%2CMain_Atlas_Number%2C0035,http://www.wikidata.org/entity/Q31114245,NA,NA,http://hillforts.arch.ox.ac.uk/records/EN0035.html
36,"Walterstone Camp, Herefordshire (Coed-y-Grafel)","Dorling, P. and Wigley, A. 2012. Assessment of the archaeological and conservation status of major later prehistoric enclosures in Herefordshire and Shropshire, EH PNUM, Version 3.2, Hereford and Shrewsbury: Herefordshire Council/Shropshire Council.    RCHME 1931-34. An Inventory of the Historical Monuments in Herefordshire, 1, (SW), 248, 9, London: HMSO.",https://hillforts.arch.ox.ac.uk/?query=Atlas_of_Hillforts_4166_0%2CMain_Atlas_Number%2C0036,http://www.wikidata.org/entity/Q31114256,NA,NA,http://hillforts.arch.ox.ac.uk/records/EN0036.html
37,"Wapley Camp, Herefordshire","Dorling, P. and Wigley, A. 2012. Assessment of the archaeological and conservation status of major later prehistoric enclosures in Herefordshire and Shropshire, EH PNUM, Version 3.2, Hereford and Shrewsbury: Herefordshire Council/Shropshire Council.   Page, W. ed. 1908. The Victoria County History of the County of Herefordshire, 1, 219, London: St Catherine Press.  RCHME 1931-34. An Inventory of the Historical Monuments in Herefordshire, 3, (NW), 185, 12, London: HMSO.",https://hillforts.arch.ox.ac.uk/?query=Atlas_of_Hillforts_4166_0%2CMain_Atlas_Number%2C0037,http://www.wikidata.org/entity/Q31114262,NA,NA,http://hillforts.arch.ox.ac.uk/records/EN0037.html
