Main_Atlas_Number,Main_Display_Name,Entrances_Breaks,Entrances_Original,Entrances_Breaks_Comments,Entrances_Original_Comments,Entrances_Chevaux_Comments,Entrances_Summary,Related_Entrances,Entrances_Guard_Chambers,Entrances_Chevaux
24,"Midsummer Hill, Herefordshire (Midsummer Hill Camp)",2.0,2.0,There may be more modern gaps in the rampart.,N gate inturned on E. S gate inturned.,NA,"The two surviving entrances on the Midsummer Hill are original - to the N an oblique inturned entrance and to the S also inturned and forming a narrow corridor. On Hollybush Hill, to the S, it has been suggested by Lines (not dated) and Hughes (1926) that there was also an entrance, now quarried away.",In-turned (North); Oblique (North); In-turned (South); Passage-way/Corridor (South),No,No
25,"Oldbury, Much Marcle, Herefordshire",1.0,1.0,Possible.,Shallow valley running up to SW ramparts and strengthening may indicate an entrance.,NA,"Shallow valley running up to SW ramparts and strengthening may indicate an entrance, but only slight indication.",Other Forms (South west),No,No
26,"Pen-Twyn Camp, Brilley, Herefordshire (Pen Twyn Camp)",1.0,1.0,NA,"Possible that there was an entrance on the S line where there is now a hedge, but this is only conjecture.",NA,"Entrances not visible on the present line, nor recorded. It is possible that there was an entrance on the S line where there is now a hedge, but this is only conjecture.",Simple Gap (South),No,No
27,"Penapark, Herefordshire (Pen y Park)",1.0,1.0,Cropmark interpretation.,Entrance aligned S as gap between all three ditches.,NA,Entrance visible and aligned due S as a gap between all three ditches. Cropmark determination.,Simple Gap (South),No,No
28,"Poston Camp, Herefordshire (Lower Park Wood Camp)",2.0,2.0,NA,"Possible entrance at E end of rampart where 20m gap before scarp edge. Slight possibility of W entrance, but conjecture.",NA,Possible entrance at E end of rampart where there is a 20m gap before the scarp edge. There is a slight possibility that there might be an entrance on the W side.,Simple Gap (North east); Simple Gap (West),No,No
29,"Pyon Wood, Herefordshire",3.0,2.0,"Possible entrance on the NW corner, but may be modern access.","Original entrance on the NE corner, others problematical, but that on the SW corner may also be original.",NA,"Original entrance on the NE corner, others problematical, but that on the SW corner may also be original. The NE entrance is inturned and approached by a trackway and with a covering rampart on its N side. Possible entrance on the NW corner, but may be modern access.",In-turned (North east); Simple Gap (South west),No,No
30,"Risbury Camp, Herefordshire",2.0,1.0,E entrance possibly modern.,W entrance probably original.,NA,"Two entrances, one original on the W side, slightly inturned and with a protected approach.",In-turned (West),No,No
31,"Sutton Walls, Herefordshire",4.0,2.0,The gaps to the N and S are modern.,"There are two inturned entrances, at the E and W ends of the site, now damaged.",NA,"There are two entrances, at the E and W ends of the site, now damaged, and formerly inturned. The gaps to the N and S are modern. The entrance to the E has been badly affected by the toxic waste dump.",In-turned (East); In-turned (West),No,No
32,"Timberline, Herefordshire (Timberline Camp)",2.0,1.0,That to the SW probably modern.,That to the N original.,NA,"Two simple entrances, the one to the N is original and inturned, but that on the SW may be modern. Cobbled paving was found in the former in 1952.",In-turned (North),No,No
33,"Uphampton Camp, Herefordshire",0.0,0.0,NA,NA,NA,No entrances recorded.,NA,No,No
34,"Wall Hills Camp, Ledbury, Herefordshire (Wall Hills, Ledbury)",4.0,3.0,The entrance to the SE is probably modern.,"Inturned entrances on the N and NE sides could be original. That to the W could also be original, but is much mutilated.",NA,"It is possible that all of the entrances are original, but any details of this have not been determined. Inturned entrances on the N and NE sides could be original. That to the W could also be original, but is much mutilated.",In-turned (North); Oblique (North); In-turned (North east); Simple Gap (West),No,No
35,"Wall Hills, Thornbury, Herefordshire",4.0,2.0,Two probably modern entrances cut through the rampart on the NE and SW.,"Four entrances but only the SE definitly original. The NW may also be original, but others probably modern.",NA,"Four entrances, but only the SE definitely original. The NW may also be original, but others probably modern. Two probably modern entrances cut through the rampart on the NE and SW.",In-turned (South east); In-turned (North west),No,No
36,"Walterstone Camp, Herefordshire (Coed-y-Grafel)",2.0,1.0,NE probably modern.,"Original SW entrance aligned to Pen Twyn, Brilley.",NA,"Two simple entrances, SW and NE, the latter probably modern.",Simple Gap (South west),No,No
37,"Wapley Camp, Herefordshire",4.0,2.0,Two modern gaps to the E and W.,Two original entrances to the NE corner and S.,NA,"To the S an interesting passageway through ramparts with inturns. Possibly the main entrance. To the NE a, possibly original, simple gap through the ramparts. Modern gaps to the E and W.",Simple Gap (North east); Passage-way/Corridor (South),No,No
38,"Westington Camp, Herefordshire",0.0,0.0,No entrance recorded and probably destroyed.,No entrance recorded and probably destroyed.,NA,"No evidence of entrances, but probably located where the ramparts have been lost on the E side.",NA,No,No
39,"Abdon Burf, Shropshire",-1.0,1.0,Not defined - destroyed.,NA,None,"All former entrances destroyed, but excavation 1929-30 found entrance (on E?) to be inturned with outworks, possibly remodelled at more than one occasion,",In-turned (East); Outworks (East),No,No
40,"Billings Ring, Shropshire",2.0,2.0,No modern gaps recorded.,"The entrance to the NE, next to a steep natural slope, is probably original, as is that to the W, though widened.",None,"The entrance to the NE, a simple gap, next to a steep natural slope, is probably original, as is that to the W, though widened.",Simple Gap (North east); Simple Gap (West),No,No
41,"Blodwell Rock, Shropshire",1.0,1.0,No modern gaps recorded.,Possible causewayed SW entrance.,None,Possible causewayed SW entrance. No modern gaps recorded.,Simple Gap (South west),No,No
42,"Knuck Wood, Shropshire (Birches Bank)",1.0,1.0,No modern gaps.,"The site of any entrance has not been determined exactly, but probably at the W end of the N side.",None,"The site of any entrance has not been determined exactly, but probably at the W end of the N side. No modern gaps.",In-turned (North),No,No
43,"Bodbury Ring, Shropshire",1.0,1.0,No modern gaps.,"Simple gap entrance with possible slight inturns. Possible timber bridge over the ditch, as no causeway visible.",None,"Simple gap entrance through the N bank, with possible slight inturns. Possible timber bridge over the ditch, as no causeway visible. No modern gaps.",Simple Gap (North); In-turned (North); Simple Gap (North),No,No
44,"Bulthy Hill, Shropshire",0.0,0.0,The position of any entrances has not been determined.,The position of any entrances has not been determined.,NA,The position of any entrances has not been determned.,NA,No,No
45,"Burf Castle, Shropshire",1.0,1.0,No modern gaps recorded.,Traces of an apparent inturned entrance at the SE end.,NA,Traces of an apparent inturned entrance at the SE end. No modern gaps recorded.,In-turned (South east),No,No
46,"Burrow Hill Camp, Shropshire (Burrow Hill)",3.0,3.0,No modern gaps visiible.,"Three fine probably original entrances. The principal to the NE is very elaborate with 70 m long passageway and inturned and offset at an oblique angle preventing interior access. That to the S has a causewayed approach to a 30 m long inturn. That to SW (less certain with signs of blocking) has a long narrow passage. The possible earlier hillfort, located where a bank cuts off the hill to the E and S, has a simple entrance on the E.",NA,"Three fine probably original entrances. The principal to the NE is very elaborate with 70 m long passageway and inturned and offset at an oblique angle preventing interior access. That to the S has a causewayed approach to a 30 m long inturn. That to SW (less certain with signs of blocking) has a long narrow passage. The possible earlier hillfort, located where a bank cuts off the hill to the E and S, has a simple entrance on the E..",Passage-way/Corridor (North east); In-turned (North east); Oblique (North east); In-turned (South); Passage-way/Corridor (South west); Blocked (South west),No,No
47,"Bury Ditches, Shropshire",2.0,2.0,No modern gaps recorded.,Fine well preserved entrances to the NE and SW. Former inturned with narrow 40 m passage. SW entrance staggered with 90 m passageway.,None,"The NE entrance s a classic example of an inturned entrance, the inner rampart and the second rampart on the N side turning inwards on either side to create a passageway 40m in length. The SW entrance is 'staggered' with the N ramparts overlapping those curving from the S to give a 90m overlooked passageway.",In-turned (North east); Passage-way/Corridor (North east); Over-lapping (South west); Passage-way/Corridor (South west),No,No
48,"Bury Walls, Shropshire",2.0,2.0,No modern gaps in evidence.,NW and E (with heavy inturn on the N side) entrances.,NA,"NE entrance, in-turned, show bedrock ruts cut by cart wheels. E has a heavy inturn on the N side.",In-turned (North west); In-turned (East),No,No
49,"Caer Caradoc, Clun, Shropshire (Caer Caradoc, Chapel Lawn; Gaer Ditches)",3.0,3.0,No modern gaps in evidence.,Good entrances.,NA,"Entrances to E and W, both inturned. The slightly staggered W entrance, on the accessible side, is heavily defended by massive widely-spaced curving ramparts up to 7m high from base of a rock-cut ditch. E entrance more simply constructed and gives out onto a narrow ridge with steep natural slopes. Possible minor offset, entrance with causeway to the N across the outer ditch.",In-turned (East); In-turned (West); Over-lapping (West); Oblique (North),No,No
50,"Caer Caradoc, Church Stretton, Shropshire",1.0,1.0,No modern gaps in evidence.,"One original entrance on the E, with recessed guard chamber on S side. Probable original terraced trackway decends 300m downslope.",Recessed guard chamber on S side.,"Fine inturned entrance on the E side with an engineered terraceway running for 300m obliquely down the hillside and probably forming the access route to the site, as it does today. Recessed guard chamber on S side.",In-turned (East); Oblique (East); Recesses/Guard Chambers (East),Yes,No
51,"Caerbre, Shropshire (Chirbury)",1.0,1.0,No evidence of modern gaps.,Possible S entrance.,None.,"The rampart stops abruptly at the S end at the edge of the natural slope, and it is here that the entrance may have been located.",Simple Gap (South),No,No
52,"Caer-Din Ring, Shropshire (Caer Din Ring)",2.0,1.0,Gap on the NW is later.,The entrance on E side is original.,NA,"The original entrance is on the E at 4m wide, that on to the NW is later. Hollow way from external field boundary gap extends to hillfort entrance and clearly used in prehistory.",Simple Gap (East); Hollow Way (East),No,No
53,"Calcot Camp, Shropshire",2.0,1.0,"Two definite breaks, probably more.",NA,NA,"Inturned passageway entrance at NW. Possibly damaged. In Phase I NW entrance. Later, in Phase II, site extended, seemingly with two lines of bank and ditch near to entrance, which may have been remodelled with passageway and inturns. At least two other breaks.",In-turned (North west); Passage-way/Corridor (North west),No,No
54,"Callow Hill Camp, Shropshire",1.0,1.0,Vandalism suggests that there may be modern gaps.,One original entrance.,NA,One original entrance with 4m causewayed gap through NE ramparts.,Simple Gap (North east),No,No
55,"Castle Idris, Shropshire (Garn Bank)",0.0,0.0,No obvious gaps.,Original entrance unsure.,NA,No entrances recorded.,NA,No,No
56,"Castle Ring, Gorsty Bank, Shropshire (Gorsty Bank)",1.0,1.0,Site almost levelled.,One original entrance.,NA,"There is an inturned NE entrance and here the bank rises above the interior level. There is a probable clearance cairn outside the entrance, probably robbed from the ramparts.",In-turned (North east),No,No
57,"Castle Ring, Horderley, Shropshire",2.0,2.0,NA,"Gaps on the NW and SW may possibly be original entrances, the latter more difficult to interpret.",NA,"Two possible entrances, both simple gaps now. That on the NW is possibly where the N rampart arm stops 6m short of the W natural slope edge. That to the SW where the S rampart stops short of the SW natural slope edge.",Simple Gap (North west); Simple Gap (South west),No,No
58,"Castle Hill, Oak Hill, Shropshire (Oak Hill)",1.0,1.0,No modern gaps visible.,Original entrance midway along the S rampart.,NA,Slightly inturned and off-set entrance 6m wide located midway along the S rampart.,In-turned (South); Oblique (South),No,No
59,"Castle Ring, Stitt Hill, Shropshire",1.0,1.0,Seemingly no modern gaps.,Original NE entrance 12m wide.,NA,"Original NE entrance 12m wide, simple gap. Seemingly no modern gaps.",Simple Gap (North east),No,No
60,"Caus Castle, Shropshire",3.0,3.0,No modern gaps recorded.,Possibly three original entrances.,NA,"Two entrances are on the E and W, simple gaps, with some masonry still visible, but there is another possibly on the NE, its form not determined.",Simple Gap (East); Simple Gap (West); Simple Gap (North east),No,No
61,"Caynham Camp, Shropshire",2.0,2.0,Complex sequence of entrances from two annexes and outside. No other modern gaps appear visible.,On NW possible original entrance could be result of post-medieval limestone quarrying.,NA,"The deeply inturned narrow passage at the SE corner is the original main entrance, 40m long and 3m wide. No other modern gaps visible, but a possible original entrance through the NW corner of the far W annexe could be the result of post-medieval limestone quarrying. No obvious entrance into inner annexe from perimeter suggests that whole hillfort used as a complete entity, but gaps exist into main enclosure. There was a possible original entrance into outer W annexe from outside the perimeter near the NW corner.",In-turned (South east); Passage-way/Corridor (South east); Simple Gap (North west); Simple Gap (West),No,No
62,"Chesterton Walls, Shropshire",2.0,1.0,One modern gap at E end of N side.,Original entrance midway along the N side.,NA,"Original entrance midway along the N side, simple gap. One modern gap at E end of N side.",Simple Gap (North),No,No
63,"Clee Burf, Shropshire",0.0,0.0,NA,NA,NA,Entrances destroyed.,NA,No,No
64,"Coed y Gaer, Oswestry, Shropshire",1.0,1.0,The disturbance to the site may call into question the site of any entrance.,"Possible SW original entrance, but 19th century landscaping here.",NA,"Possible SW original entrance, simple gap, but 19th century landscaping here may suggest otherwise.",Simple Gap (South west),No,No
65,"Colstey Bank, Shropshire",1.0,1.0,No modern gaps defined.,Possible original entrance.,NA,"Possible original entrance on N side, simple gap, where the rampart is truncated by a forestry track.",Simple Gap (North),No,No
66,"Earl's Hill, Shropshire (Earl's Hill Camp)",2.0,2.0,One entrances into the enclosure perimeter and one internal entrance to the annexe.,"Main NE entrance interesting as E side inturned and W side out-turned, possibly because of steep slope on the E.",NA,"One entrance into the enclosure perimeter and one internal entrance to the annexe. The entrance to the main enclosure is to the NE, with causeway and terrace cutting into the precipitous hillside and with inturn and out-turns to the banks, is interesting, its unusual form possibly because of steep slope on the E. Simple gap to annexe on S.",In-turned (North east); Out-turned (North east); Outworks (North east); Simple Gap (South),No,No
67,"Ebury Hill, Shropshire (Ebury)",4.0,1.0,Two gaps on the SW certainly modern and WWII road construction. One on NE possibly modern also.,"Possibly original on NE side, but may have been destroyed.",NA,"Entrance possibly original on the NE side  side, but may have been destroyed. Two gaps on the SW certainly modern and WWII road construction.",Simple Gap (North east),No,No
68,"Fron Camp, Shropshire (The Vron)",1.0,1.0,No modern gaps.,The bank and ditch are broken and slightly hollowed.,NA,The probably original entrance is at the SW corner where the bank and ditch are broken by a simple gap and slightly hollowed. No modern gaps.,Simple Gap (South west); Hollow Way (South west),No,No
69,"Haughmond Hill Camp, Shropshire (Haughmond Castle; Castle Earthwork)",2.0,2.0,Possibly two entrances,S definite entrance; possibly another on the E side.,NA,"On the S side, where defences run up to the head of a steep-sided gully, the ends of the rampart turn inwards to form an entrance passageway of 5m width. Possible simple gap, but undefined E entrance.",In-turned (South); Passage-way/Corridor (South); Simple Gap (East),No,No
70,"Knowle, Shropshire",0.0,0.0,NA,NA,NA,No entrances defined.,NA,No,No
71,"Llanymynech Hill, Powys",5.0,2.0,Three gaps on S and W with no inturns probably modern. Probably more but not determined.,NA,NA,"Near middle of N rampart inturned entrance, cut off by later banks and ditches, now damaged, and, now obscured by buildings and gardens. Remains of another on NE side. Two other gaps on S and W, with no inturns, probably modern and probably more gaps.",In-turned (North); Simple Gap (North east),No,No
73,"Nordy Bank, Shropshire",5.0,2.0,"There are five gaps in the ramparts, two probably original.","Probably original entrances at the NE corner and midway along S side, both slightly inturned. Other access points probably modern associated with mining/quarrying. Possible paired guard chambers to NE entrance which has a causeway across the ditch.",Possible guard chambers to main NE entrance.,"Five gaps in the ramparts, two possibly original. Main entrance is probably at the NE corner, a widening narrow gap with causeway across the ditch and possible guard chambers. That midway along the S side, with a slight inturn, is also possibly original. Other gaps to the N, W and S are likely to be vestiges of mining/quarrying. Hollow-ways to the NE entrance are probably later and associated with mining/quarrying, but one could be possibly original.",In-turned (North east); Recesses/Guard Chambers (North east); Hollow Way (North east); In-turned (South),Yes,No
74,"Norton Camp, Shropshire",3.0,2.0,Break in rampart for farm access to NW.,Two elaborate entrances with inturns and out-turns.,NA,"There are two elaborate entrances with in and out-turns, to the E and SE. Break in rampart for farm access to NW.",In-turned (East); Out-turned (East); In-turned (South east); Out-turned (South east),No,No
75,"Old Oswestry, Shropshire",2.0,2.0,No modern gaps visible.,Two - W and E. The W entrance has a long 20m wide corridor flanked by rows of ramparts and eleven pits/depressions on either side. The long E entrance passageway has flanking ramparts on the S side.,NA,Two - W and E. The W entrance has a long 20m wide inturned corridor flanked by rows of ramparts and eleven pits/depressions on either side. The long E entrance inturned passageway has flanking ramparts on the S side.,Passage-way/Corridor (West); In-turned (West); Other Forms (West); Passage-way/Corridor (East); In-turned (East),No,No
76,"Nesscliffe Hill Camp, Shropshire (Oliver's Point)",4.0,1.0,"One original entrance on the NE with three modern gaps, one a forestry  track.",Narrow passageway 2.5m wide inturned entrance at the NE corner.,NA,"Original narrow passageway 2.5m wide inturned entrance at the NE corner. Three modern gaps, one a forestry  track.",In-turned (North east); Passage-way/Corridor (North east),No,No
77,"Pave Lane, Shropshire",2.0,2.0,NA,"Two original entrances determined, that to the NE by geophysics as a buried feature.",NA,"The main entrance is visible to the SW, with a causeway flanked on either side by ditches which connect with the concentric ditches of the enclosure. Geophysics also showed another possible entrance to the NE as a buried feature.",Simple Gap (South west); Simple Gap (North east),No,No
78,"Pontesford Hill Camp, Shropshire (Pontesbury)",1.0,1.0,No modern gaps visible.,Existing SW entrance into the interior probably original.,NA,"Both rampart and ditch terminate at the original SW entrance, with gap 3.5m wide and marked by the inturning for 10m of the inner rampart scarp to form passageway.",In-turned (South west); Passage-way/Corridor (South west),No,No
79,"Radnor Wood, Shropshire",1.0,0.0,A 5m gap has been cut through the W rampart since 1908 and a track passes E to W across the site.,No original entrance is visible.,NA,A 5m gap has been cut through the W rampart since 1908 and a track passes E to W across the site. No original entrance is visible.,NA,No,No
80,"Ratlinghope Hill Camp, Shropshire (Ratlinghope Hill; Stitt Hill)",0.0,0.0,NA,NA,NA,No evidence of an entrance.,NA,No,No
81,"Robury Ring, Shropshire",0.0,0.0,NA,NA,NA,The site of an entrance has not been determined and probably has been destroyed. Possibly downslope.,NA,No,No
82,"Roveries House, Shropshire (The Roveries (Lower))",0.0,0.0,NA,NA,NA,"No entrance is in evidence, and access was possibly via the simple pathway from the E, now the present route into the site.",Simple Gap (East),No,No
83,"Roveries Hill Camp, Shropshire (The Roveries (Upper))",3.0,3.0,No modern gaps in evidence.,Three possible original entrances.,Fine guard chambers at inner end of passage.,"Entrances to NW, SE and N, former two excavated; trenches left open exposing construction. Fine, deeply inturned NW passageway entrance 24m long and 3m wide, of three phases, with guard chambers at inner end and c. 20m of thin-slab dry-stone walling preserved. Possible original causeway 100m long and now 5m wide. To E of entrance berm or terrace cut into hillside 20m below top of rampart extending around the N quarter. Inturned entrance to SE mutilated. Possible 5m wide gap entrance to N.",In-turned (North west); Recesses/Guard Chambers (North west); Passage-way/Corridor (North west); In-turned (South east); Simple Gap (North),Yes,No
84,"The Berth, Shropshire",4.0,3.0,"There are two enclosures with three original entrances, one in the larger enclosure and two in the smaller.",Larger enclosure has an inturned entrance on the E. The smaller enclosure has traces of N and SW entrances.,NA,"There are two enclosures with three original entrances, one in the larger enclosure and two in the smaller. Larger enclosure has a damaged inturned entrance on the E. The smaller enclosure has traces of damaged N and SW entrances. The enclosures are linked by a causeway, c. 7m wide.",In-turned (East); Simple Gap (South west); Simple Gap (North),No,No
85,"The Burgs, Shropshire (The Buries; Bayston Hill)",1.0,2.0,NA,Main W/SW entrance obliterated by development,NA,The main entrance was probably on the W/SW and has been destroyed by development. There is another entrance at the E corner with an inturn on the S side,Simple Gap (West); In-turned (East),No,No
86,"The Ditches, Mogg Forest, Shropshire (Larden Ditches; Mogg Ditches; The Rings; Wynbury Castle; Larden Castle)",4.0,2.0,Modern forestry gaps on the S and N sides.,Original entrances on the E and SW sides.,None.,Original entrances on the E and SW sides. Modern forestry gaps on the S and N sides. That on E out-turned on S side. Simple entrance but damaged on the SW.,Out-turned (East); Simple Gap (South west),No,No
87,"Upper Knuck Camp, Shropshire (The Knuck)",1.0,1.0,There are no visible modern gaps.,The original entrance was probably at the N end between the bank and the natural slope.,NA,"The original entrance was probably at the N end between the bank and the natural slope, a simple gap. There are no visible modern gaps.",Simple Gap (North),No,No
88,"The Lawley (North End), Shropshire (The Lawley (Lower))",1.0,1.0,NA,SW entrance causeway across the bank and ditch some 2.3m wide facing towards the ridge top.,NA,SW entrance causeway across the bank and ditch some 2.3m wide facing towards the ridge top.,Simple Gap (South west),No,No
89,"The Lawley (Summit), Shropshire (The Lawley (Upper))",1.0,1.0,Possible site only.,An entrance was probably located around the S end of the bank.,NA,"An entrance was probably located around the S end of the bank, simple gap. Neither form nor position determined exactly.",Simple Gap (South),No,No
90,"The Wrekin, Shropshire",4.0,4.0,All breaks original.,"Inner enclosure entrances at the NE (Heaven Gate) and SW each with two rectangular guard chambers. Strong inturned entrance on the NE (Hell Gate) of the outer enclosure with guard chambers, but only remnants of the SW  entrance survive.",The fort is noted for its fine inturned entrances to both enclosures with guard chambers.,"Inner enclosure entrances at the NE (Heaven Gate) and SW each with two rectangular guard chambers. Strong inturned entrance on the NE (Hell Gate) of the outer enclosure with guard chambers, but only remnants of the SW entrance survive.",In-turned (North east); Recesses/Guard Chambers (North east); In-turned (South west); Recesses/Guard Chambers (South west); In-turned (North east); Recesses/Guard Chambers (North east); In-turned (South west),Yes,No
91,"Titterstone Clee, Shropshire",2.0,2.0,Two entrances with other gaps being O'Neil's trenches of the 1932 excavation.,SE excavated entrance now lost in form due to road and access to radar station.,Elaborate guard chambers.,"There are two original entrances 'visible'. One (alleged) to the N 4m wide has a slight inturn, whilst that to the SE was also inturned and had evidence of guard chambers. This now forms the road and entrance to a CAA/Met Office radar station and is unrecognisable in form.",In-turned (North); In-turned (South east); Recesses/Guard Chambers (South east),Yes,No
