Atlas_Number,Investigations_Display_Name,Investigations_Date,Investigations_Type,Investigations_Comments,Investigations_Date_From,Investigations_Date_To
0023,EN0023,2000,Earthwork Survey,Recent topographical survey by Herefordshire Archaeology.,2000,2000
0023,EN0023,2012,Other,Herefordshire Council survey.,2012,2012
0024,EN0024,1879,Excavation,Excavations by F.G. Hilton Price.,1879,1879
0024,EN0024,1889,1st Identified Map Depiction,OS map.,1889,1889
0024,EN0024,1924,Excavation,Excavations by I.T. Hughes.,1924,1924
0024,EN0024,2012,Other,Herefordshire Council survey.,2012,2012
0024,EN0024,1965-70,Excavation,Excavations by S. Stanford.,1965,1970
0024,EN0024,1999-2005,Earthwork Survey,EH Survey (Field).,1999,2005
0025,EN0025,1888,1st Identified Map Depiction,OS map,1888,1888
0025,EN0025,2012,Other,Herefordshire Council survey,2012,2012
0026,EN0026,1888,1st Identified Map Depiction,OS map.,1888,1888
0026,EN0026,2012,Other,Herefordshire Council survey.,2012,2012
0027,EN0027,2012,Other,Herefordshire Council survey,2012,2012
0028,EN0028,1754,1st Identified Map Depiction,Earliest record of site on Isaac Taylor's map of Herefordshire marked as a 'camp'.,1754,1754
0028,EN0028,1888,Other,OS map.,1888,1888
0028,EN0028,2012,Other,Herefordshire Council survey.,2012,2012
0028,EN0028,1932-37,Excavation,Excavation by R.S. Gavin Robinson et al.,1932,1937
0029,EN0029,1886,1st Identified Map Depiction,OS map.,1886,1886
0029,EN0029,2012,Other,Herefordshire Council survey.,2012,2012
0030,EN0030,1886,1st Identified Map Depiction,OS map.,1886,1886
0030,EN0030,1968,Other,Visit by Hillfort Study Group,1968,1968
0030,EN0030,2012,Other,Herefordshire Council survey.,2012,2012
0031,EN0031,1887,1st Identified Map Depiction,OS map,1887,1887
0031,EN0031,2012,Other,Survey by Herefordshire CC.,2012,2012
0031,EN0031,1665-1693,Other,Aubrey’s Monumenta Britannica.,1665,1693
0031,EN0031,16th Century,1st Identified Written Reference,Visited by Leland.,1501,1600
0031,EN0031,1948-54,Excavation,Salvage excavations by Kenyon 1948-54.,1948,1954
0032,EN0032,1932,Excavation,Trial excavations were undertaken in 1932 by R.S Gavin Robinson.,1932,1932
0032,EN0032,1952,Excavation,Hereford WMAS group under K.O.M. Dauncey.,1952,1952
0032,EN0032,2012,Other,Herefordshire Council survey,2012,2012
0033,EN0033,1886,1st Identified Map Depiction,OS map.,1886,1886
0033,EN0033,2012,Other,Herefordshire Council survey.,2012,2012
0034,EN0034,1887,1st Identified Map Depiction,OS map.,1887,1887
0034,EN0034,2012,Other,Herefordshire Council survey.,2012,2012
0035,EN0035,1886,1st Identified Map Depiction,OS map.,1886,1886
0035,EN0035,2012,Other,Herfordshire Council survey.,2012,2012
0036,EN0036,1887,1st Identified Map Depiction,OS map.,1887,1887
0036,EN0036,2012,Other,Herefordshire Council survey,2012,2012
0037,EN0037,1886,1st Identified Map Depiction,OS map.,1886,1886
0037,EN0037,1968,Other,Visit by Hillfort Study Group,1968,1968
0037,EN0037,2004,Other,Management agreement post 2004.,2004,2004
0037,EN0037,2012,Other,Herefordshire Council survey.,2012,2012
0038,EN0038,1886,1st Identified Map Depiction,OS map.,1886,1886
0038,EN0038,2012,Other,Herefordshire Council survey.,2012,2012
0039,EN0039,1840,Excavation,C.H. Hartshorne.,1840,1840
0039,EN0039,2012,Other,Shropshire Council survey.,2012,2012
0039,EN0039,1885-1900,1st Identified Map Depiction,OS map.,1885,1900
0039,EN0039,1929-1930,Excavation,G.R. Harding-Webster.,1929,1930
0040,EN0040,1974,Other,Field observation OS.,1974,1974
0040,EN0040,1981,Other,Field observation Shropshire CC.,1981,1981
0040,EN0040,1985,Other,Field observation EH.,1985,1985
0040,EN0040,2012,Other,Shropshire Council survey.,2012,2012
0040,EN0040,1885-1900,1st Identified Map Depiction,OS map.,1885,1900
0040,EN0040,1993-2000,Other,Air Photograph Interpretation RCHME,1993,2000
0041,EN0041,1875,1st Identified Map Depiction,OS map.,1875,1875
0041,EN0041,1972,Other,Field observation OS.,1972,1972
0041,EN0041,1981,Other,Field observation Shropshire CC.,1981,1981
0041,EN0041,1987,Other,Field observation EH.,1987,1987
0041,EN0041,2012,Other,Shropshire Council survey.,2012,2012
0041,EN0041,1993-2000,Other,Air Photograph Interpretation RCHME,1993,2000
0042,EN0042,1973,Other,Field observation OS.,1973,1973
0042,EN0042,1981,Other,Field observation Shropshire CC.,1981,1981
0042,EN0042,2012,Other,Shropshire Council survey.,2012,2012
0042,EN0042,1885-1900,1st Identified Map Depiction,OS 1st Ed,1885,1900
0042,EN0042,1993-2000,Other,Air Photograph Interpretation RCHME,1993,2000
0043,EN0043,1972,Other,Field observation OS.,1972,1972
0043,EN0043,1981,Other,Field observation Shropshire CC.,1981,1981
0043,EN0043,1995,Other,Survey NT.,1995,1995
0043,EN0043,2009,Other,Visited by Hillfort Study Group,2009,2009
0043,EN0043,2012,Other,Shropshire Council survey.,2012,2012
0043,EN0043,1885-1900,1st Identified Map Depiction,OS 1st Ed.,1885,1900
0043,EN0043,1993-2000,Other,Air Photograph Interpretation RCHME,1993,2000
0044,EN0044,1991,Other,Field observation Shropshire CC.,1991,1991
0044,EN0044,2012,Other,Shropshire Council survey.,2012,2012
0044,EN0044,1993-2000,Other,Air Photograph Interpretation RCHME,1993,2000
0045,EN0045,1976,Other,Field observation OS.,1976,1976
0045,EN0045,2012,Other,Shropshire Council survey.,2012,2012
0045,EN0045,"1976, 1977",Other,Field observation Shropshire CC.,1976,1977
0045,EN0045,1985-1990,1st Identified Map Depiction,1st Ed OS,1985,1990
0045,EN0045,1993-2000,Other,Air Photograph Interpretation RCHME,1993,2000
0046,EN0046,1973,Other,Field observation OS.,1973,1973
0046,EN0046,1978,Excavation,"Small excavation in the interior by Toller, Institute of Archaeology.",1978,1978
0046,EN0046,1981,Other,Field observation Shropshire CC.,1981,1981
0046,EN0046,1987,Other,Field observation EH.,1987,1987
0046,EN0046,2009,Other,Visited by Hillfort Study Group,2009,2009
0046,EN0046,2012,Other,Shropshire CC survey.,2012,2012
0046,EN0046,1885-1900,1st Identified Map Depiction,1st Ed OS,1885,1900
0046,EN0046,1993-2000,Other,Air Photograph Interpretation RCHME,1993,2000
0046,EN0046,Uncertain,Other,"Form, line, contour and resistivity surveys.",null,null
0047,EN0047,1968,Other,Visit by Hillfort Study Group,1968,1968
0047,EN0047,1973,Other,Field observation OS.,1973,1973
0047,EN0047,1985,Other,Field observation EH.,1985,1985
0047,EN0047,2009,Other,Visited by Hillfort Study Group,2009,2009
0047,EN0047,2012,Other,Shropshire Council survey 2012.,2012,2012
0047,EN0047,"1976, 1981",Other,Field observation Shropshire CC.,1976,1981
0047,EN0047,1985-1900,1st Identified Map Depiction,1st Ed OS,1985,1900
0047,EN0047,1993-2000,Other,Air Photograph Interpretation RCHME,1993,2000
0048,EN0048,1930,Excavation,Excavation by J.A. Morris (1932).,1930,1930
0048,EN0048,1962,Other,Field observation OS.,1962,1962
0048,EN0048,2012,Other,Shropshire Council survey 2012.,2012,2012
0048,EN0048,1885-1900,1st Identified Map Depiction,1st Ed OS map,1885,1900
0048,EN0048,"1976, 1981",Other,Field observations Shropshire CC.,1976,1981
0048,EN0048,"1979, 1980, 1982, 1984",Other,Field observations EH.,1979,1984
0048,EN0048,1993-2000,Other,Air Photograph Interpretation RCHME,1993,2000
0048,EN0048,1998-1999,Geophysical Survey,Surveys by Birmingham University.,1998,1999
0048,EN0048,1998-2000,Earthwork Survey,Surveys by Birmingham University.,1998,2000
0049,EN0049,1995,Other,Evaluation E.A. Pearson.,1995,1995
0049,EN0049,2012,Other,Shopshire Council survey.,2012,2012
0049,EN0049,1665-1693,1st Identified Written Reference,Aubrey’s Monumenta Britannica.,1665,1693
0049,EN0049,1885-1900,1st Identified Map Depiction,1st Ed OS,1885,1900
0049,EN0049,"1973, 1979",Other,Field observations OS.,1973,1979
0049,EN0049,"1977, 1981",Other,Field observations Shropshire CC.,1977,1981
0049,EN0049,"1980, 1984",Other,Field observations EH.,1980,1984
0049,EN0049,1993-2000,Other,Air Photograph Interpretation RCHME,1993,2000
0050,EN0050,1662,1st Identified Written Reference,Drawn by Elias Ashmole.,1662,1662
0050,EN0050,1968,Other,Visit by Hillfort Study Group,1968,1968
0050,EN0050,1972,Other,Field observation OS.,1972,1972
0050,EN0050,1985,Other,Field observation EH.,1985,1985
0050,EN0050,2009,Other,Visited by Hillfort Study Group,2009,2009
0050,EN0050,2012,Other,Shropshire Council survey.,2012,2012
0050,EN0050,1885-1900,1st Identified Map Depiction,1st Ed OS map,1885,1900
0050,EN0050,1993-2000,Other,Air Photograph Interpretation RCHME,1993,2000
0051,EN0051,1973,Other,Field observation OS.,1973,1973
0051,EN0051,1981,Other,Field observation Shropshire CC.,1981,1981
0051,EN0051,1987,Other,Field observation EH.,1987,1987
0051,EN0051,1885-1900,1st Identified Map Depiction,1st Ed OS,1885,1900
0051,EN0051,1993-2000,Other,Air Photograph Interpretation RCHME,1993,2000
0052,EN0052,1981,Other,Field observation Shropshire CC.,1981,1981
0052,EN0052,1987,Other,Field observation EH.,1987,1987
0052,EN0052,2012,Other,Shropshire Council survey.,2012,2012
0052,EN0052,1885-1900,1st Identified Map Depiction,1st Ed OS,1885,1900
0052,EN0052,"1973, 1979",Other,Field observations OS.,1973,1979
0052,EN0052,1993-2000,Other,Air Photograph Interpretation RCHME,1993,2000
0053,EN0053,1981,Other,Field observation Shropshire CC.,1981,1981
0053,EN0053,1987,Other,Field observation EH.,1987,1987
0053,EN0053,1885-1900,1st Identified Map Depiction,1st Ed OS,1885,1900
0053,EN0053,"1973, 1979",Other,Field observation OS.,1973,1979
0053,EN0053,1993-2000,Other,Air Photograph Interpretation RCHME,1993,2000
0054,EN0054,1971,Other,Field observation OS.,1971,1971
0054,EN0054,1981,Other,Field observation Shropshire CC.,1981,1981
0054,EN0054,2012,Other,Shropshire Council survey 2012.,2012,2012
0054,EN0054,2012,Other,Callow Hill Quarry investigation.,2012,2012
0054,EN0054,1885-1900,1st Identified Map Depiction,1st Ed OS map,1885,1900
0054,EN0054,"1981, 1987",Other,Field observation EH.,1981,1987
0054,EN0054,1993-2000,Other,Air Photograph Interpretation RCHME,1993,2000
0055,EN0055,1973,Other,Field observation OS.,1973,1973
0055,EN0055,1987,Other,Field observation EH.,1987,1987
0055,EN0055,2012,Other,Shropshire Council survey.,2012,2012
0055,EN0055,1885-1900,1st Identified Map Depiction,1st Ed OS map,1885,1900
0055,EN0055,"1977, 1981",Other,Field observation Shropshire CC.,1977,1981
0055,EN0055,1993-2000,Other,Air Photograph Interpretation RCHME,1993,2000
0056,EN0056,1971,Other,Field observation OS.,1971,1971
0056,EN0056,1981,Other,Field observation 1981.,1981,1981
0056,EN0056,2012,Other,Shropshire Council survey.,2012,2012
0056,EN0056,1885-1900,1st Identified Map Depiction,1st Ed OS map,1885,1900
0056,EN0056,"1963, 1987",Other,Field observation English Heritage.,1963,1987
0056,EN0056,1993-2000,Other,Air Photograph Interpretation RCHME,1993,2000
0057,EN0057,1972,Other,Field observation OS.,1972,1972
0057,EN0057,1885-1900,1st Identified Map Depiction,1st Ed OS.,1885,1900
0057,EN0057,"1981, 1986",Other,Field observation EH.,1981,1986
0057,EN0057,1993-2000,Other,Air Photograph Interpretation RCHME,1993,2000
0058,EN0058,1971,Other,Field observation OS.,1971,1971
0058,EN0058,2012,Other,Shropshire Council survey.,2012,2012
0058,EN0058,1885-1900,1st Identified Map Depiction,1st Ed OS,1885,1900
0058,EN0058,1993-2000,Other,Air Photograph Interpretation RCHME,1993,2000
0058,EN0058,2003-2004,Other,Shropshire CC Stiperstones survey.,2003,2004
0059,EN0059,1987,Other,Field observation EH.,1987,1987
0059,EN0059,2012,Other,Shropshire Council Survey.,2012,2012
0059,EN0059,1885-1900,1st Identified Map Depiction,1st Ed OS,1885,1900
0059,EN0059,"1972, 1973",Other,Field observation OS.,1972,1973
0059,EN0059,1993-2000,Other,Air Photograph Interpretation RCHME,1993,2000
0060,EN0060,2012,Other,Shropshire Council survey.,2012,2012
0060,EN0060,2015,Geophysical Survey,G. Carey.,2015,2015
0060,EN0060,1885-1900,1st Identified Map Depiction,1st Ed OS,1885,1900
0060,EN0060,1993-2000,Other,Air Photograph Interpretation RCHME,1993,2000
0061,EN0061,1885,1st Identified Map Depiction,OS map.,1885,1885
0061,EN0061,1968,Other,Visit by Hillfort Study Group,1968,1968
0061,EN0061,1981,Other,Field observation Shropshire CC.,1981,1981
0061,EN0061,1994,Other,Dowsing survey.,1994,1994
0061,EN0061,2012,Other,Shropshire Council survey 2012.,2012,2012
0061,EN0061,1957-61,Excavation,Excavation by P.S. Gelling.,1957,1961
0061,EN0061,"1981, 1988",Other,Field observation EH.,1981,1988
0061,EN0061,1993-2000,Other,Air Photograph Interpretation RCHME,1993,2000
0062,EN0062,1979,Other,Fields observation OS.,1979,1979
0062,EN0062,1981,Other,Field observation Shropshire CC.,1981,1981
0062,EN0062,2012,Other,Shropshire Council survey.,2012,2012
0062,EN0062,1885-1900,1st Identified Map Depiction,1st Ed OS,1885,1900
0062,EN0062,"1972, 1979, 1982",Other,Field observation EH.,1972,1982
0062,EN0062,1993-2000,Other,Air Photograph Interpretation RCHME,1993,2000
0063,EN0063,1971,Other,Field observation OS.,1971,1971
0063,EN0063,2012,Other,Shropshire Council survey.,2012,2012
0063,EN0063,2014,Other,Watching Brief SLR Consulting.,2014,2014
0063,EN0063,1885-1900,1st Identified Map Depiction,1st Ed OS.,1885,1900
0063,EN0063,1993-2000,Other,Air Photograph Interpretation RCHME,1993,2000
0064,EN0064,1971,Other,Field observation OS.,1971,1971
0064,EN0064,1981,Other,Field observation Shropshire CC.,1981,1981
0064,EN0064,2012,Other,Shropshire Council survey.,2012,2012
0064,EN0064,1885-1900,1st Identified Map Depiction,1st Ed OS map,1885,1900
0064,EN0064,"1981, 1983",Other,Field observations EH.,1981,1983
0064,EN0064,1993-2000,Other,Air Photograph Interpretation RCHME,1993,2000
0065,EN0065,1976,Other,Survey Shropshire CC.,1976,1976
0065,EN0065,1976,Other,Discovered by aerial photography by Chris Musson.,1976,1976
0065,EN0065,1981,Other,"Field observation Shropshire CC.,",1981,1981
0065,EN0065,2012,Other,Shropshire Council survey.,2012,2012
0065,EN0065,"1976, 1980, 1987",Other,Field observation EH.,1976,1987
0065,EN0065,1993-2000,Other,Air Photograph Interpretation RCHME,1993,2000
0066,EN0066,1882,1st Identified Map Depiction,OS map.,1882,1882
0066,EN0066,1971,Other,Field observation OS.,1971,1971
0066,EN0066,1978,Other,Field observation Shropshire CC.,1978,1978
0066,EN0066,1998,Other,Condition survey and management plan for Earl's Hill Nature Reserve.,1998,1998
0066,EN0066,2009,Other,Visited by Hillfort Study Group,2009,2009
0066,EN0066,2011,Excavation,Small excavation on summit by A. Wigley and G. Guilbert.,2011,2011
0066,EN0066,2012,Other,Shropshire Council Survey.,2012,2012
0066,EN0066,"1981, 1987",Other,Field observation EH.,1981,1987
0066,EN0066,1993-2000,Other,Air Photograph Interpretation RCHME,1993,2000
0067,EN0067,1881,1st Identified Map Depiction,OS map.,1881,1881
0067,EN0067,1943,Excavation,Excavations by Simms.,1943,1943
0067,EN0067,1977,Excavation,Excavations by S. Stanford.,1977,1977
0067,EN0067,2012,Other,Shropshire Council survey.,2012,2012
0067,EN0067,1993-2000,Other,Air Photograph Interpretation RCHME,1993,2000
0068,EN0068,2012,Other,Shropshire Council survey.,2012,2012
0068,EN0068,"1966, 1987",Other,Field observations EH.,1966,1987
0068,EN0068,"1973, 1979",Other,Field observations OS.,1973,1979
0068,EN0068,"1977, 1981",Other,Field observations Shropshire CC.,1977,1981
0068,EN0068,1993-2000,Other,Air Photograph Interpretation RCHME,1993,2000
0069,EN0069,2012,Other,Shropshire Council survey.,2012,2012
0069,EN0069,1993-2000,Other,Air Photograph Interpretation RCHME,1993,2000
0070,EN0070,2012,Other,Shropshire Council survey.,2012,2012
0071,WA0071,1875,1st Identified Map Depiction,OS map.,1875,1875
0071,WA0071,1981,Excavation,CPAT observations during construction of service pipes.,1981,1981
0071,WA0071,1995,Excavation,CPAT trench over middle rampart as part of Severn Trent works,1995,1995
0071,WA0071,2004,Other,CPAT detailed measured survey of Heritage Area 2004.,2004,2004
0071,WA0071,18th Century,1st Identified Written Reference,References to site - no details.,1701,1800
0071,WA0071,18th Century,1st Identified Written Reference,Antiquarian references - no details.,1701,1800
0071,WA0071,1970s onwards,Other,Numerous observations and watching briefs by CPAT and other bodies.,1970,null
0073,EN0073,1968,Other,Visit by Hillfort Study Group,1968,1968
0073,EN0073,2009,Other,Visited by Hillfort Study Group,2009,2009
0073,EN0073,2012,Other,Shropshire Council survey.,2012,2012
0073,EN0073,1985-1900,1st Identified Map Depiction,1st Ed. OS map,1985,1900
0073,EN0073,1993-2000,Other,Air Photograph Interpretation RCHME,1993,2000
0074,EN0074,2012,Other,Shropshire Council survey.,2012,2012
0074,EN0074,1885-1900,1st Identified Map Depiction,1st Ed OS,1885,1900
0074,EN0074,1993-2000,Other,Air Photograph Interpretation RCHME,1993,2000
0075,EN0075,1977,Other,Visit by Hillfort Study Group,1977,1977
0075,EN0075,2012,Other,Shropshire Council survey 2012.,2012,2012
0075,EN0075,1665-1693,1st Identified Written Reference,Aubrey’s Monumenta Britannica.,1665,1693
0075,EN0075,1885-1900,1st Identified Map Depiction,1st Ed OS,1885,1900
0075,EN0075,1939-40,Excavation,"Excavation by Varley 1939-40, but no excavation report published.",1939,1940
0075,EN0075,1993-2000,Other,Air Photograph Interpretation RCHME,1993,2000
0076,EN0076,2012,Other,Shropshire Council survey.,2012,2012
0076,EN0076,1885-1900,1st Identified Map Depiction,OS map.,1885,1900
0076,EN0076,1953-1956,Excavation,Excavation by Hume and Jones.,1953,1956
0076,EN0076,1993-2000,Other,Air Photograph Interpretation RCHME,1993,2000
0077,EN0077,1990,Excavation,By G.H. Smith.,1990,1990
0077,EN0077,1990,Geophysical Survey,By G.H. Smith.,1990,1990
0077,EN0077,2012,Other,Shropshire Council survey.,2012,2012
0077,EN0077,"1977, 1984",Other,Field observation EH.,1977,1984
0078,EN0078,1963,Excavation,Emergency excavation by P. Barker,1963,1963
0078,EN0078,2009,Other,Visited by Hillfort Study Group,2009,2009
0078,EN0078,2012,Other,Shropshire Council survey.,2012,2012
0078,EN0078,1885-1900,1st Identified Map Depiction,1st Ed OS,1885,1900
0078,EN0078,1993-2000,Other,Air Photograph Interpretation RCHME,1993,2000
0079,EN0079,2012,Other,Shropshire Council survey.,2012,2012
0079,EN0079,1885-1900,1st Identified Map Depiction,1st Ed OS,1885,1900
0079,EN0079,1993-2000,Other,Air Photograph Interpretation RCHME,1993,2000
0080,EN0080,2009,Other,Visited by Hillfort Study Group,2009,2009
0080,EN0080,2012,Other,Shropshire Council survey.,2012,2012
0080,EN0080,1885-1900,1st Identified Map Depiction,1st Ed OS,1885,1900
0080,EN0080,1993-2000,Other,Air Photograph Interpretation RCHME,1993,2000
0081,EN0081,1990,Excavation,Hughes and Jones.,1990,1990
0081,EN0081,1885-1900,1st Identified Map Depiction,1st Ed OS,1885,1900
0082,EN0082,1968,Other,Visit by Hillfort Study Group,1968,1968
0082,EN0082,2012,Other,Shropshire Council survey.,2012,2012
0082,EN0082,1885-1900,1st Identified Map Depiction,1st Ed OS,1885,1900
0082,EN0082,1993-2000,Other,Air Photograph Interpretation RCHME,1993,2000
0083,EN0083,2012,Other,Shropshire Council survey.,2012,2012
0083,EN0083,1665-1693,1st Identified Written Reference,Aubrey’s Monumenta Britannica.,1665,1693
0083,EN0083,1885-1900,1st Identified Map Depiction,1st Ed OS,1885,1900
0083,EN0083,1935-39,Excavation,Excavations at NW and SE entrances by Sykes.,1935,1939
0083,EN0083,1960-63,Excavation,Excavations at NW and SE entrances and interior by Thomas.,1960,1963
0083,EN0083,1993-2000,Other,Air Photograph Interpretation RCHME,1993,2000
0083,EN0083,2013-ongoing,Other,Shropshire Council.,2013,null
0084,EN0084,1977,Other,Visit by Hillfort Study Group,1977,1977
0084,EN0084,1981,Other,Field observation Shropshire CC.,1981,1981
0084,EN0084,1994,Other,Geophysical survey GSB Prospection.,1994,1994
0084,EN0084,2012,Other,Shropshire Council survey.,2012,2012
0084,EN0084,1885-1900,1st Identified Map Depiction,1st Ed OS,1885,1900
0084,EN0084,1962-63,Excavation,Excavation by P.S. Gelling.,1962,1963
0084,EN0084,"1978, 1982",Other,Field observations EH.,1978,1982
0084,EN0084,1993-2000,Other,Air Photograph Interpretation RCHME,1993,2000
0085,EN0085,1962,Other,Field observation OS.,1962,1962
0085,EN0085,1979,Other,Watching Brief A. Tyler.,1979,1979
0085,EN0085,1993,Other,Field observation Shropshire CC.,1993,1993
0085,EN0085,2012,Other,Shropshire Council survey.,2012,2012
0085,EN0085,1885-1900,1st Identified Map Depiction,1st Ed OS,1885,1900
0085,EN0085,1978-9,Excavation,Minor trenches only.,1978,1979
0085,EN0085,"1980, 1981, 1982",Other,Field observation EH.,1980,1982
0085,EN0085,1993-2000,Other,Air Photograph Interpretation RCHME,1993,2000
0086,EN0086,2012,Other,Shropshire Council survey.,2012,2012
0086,EN0086,1885-1900,1st Identified Map Depiction,1st Ed OS,1885,1900
0086,EN0086,1993-2000,Other,Air Photograph Interpretation RCHME,1993,2000
0087,EN0087,1973,Other,Field observation OS.,1973,1973
0087,EN0087,1981,Other,Field observation Shropshire CC.,1981,1981
