References_Atlas_Number,References_Title_Name,References_Source,References_Citation
0024,"EN0024 Midsummer Hill, Herefordshire",Brown 2009,"Brown, I. 2009. Beacons in the landscape. the hillforts of England and Wales, Oxford"
0024,"EN0024 Midsummer Hill, Herefordshire",Dorling and Wigley 2012,"Dorling, P. and Wigley, A. 2012. Assessment of the archaeological and conservation status of major later prehistoric enclosures in Herefordshire and Shropshire, EH PNUM, Version 3.2, Hereford and Shrewsbury"
0024,"EN0024 Midsummer Hill, Herefordshire",Hilton Price 1887,"Hilton Price, F.G. 1887. Camps on the Malvern Hills, Trans Woolhope Natur Fld Club, 9 (1877-80), 217-28."
0024,"EN0024 Midsummer Hill, Herefordshire",Hughes 1924,"Hughes, I.T 1924"
0024,"EN0024 Midsummer Hill, Herefordshire",Stanford 1981,"Stanford, S.C. 1981. Midsummer Hill, Leominster"
0025,"EN0025 Oldbury, Much Marcle, Herefordshire",Dorling and Wigley 2012,"Dorling, P. and Wigley, A. 2012. Assessment of the archaeological and conservation status of major later prehistoric enclosures in Herefordshire and Shropshire, EH PNUM, Version 3.2, Hereford and Shrewsbury"
0025,"EN0025 Oldbury, Much Marcle, Herefordshire",Page 1908,"Page, W. ed.1908. The Victoria County History of the County of Herefordshire, 1, 218, London"
0025,"EN0025 Oldbury, Much Marcle, Herefordshire",RCHME 1931,"RCHME 1931-34. An Inventory of the Historical Monuments in Herefordshire, 2 (E), 134, 41, London"
0025,"EN0025 Oldbury, Much Marcle, Herefordshire",Stanford 1976,"Stanford, S.C. ed. 1976. Guide to Prehistoric and Roman Sites in Herefordshire, Woolhope Naturalists' Field Club Archaeological Research Section, 24."
0026,"EN0026 Pen-Twyn Camp, Brilley, Herefordshire",Dorling and Wigley 2012,"Dorling, P. and Wigley, A. 2012. Assessment of the archaeological and conservation status of major later prehistoric enclosures in Herefordshire and Shropshire, EH PNUM, Version 3.2, Hereford and Shrewsbury"
0026,"EN0026 Pen-Twyn Camp, Brilley, Herefordshire",Page 1908,"Page, W. ed. 1908. The Victoria County History of the County of Herefordshire, 1, 203, London"
0026,"EN0026 Pen-Twyn Camp, Brilley, Herefordshire",RCHME 1931,"RCHME 1931-34. An Inventory of the Historical Monuments in Herefordshire, 3 (NW), 25, 30, London"
0027,"EN0027 Penapark, Herefordshire",Dorling and Wigley 2012,"Dorling, P. and Wigley, A. 2012. Assessment of the archaeological and conservation status of major later prehistoric enclosures in Herefordshire and Shropshire, EH PNUM, Version 3.2, Hereford and Shrewsbury"
0028,"EN0028 Poston Camp, Herefordshire",Anthony 1958,"Anthony, I.E. 1958. The Iron Age camp at Poston, Herefordshire, Hereford"
0028,"EN0028 Poston Camp, Herefordshire",Dorling and Wigley 2012,"Dorling, P. and Wigley, A. 2012. Assessment of the archaeological and conservation status of major later prehistoric enclosures in Herefordshire and Shropshire, EH PNUM, Version 3.2, Hereford and Shrewsbury"
0028,"EN0028 Poston Camp, Herefordshire",Marshall 1933,"Marshall, G. 1933. Lower Park Wood Camp, Poston, in the Parish of Vowchurch, and some remarks on the Iron Age in Herefordshire. TWNFC 1933, pp 21-29."
0028,"EN0028 Poston Camp, Herefordshire",Marshall 1934,"Marshall, G. 1934. Interim report on the excavation of the Iron Age camp at Poston, Vowchurch, Trans Woolhope Natur Fld Club, 89-99."
0028,"EN0028 Poston Camp, Herefordshire",RCHME 1931,"RCHME 1931-34. An Inventory of the Historical Monuments in Herefordshire, 31(SW), 245, 6, London"
0029,"EN0029 Pyon Wood, Herefordshire",Dorling and Wigley 2012,"Dorling, P. and Wigley, A. 2012. Assessment of the archaeological and conservation status of major later prehistoric enclosures in Herefordshire and Shropshire, EH PNUM, Version 3.2, Hereford and Shrewsbury"
0029,"EN0029 Pyon Wood, Herefordshire",Page 1908,"Page, W. ed. 1908. The Victoria County History of the County of Herefordshire, 1, 202, London"
0029,"EN0029 Pyon Wood, Herefordshire",RCHME 1931,"RCHME 1931-34. An Inventory of the Historical Monuments in Herefordshire, 3, (NW), 14-15, London"
0030,"EN0030 Risbury Camp, Herefordshire",Dorling and Wigley 2012,"Dorling, P. and Wigley, A. 2012. Assessment of the archaeological and conservation status of major later prehistoric enclosures in Herefordshire and Shropshire, EH PNUM, Version 3.2, Hereford and Shrewsbury"
0030,"EN0030 Risbury Camp, Herefordshire",Page 1908,"Page, W. ed. 1908. The Victoria County History of the County of Herefordshire, 1, 213-14, London"
0030,"EN0030 Risbury Camp, Herefordshire",RCHME 1931,"RCHME 1931-34. An Inventory of the Historical Monuments in Herefordshire, 3, (NW), 73-4, 8, London"
0031,"EN0031 Sutton Walls, Herefordshire",Dorling and Wigley 2012,"Dorling, P. and Wigley, A. 2012. Assessment of the archaeological and conservation status of major later prehistoric enclosures in Herefordshire and Shropshire, EH PNUM, Version 3.2, Hereford and Shrewsbury"
0031,"EN0031 Sutton Walls, Herefordshire",Kenyon 1954,"Kenyon, K.M. 1954. The excavations at Sutton Walls, Herefordshire, 1948-51, Archaeol J, 110, 1-87."
0031,"EN0031 Sutton Walls, Herefordshire",Page 1908,"Page, W. ed. 1908. The Victoria County History of the County of Herefordshire, 1, 220, London"
0031,"EN0031 Sutton Walls, Herefordshire",RCHME 1931,"RCHME 1931-34. An Inventory of the Historical Monuments in Herefordshire, 2, (E), 181-82, 33, London"
0032,"EN0032 Timberline, Herefordshire",Anthony 1958,"Anthony, I.E. 1958. The Iron Age camp at Poston, Herefordshire, Hereford"
0032,"EN0032 Timberline, Herefordshire",Dorling and Wigley 2012,"Dorling, P. and Wigley, A. 2012. Assessment of the archaeological and conservation status of major later prehistoric enclosures in Herefordshire and Shropshire, EH PNUM, Version 3.2, Hereford and Shrewsbury"
0033,"EN0033 Uphampton Camp, Herefordshire",Dorling and Wigley 2012,"Dorling, P. and Wigley, A. 2012. Assessment of the archaeological and conservation status of major later prehistoric enclosures in Herefordshire and Shropshire, EH PNUM, Version 3.2, Hereford and Shrewsbury"
0033,"EN0033 Uphampton Camp, Herefordshire",RCHME 1931,"RCHME 1931-34. An Inventory of the Historical Monuments in Herefordshire, 3, 44, London"
0034,"EN0034 Wall Hills Camp, Ledbury, Herefordshire",Dorling and Wigley 1931,"Dorling, P. and Wigley, A. 2012"
0034,"EN0034 Wall Hills Camp, Ledbury, Herefordshire",Page 1908,"Page, W. ed. 1908. The Victoria County History of the County of Herefordshire, 1, 193, 215, London"
0034,"EN0034 Wall Hills Camp, Ledbury, Herefordshire",RCHME 1931,"RCHME 1931-34. An Inventory of the Historical Monuments in Herefordshire, 2, (E), 117-18, 44, London"
0035,"EN0035 Wall Hills, Thornbury, Herefordshire",Dorling and Wigley 1931,"Dorling, P. and Wigley, A. 2012"
0035,"EN0035 Wall Hills, Thornbury, Herefordshire",Page 1908,"Page, W. ed. 1908. The Victoria County History of the County of Herefordshire, 1, 221, London"
0035,"EN0035 Wall Hills, Thornbury, Herefordshire",RCHME 1931,"RCHME 1931-34. An Inventory of the Historical Monuments in Herefordshire, 2, (E), 189-90, 13, London"
0036,"EN0036 Walterstone Camp, Herefordshire",Dorling and Wigley 2012,"Dorling, P. and Wigley, A. 2012. Assessment of the archaeological and conservation status of major later prehistoric enclosures in Herefordshire and Shropshire, EH PNUM, Version 3.2, Hereford and Shrewsbury"
0036,"EN0036 Walterstone Camp, Herefordshire",RCHME 1931,"RCHME 1931-34. An Inventory of the Historical Monuments in Herefordshire, 1, (SW), 248, 9, London"
0037,"EN0037 Wapley Camp, Herefordshire",Dorling and Wigley 2012,"Dorling, P. and Wigley, A. 2012. Assessment of the archaeological and conservation status of major later prehistoric enclosures in Herefordshire and Shropshire, EH PNUM, Version 3.2, Hereford and Shrewsbury"
0037,"EN0037 Wapley Camp, Herefordshire",Page 1908,"Page, W. ed. 1908. The Victoria County History of the County of Herefordshire, 1, 219, London"
0037,"EN0037 Wapley Camp, Herefordshire",RCHME 1931,"RCHME 1931-34. An Inventory of the Historical Monuments in Herefordshire, 3, (NW), 185, 12, London"
0038,"EN0038 Westington Camp, Herefordshire",Dorling and Wigley 2012,"Dorling, P. and Wigley, A. 2012. Assessment of the archaeological and conservation status of major later prehistoric enclosures in Herefordshire and Shropshire, EH PNUM, Version 3.2, Hereford and Shrewsbury"
0038,"EN0038 Westington Camp, Herefordshire",RCHME 1932,"RCHME 1932. An Inventory of the Historical Monuments in Herefordshire, 2, 84-5, London"
0039,"EN0039 Abdon Burf, Shropshire",Dorling and Wigley 1931,"Dorling, P. and Wigley, A. 2012"
0039,"EN0039 Abdon Burf, Shropshire",Hannaford and Ward 2014,"Hannaford, H.R. and Ward, P.A. 2014. Shropshire Mineral Resources Assessment for Shropshire and Telford and Wrekin, Unpublished SCAS rep. 357, 38."
0039,"EN0039 Abdon Burf, Shropshire",Harding-Webster 1929,"Harding-Webster, G.R. 1929_30. Abdon Burf Camp. Trans Shropshire Archaeol Soc, 45, 85-96."
0039,"EN0039 Abdon Burf, Shropshire",Hartshorne 1841,"Hartshorne, C.H. 1841. Salopia Antiqua, 3-21."
0039,"EN0039 Abdon Burf, Shropshire",Page 1908,"Page, W. ed. 1908. Victoria County History of Shropshire, 1, 359, Institute of Historical Research."
0039,"EN0039 Abdon Burf, Shropshire",Rowley 2001,"Rowley, T. 2001. The Welsh Border, 200, 202, Stroud"
0040,"EN0040 Billings Ring, Shropshire",Dorling and Wigley 2012,"Dorling, P. and Wigley, A. 2012. Assessment of the archaeological and conservation status of major later prehistoric enclosures in Herefordshire and Shropshire, EH PNUM, Version 3.2, Hereford and Shrewsbury"
0040,"EN0040 Billings Ring, Shropshire",Page 1908,"Page, W. ed. 1908. Victoria County History of Shropshire, 1, 375, Institute of Historical Research."
0041,"EN0041 Blodwell Rock, Shropshire",Dorling and Wigley 2012,"Dorling, P. and Wigley, A. 2012. Assessment of the archaeological and conservation status of major later prehistoric enclosures in Herefordshire and Shropshire, EH PNUM, Version 3.2, Hereford and Shrewsbury"
0041,"EN0041 Blodwell Rock, Shropshire",Fox and Hemp 1926,"Fox, C. and Hemp, W.J. 1926. Two un-recorded hillforts on Llanymynech Hill, Montgomeryshire and Blodwell Rock, Shropshire and their relation to Offa's Dyke, Arch Camb, 81, 395-400."
0042,"EN0042 Knuck Wood, Shropshire",Dorling and Wigley 2012,"Dorling, P. and Wigley, A. 2012. Assessment of the archaeological and conservation status of major later prehistoric enclosures in Herefordshire and Shropshire, EH PNUM, Version 3.2, Hereford and Shrewsbury"
0042,"EN0042 Knuck Wood, Shropshire",Page 1908,"Page, W. ed. 1908. Victoria County History of Shropshire, 1, 353, Institute of Historical Research."
0043,"EN0043 Bodbury Ring, Shropshire",Dorling and Wigley 2012,"Dorling, P. and Wigley, A. 2012. Assessment of the archaeological and conservation status of major later prehistoric enclosures in Herefordshire and Shropshire, EH PNUM, Version 3.2, Hereford and Shrewsbury"
0043,"EN0043 Bodbury Ring, Shropshire",Newman and Pevsner 2006,"Newman, J. and Pevsner, N. 2006. The buildings of England - Shropshire, New Haven and London"
0043,"EN0043 Bodbury Ring, Shropshire",Page 1908,"Page, W. ed. 1908. Victoria County History of Shropshire, 1, 354-55, Institute of Historical Research."
0044,"EN0044 Bulthy Hill, Shropshire",Dorling and Wigley 2012,"Dorling, P. and Wigley, A. 2012. Assessment of the archaeological and conservation status of major later prehistoric enclosures in Herefordshire and Shropshire, EH PNUM, Version 3.2, Hereford and Shrewsbury"
0045,"EN0045 Burf Castle, Shropshire",Dorling and Wigley 2012,"Dorling, P. and Wigley, A. 2012. Assessment of the archaeological and conservation status of major later prehistoric enclosures in Herefordshire and Shropshire, EH PNUM, Version 3.2, Hereford and Shrewsbury"
0045,"EN0045 Burf Castle, Shropshire",Page 1908,"Page, W. ed. 1908. Victoria County History of Shropshire, 1, 380, Institute of Historical Research."
0046,"EN0046 Burrow Hill Camp, Shropshire",Dorling and Wigley 2012,"Dorling, P. and Wigley, A. 2012. Assessment of the archaeological and conservation status of major later prehistoric enclosures in Herefordshire and Shropshire, EH PNUM, Version 3.2, Hereford and Shrewsbury"
0046,"EN0046 Burrow Hill Camp, Shropshire",Page 1908,"Page, W. ed. 1908. Victoria County History of Shropshire, 1, 363, Institute of Historical Research."
0046,"EN0046 Burrow Hill Camp, Shropshire",Watson 2002,"Watson, M. 2002. Shropshire an archaeological guide, 20-1, plan, Shrewsbury"
0047,"EN0047 Bury Ditches, Shropshire",Dorling and Wigley 2012,"Dorling, P. and Wigley, A. 2012. Assessment of the archaeological and conservation status of major later prehistoric enclosures in Herefordshire and Shropshire, EH PNUM, Version 3.2, Hereford and Shrewsbury"
0047,"EN0047 Bury Ditches, Shropshire",Page 1908,"Page, W. ed. 1908. Victoria County History of Shropshire, 1, 364-65, Institute of Historical Research."
0047,"EN0047 Bury Ditches, Shropshire",Watson 2002,"Watson 2002. Shropshire an archaeological guide, 21-2, aerial photo. Shrewsbury"
0048,"EN0048 Bury Walls, Shropshire",Dorling and Wigley 1931,"Dorling, P. and Wigley, A. 2012"
0048,"EN0048 Bury Walls, Shropshire",Murdie et al. 2003,"Murdie, R.E., White, R.H., Baratt, G., Gaffney, V. and Goulty, R. 2003. Geophysical surveys of Bury Walls Hill Fort, Shropshire, Archaeol Prospect, 10, 249-63."
0048,"EN0048 Bury Walls, Shropshire",Morris 1934,"Morris, J.A. 1934. Bury Walls, Hawkestone, Trans Shropshire Arch Hist Soc, 46, 85-9."
0048,"EN0048 Bury Walls, Shropshire",Page 1908,"Page, W. ed. 1908. Victoria County History of Shropshire, 1, 357, Institute of Historical Research."
